index,tree_name,dec_NIR_glcm_mean,dec_NIR_mean_homogeneity,dec_NIR_mean_contrast,dec_NIR_mean_dissimilarity,dec_NIR_mean_ASM,dec_NIR_mean_correlation,dec_NIR_mean_energy
0,Falcataria Moluccana,79.9530585726763,0.2362350578985898,56.8991047915401,4.7072599586563895,0.0006930416576483667,0.9589145189957531,0.026247619564754805
1,Ficus Variegata,73.74828046888496,0.17575736576832918,86.41856758870269,6.485420961441414,0.0004133390776497123,0.9388736191358537,0.020274392252405554
2,Bridelia Sp.,49.43325786691959,0.25610358986939435,36.24965441851066,4.0378985217966346,0.0007570762403719655,0.977770720148881,0.027436554996219054
3,Falcataria Moluccana,85.27225782490694,0.2248004667073913,57.1683392422234,4.85997147912743,0.0004938363535552088,0.9713185302256294,0.022152582799401868
4,Falcataria Moluccana,88.21302033723002,0.2411663086086584,48.897016132297196,4.387697408946277,0.0006383052394259586,0.9675206567864809,0.02518393487617836
5,Spathodea Campanulatum,83.48267054543074,0.16345097212519671,101.387882752639,6.8499517643672485,0.0003046143448947097,0.9595963904400783,0.01740218558962516
6,Terminalia Catappa,75.6297165259479,0.17904120907824905,109.14606864935232,6.840745990370648,0.00035000190781523223,0.9427596383510777,0.01864755273928105
7,Spathodea Campanulatum,60.231722603464654,0.2152329451002344,73.14361197377092,5.406954629152531,0.0003967468477149806,0.9720991591762308,0.019858749464395604
8,Shorea Leprosula,36.4819310247217,0.3004878208796581,42.81228866595905,3.888102574723086,0.0017527623257783485,0.9476551600310248,0.041721249364924065
9,Syzygium Polyanthum,53.87181515220754,0.25038408544654595,63.86822989382526,4.597661299696458,0.0005568766790713595,0.9694986763008508,0.023525771621265665
10,Cinnamomum Iners,71.08366050058767,0.16803241354722082,94.87164024933807,6.6540709436927825,0.00032983840680238,0.9588150849357058,0.01811129641324101
11,Clausena Excavata,63.731703078518095,0.20825297110834268,44.07975246747509,4.842920635755828,0.0005873741791069594,0.9718269129022686,0.024174450441528824
12,Cinnamomum Iners,63.36903941338724,0.1647706641227381,92.43526565442673,6.674580377284893,0.00031242428037589785,0.9580230362254337,0.017622923631876727
13,Alstonia Angulstiloba,74.06863646626402,0.1718004373810984,63.12511852067952,5.8406709465147655,0.0005762132102875689,0.9368934681711081,0.023943394499671096
14,Spathodea Campanulatum,82.26518648894837,0.14960765284917635,110.98296956103513,7.378765857888871,0.000401670719403911,0.9275894186138043,0.019985622246555576
15,Clausena Excavata,67.77071952704597,0.20221208087670392,53.70611615001651,5.15278032997332,0.00047780156949635803,0.9718797614600018,0.021796154102913842
16,Syzygium Polyanthum,74.10293602142784,0.18613806723372273,73.06185908200567,5.838726672651823,0.00038459807242683763,0.9734628839401379,0.019562543954584937
17,Sandoricum Koetjape,64.7514456793812,0.21389872061797077,70.35458432850388,5.315947402499221,0.000366231712246156,0.9786357916116923,0.019077955440952907
18,Sterculia Parviflora,68.48215582702923,0.18484181489505996,64.28399978960908,5.718079783843538,0.0004388751499393932,0.9649101886968656,0.020891487373498913
19,Alstonia Angulstiloba,79.70638185842634,0.17526533839037295,58.49733756230034,5.662638264569446,0.0006350363806072782,0.9185910042942216,0.025137767533143868
20,Claoxylon Indicum,54.57805745437388,0.1994343069069037,52.21724961489211,5.175533390298364,0.0006078496081710174,0.9573344369610608,0.02457937219477952
21,Bridelia Sp.,53.667022806598155,0.27166889011708684,24.625023796588366,3.524893502731258,0.001086952500340355,0.9599453713765579,0.03287884169773902
22,Pometia Pinnata,65.83909943595206,0.21723986365444614,35.802974712162396,4.4096609587519175,0.0008510994020923795,0.9575058488398779,0.02909440839918148
23,Sterculia Parviflora,46.92914607538712,0.22760684973013517,33.74780708093896,4.28153492966463,0.0008242063441009841,0.9582736839032526,0.02862895324899003
24,Calophyllum,59.768715911277646,0.2295530123206325,31.887440170387542,4.197231739335808,0.0010272174687756663,0.9617017431506332,0.03198652137160833
25,Pennisetum Purpureum,31.37768929705267,0.2652719622375896,20.15921803386577,3.397031325411972,0.001282178448672054,0.9582186659866547,0.03569001236118914
26,Sterculia Parviflora,50.914740159715556,0.24860616111911255,44.820844834731744,4.5513159168518165,0.0008912127749874818,0.9749422491529353,0.029768731425231596
27,Campnosperma Auriculatum,76.30762403555227,0.15397044910508484,151.94901454003792,8.197284537010997,0.00038434040607501687,0.8929652568947959,0.019547670897564977
28,Leea Indica,57.88276721234328,0.21955786804941324,51.71248382160469,4.8451293550248025,0.0006468303284046394,0.9554556095824027,0.025360461571857357
29,Dillenia Suffruticosa,61.622816289215486,0.16979438066335564,76.42366696546847,6.398564177214898,0.0005121989823281783,0.9436663785468806,0.022565459576555837
30,Sterculia Parviflora,75.3708411120552,0.20016558043524935,79.97758175590867,5.793578844152259,0.0007164478744738417,0.9506952244409792,0.026688027238144178
31,Ficus Variegata,86.17838358706112,0.16156514067756428,92.6804462642672,6.676212501718343,0.00037714768127441117,0.958002005461716,0.019363102363276447
32,Spathodea Campanulatum,74.30923569309533,0.16052375497193505,122.32847413179815,7.375533457256408,0.00030653525976954846,0.9428421821205293,0.01746057948745332
