index,tree_name,dec_g_glcm_mean,dec_green_mean_homogeneity,dec_green_mean_contrast,dec_green_mean_dissimilarity,dec_green_mean_ASM,dec_green_mean_correlation,dec_green_mean_energy
0,Falcataria Moluccana,119.79190766752582,0.2512523331976433,67.29967808557595,5.121651957179235,0.0008988364296661161,0.9230575380927265,0.029899755752282892
1,Ficus Variegata,108.36824688009878,0.12309762034331312,350.6764950042976,12.843935480534023,0.0006361268388832496,0.8513831481498428,0.02513951314615567
2,Bridelia Sp.,97.2450348069068,0.15717789130350307,150.30203091569007,8.223099987321785,0.00030952498945364693,0.935972768730975,0.017544272752419182
3,Falcataria Moluccana,121.4593414502051,0.2546549869569041,86.6396176588169,5.603269251922603,0.0012015149028839621,0.935487803934995,0.03459020402367033
4,Falcataria Moluccana,127.87818662921968,0.29811746164976305,52.69000597170109,4.328429644632414,0.0017399935322386225,0.9465853230414735,0.04162992590570949
5,Spathodea Campanulatum,109.65462187038118,0.13109364412075683,280.0728110544322,11.396546449935435,0.0007118815214316066,0.8908422453142731,0.026588539076511684
6,Terminalia Catappa,114.29252321594886,0.17104788761076628,242.7816050490528,9.916404961232244,0.0009415938505635973,0.8952268157986591,0.03059830864049561
7,Spathodea Campanulatum,80.34545472380175,0.10660260551260146,301.53904778643624,11.924457984855282,0.00017065392852180469,0.8985233812299347,0.013032341867817859
8,Shorea Leprosula,82.65048419823623,0.1805566664607653,110.70592263326182,7.0636323252333355,0.0005608010120910255,0.9008181066289019,0.023620145648242566
9,Syzygium Polyanthum,84.30162420147681,0.1429359281251582,241.54458607918184,9.672445468482143,0.00024302740183357367,0.934244499922671,0.015551250902163166
10,Cinnamomum Iners,106.8230606650921,0.12802816315905677,321.93386144825644,12.028508823587769,0.0004980092171383968,0.9080906910640834,0.02222870014223448
11,Clausena Excavata,93.610974275667,0.1324033142329273,197.2639907886222,9.628316903684535,0.00036381509472175976,0.9191515463173625,0.019025738804022245
12,Cinnamomum Iners,98.94594494837793,0.12061506363238371,238.8876327524903,10.58900999912511,0.0002140440834414449,0.9126173687515406,0.014571174854587584
13,Alstonia Angulstiloba,126.26579529375066,0.20845375358968835,112.10280147971353,6.793494767493803,0.0022486586240143616,0.8774172561921301,0.0473251647347535
14,Spathodea Campanulatum,112.86215762076677,0.13130792100202002,221.74796034138052,10.377384558917132,0.0006396862451370667,0.8593865117529013,0.025192329705043738
15,Clausena Excavata,103.20481933706914,0.13024907343180267,219.2748304211957,10.071956593665586,0.00028032175644647977,0.9241898495016878,0.01670215676755154
16,Syzygium Polyanthum,97.44870796547103,0.12280281754030195,287.591734246127,11.526937367932929,0.00036117477773085744,0.9355254018297527,0.018958241439211085
17,Sandoricum Koetjape,96.78017522174093,0.13208502649293005,285.0492598789134,11.216513178100112,0.00029838484512852425,0.9454447139927338,0.01722391539326833
18,Sterculia Parviflora,106.94097172820283,0.1163591971943229,191.62961314569813,10.071565025757398,0.0003057505478261215,0.8992521734058473,0.01744164207100698
19,Alstonia Angulstiloba,121.65827333228935,0.18152466691300354,120.85642116824691,7.533690883537553,0.0011319649881662052,0.8723676661432371,0.033556409294851285
20,Claoxylon Indicum,101.0940735917348,0.10329421548495996,284.8472866292814,12.097266669599115,0.0002477859902280683,0.9006874903675154,0.01570221674806645
21,Bridelia Sp.,95.72283769690586,0.11680838743969266,226.67364561828472,10.522055117987245,0.00023541224868195128,0.8851936523485033,0.015309183031870842
22,Pometia Pinnata,112.38684489231309,0.15156463022661198,188.45808348209727,9.728855525893508,0.0017767390446178563,0.8968075607155699,0.042061242442101965
23,Sterculia Parviflora,89.04188234876253,0.10333687983620032,263.8999909283383,11.687168141792476,0.0002298058435490019,0.9024588296129377,0.01513127484640695
24,Calophyllum,107.08627571458115,0.1264394599138727,150.7013700446687,8.927590352444614,0.0005127674271629473,0.8646804365303367,0.022620754374384364
25,Pennisetum Purpureum,82.1105161546626,0.09615356288066446,251.04866759737226,11.788164357745927,0.00017248614172266183,0.8961946467625308,0.013105790659035488
26,Sterculia Parviflora,113.19674389773903,0.23599289007858873,104.61796111129586,6.42091099194378,0.0010772137771340776,0.9450744712653056,0.03273652732086714
27,Campnosperma Auriculatum,108.39584394925112,0.11370107451009746,321.50007346743223,12.350150472108766,0.0003420979266896886,0.8187824080165242,0.018427727940339103
28,Leea Indica,112.43723326741328,0.16593912758515425,142.50285862827423,7.936170509949603,0.0005076335918556536,0.9169843282083279,0.022463636479601
29,Dillenia Suffruticosa,92.43035078100078,0.11389183279259425,247.27727992997887,11.170157789175724,0.0002907272287554275,0.9032855340794969,0.01701811344411315
30,Sterculia Parviflora,112.80113485801695,0.14589330370714748,181.07815362101132,8.925572641194456,0.0004908440597761527,0.8693013767665847,0.0221068519046572
31,Ficus Variegata,109.09823319747612,0.1202068657536974,338.4135217889147,12.587800460781752,0.0005816486131852417,0.8777371871216162,0.024034680793003187
32,Spathodea Campanulatum,109.17766753354347,0.11883939815854146,328.209070496067,12.486220483946607,0.0005182476401054904,0.8511363559052896,0.022678658937902295
