index,tree_name,dec_b_glcm_mean,dec_blue_mean_homogeneity,dec_blue_mean_contrast,dec_blue_mean_dissimilarity,dec_blue_mean_ASM,dec_blue_mean_correlation,dec_blue_mean_energy
0,Falcataria Moluccana,68.33890962653578,0.21679039151852117,63.57301175743442,5.245219737189939,0.0007063188864788559,0.9286223321428014,0.026503828757883194
1,Ficus Variegata,64.02300769051824,0.09322606877509378,324.7286237997255,12.890850327533924,0.00019088670707280477,0.8341945420447674,0.013784590305759861
2,Bridelia Sp.,58.808494656320995,0.153036487911604,133.9638843477253,7.936081135668979,0.00034198458149251867,0.9193118813549601,0.018443697797677922
3,Falcataria Moluccana,67.39701800624184,0.21176796773382567,79.21664407400989,5.694259315510683,0.0005883241070281488,0.9367855641190779,0.024189101078040832
4,Falcataria Moluccana,63.93014659536247,0.24376304675680988,48.3247931661425,4.485638665144334,0.0009001064175026163,0.9406668263376645,0.029917833586541383
5,Spathodea Campanulatum,62.07295982488979,0.09782658457786984,274.6754285433243,11.869257066766584,0.00019128741026091611,0.8743559543054064,0.013797655744302313
6,Terminalia Catappa,57.55173266198483,0.11009385313051416,301.8300684139424,11.664005145491148,0.00015313844135179328,0.9130112401468319,0.012338531692722558
7,Spathodea Campanulatum,42.199795064968626,0.10795977228810058,240.6674744485892,11.028490086387066,0.0002484229315741136,0.8409144678034814,0.015726428060090683
8,Shorea Leprosula,30.40351499060337,0.1831392628909551,90.26567862330171,6.5279973657079715,0.0007345517868634091,0.8641681938725427,0.027036769835931267
9,Syzygium Polyanthum,41.44207139508006,0.14524522135231258,177.510449456151,8.865932325842623,0.0003480675748981702,0.8900585349775356,0.018608483695497696
10,Cinnamomum Iners,42.93177945909535,0.09367290094815375,279.3594960871767,12.23246335971179,0.00017947067119686164,0.8761035381997759,0.013364718039815612
11,Clausena Excavata,41.18127371849144,0.1330117593186463,162.01811017489797,8.96553517352083,0.0004485981467331219,0.8604026139644946,0.02112529812288353
12,Cinnamomum Iners,46.6704220913588,0.11207110406625534,196.97885640665697,10.121070124950997,0.00025709859487497543,0.8709563568257033,0.015977933721285018
13,Alstonia Angulstiloba,47.98788291888481,0.13591785789619204,134.31502364184234,8.282365252457216,0.00041267095900719697,0.869195140153564,0.020266000518561502
14,Spathodea Campanulatum,66.91204335704728,0.1103425270780149,215.98275247865035,10.542029560727345,0.00027800846853239864,0.8536353842401301,0.016632256543947274
15,Clausena Excavata,44.87027628982139,0.11994010046314765,184.782178759573,9.675939315729812,0.00027864285513937414,0.8877908488592567,0.016654447406141047
16,Syzygium Polyanthum,50.75664821029708,0.0991100963817375,264.24765601793285,11.603761395328142,0.00021930766582097634,0.8633460516687376,0.014781417735825524
17,Sandoricum Koetjape,41.57409751284406,0.10784923232030452,242.57711706597826,11.11916512077338,0.00017097532265060347,0.9122730253363245,0.013042240413170867
18,Sterculia Parviflora,50.920531781193304,0.10914903568619348,181.61073543256518,9.985146823536315,0.0002782657783041968,0.8664519800541892,0.016646283554234045
19,Alstonia Angulstiloba,66.12223185935112,0.1287574129943039,137.10343163365127,8.543431419139443,0.0003110182651593614,0.9043878437679351,0.017594712686264925
20,Claoxylon Indicum,54.69832208606092,0.0925272940601678,282.04583130969354,12.250707262600168,0.0001957375918535198,0.8795435734144338,0.013964419074460485
21,Bridelia Sp.,54.321874938924054,0.11791612339990584,199.39537168481047,10.053698883480156,0.00031053997914170714,0.8440505626253609,0.017586474510514184
22,Pometia Pinnata,30.81369043648,0.10993199252587384,183.0971525984832,10.109237549783963,0.00032706202227661456,0.8804782496169774,0.01805810204386575
23,Sterculia Parviflora,40.823732789368556,0.10312753329730505,232.73588033592054,11.145313615329757,0.0002378573116596252,0.888054734976661,0.015392787808996833
24,Calophyllum,53.1247329184306,0.11402972334746508,156.75025512253686,9.313656241606123,0.0004434093538213842,0.860984381789983,0.021032287059992296
25,Pennisetum Purpureum,46.14934324333249,0.0952538327969656,246.90535275757077,11.72322027347043,0.00018762538979898825,0.8787597554259647,0.013669372563334836
26,Sterculia Parviflora,43.460911963746966,0.17284924813359284,133.41086153980288,7.8014654419323595,0.0005746612907106494,0.9007812787748447,0.023910365465121014
27,Campnosperma Auriculatum,84.31151230194408,0.09388256262363052,345.43719063104413,13.073522046394661,0.00017571701848437862,0.8399999579509954,0.013223298992810908
28,Leea Indica,42.447727578199384,0.14189021368459734,127.81528122701525,8.010596370166672,0.00039600449682681145,0.8913603729869329,0.019847289429056975
29,Dillenia Suffruticosa,37.85737098797126,0.10677275193543904,198.48271125748852,10.236350240823171,0.00034391531259663345,0.8779370084727747,0.018510533599419794
30,Sterculia Parviflora,57.233694850342296,0.12810835142452623,184.2625614945428,9.32336555004763,0.00033341627050985535,0.8764811218135318,0.018220267486898884
31,Ficus Variegata,56.541319208876075,0.09091977722862332,316.88416452138466,12.803906452481366,0.00015984431572450833,0.8737586337818942,0.012611470257591123
32,Spathodea Campanulatum,70.74038210538694,0.08969218626592726,354.1241393164167,13.420495921237883,0.00015933315453353148,0.8551935337467218,0.012595143915656443
