index_,tree_name,r_glcm_mean,r_mean_homogeneity,r_mean_contrast,r_mean_dissimilarity,r_mean_ASM,r_mean_correlation,r_mean_energy,g_glcm_mean,g_mean_homogeneity,g_mean_contrast,g_mean_dissimilarity,g_mean_ASM,g_mean_correlation,g_mean_energy,b_glcm_mean,b_mean_homogeneity,b_mean_contrast,b_mean_dissimilarity,b_mean_ASM,b_mean_correlation,b_mean_energy,RE_glcm_mean,RE_mean_homogeneity,RE_mean_contrast,RE_mean_dissimilarity,RE_mean_ASM,RE_mean_correlation,RE_mean_energy,NIR_glcm_mean,NIR_mean_homogeneity,NIR_mean_contrast,NIR_mean_dissimilarity,NIR_mean_ASM,NIR_mean_correlation,NIR_mean_energy,id_based_on_tree_name
0,Falcataria Moluccana,91.70176359398867,0.1015653392546314,390.4612368290127,13.599778951532766,0.0001880833297424,0.8053700769537209,0.0136906723429216,102.40950856113432,0.108047858084674,378.7654182703485,13.340117240849892,0.0002232188980126,0.8023095398035458,0.0149107044931978,46.58983779377239,0.0869811360145629,364.83451086967136,13.791452414727589,0.0001985763301913,0.7425499207817007,0.0140703959076907,45.36699956986406,0.1297237526517567,191.4631438098598,9.595327875648094,0.0002914176970836,0.8791953520893723,0.0170303892387721,61.56348613558404,0.1267038036793586,178.4828628218065,9.36014147632541,0.0002799633913064,0.8969454929438128,0.0166909401585231,9
1,Ficus Variegata,94.8416929954702,0.0843158353720738,664.2179002885728,17.7940054213408,0.0001471570276066,0.8435492476100529,0.0120997535273655,106.56570044286092,0.1146000145662307,640.6986228352448,16.982653692987537,0.0008750929406923,0.8377721867202859,0.0294755203651982,35.09794278342166,0.061639110398235,654.3849680447254,18.943068769285585,9.72818333523643e-05,0.7778793041989832,0.009844921084378,50.86574903253093,0.0976108114596242,304.16004486814904,12.57422202886022,0.0001402701611682,0.8969395576371865,0.0118127218116638,67.94425668803466,0.1100203270052662,233.05073947654947,10.874137017557455,0.0001708738797834,0.9164574195137872,0.0130369099639651,10
2,Bridelia Sp.,93.72414766422229,0.0975337488567195,350.5337000185981,13.135879367219236,0.0001633012412534,0.89081119824564,0.012748972432555,107.0162423397444,0.1178942976835931,337.87050028774195,12.648574092753584,0.0004832923060365,0.8926570579699341,0.0219068572462595,46.97225893672255,0.0846978300460917,344.67790441021066,13.56312347599598,0.0001530436529639,0.8493151830399468,0.0123429924728032,47.49572236751054,0.1427022301259304,111.31898415855149,7.708843702389567,0.0002732451185507,0.944502769070264,0.0164852631119752,66.90464383591946,0.1528215031367538,96.8492388765053,7.083914681691544,0.000285217344164,0.9618934514190188,0.016841009029127,1
3,Falcataria Moluccana,91.61828425285589,0.1086719836230285,405.1792272233731,13.514777114982245,0.0001558920456622,0.8785168908655347,0.0124608584302893,103.7422831990106,0.127311613659477,390.46423419011546,13.090068333496127,0.0003823025347317,0.873386252071249,0.0195080274372575,45.23858542556904,0.0902406071069844,376.7332120837743,13.776320534584862,0.0001632368210393,0.8164220917642637,0.0127527101107211,46.5581400881856,0.1384200521430506,167.74726358507024,8.90190570103624,0.000255176530283,0.9232803620144466,0.0159311684573512,64.11551690159294,0.1361334207059486,152.34865298066737,8.601317755195069,0.000247549494996,0.9337701837442662,0.015690223261506,9
4,Falcataria Moluccana,94.97887126245716,0.1014532704675056,512.2064180748658,15.169069975762415,0.000156641086538,0.8536320662125324,0.0124919943178959,104.5141021240252,0.1218924295731513,507.5181046293801,14.863615649662115,0.000474671339456,0.8571175284345949,0.0217376486066224,37.95762814765519,0.0825621201463828,437.485925193354,14.967588651574305,0.00017865669741,0.7313106738199069,0.0133478473248787,48.368814755733176,0.1113328857121707,278.3261018943492,11.466281334107451,0.0001691353070213,0.8992520653231144,0.0129733034436921,62.09743512089965,0.1153643710123739,225.50221835113572,10.458646773970228,0.0001893280886621,0.9121213955205432,0.0137251149104004,9
5,Spathodea Campanulatum,99.63605054365404,0.085345083927056,468.6231435835207,15.310059724169552,0.0001687360179312,0.8367167016373599,0.012957359032213,102.01326604172424,0.0893966336868964,464.75586490509306,15.128846815319068,0.0002063748994255,0.8400212023744309,0.0143262691358711,48.60849669278264,0.0685565861103271,517.0422808662804,16.70893265144536,0.0001112815896162,0.816263445319509,0.0105265220100401,41.06170997146468,0.1366699946996837,143.696036338093,8.567905092869786,0.0002834747858342,0.9166300423515916,0.0167927058290497,54.16374806045513,0.1417480969338649,142.30980716025317,8.368213156694377,0.0002896746135983,0.9298773732833664,0.0169747677271757,16
6,Terminalia Catappa,98.99620385309343,0.0991543553675206,563.6546938812867,15.90946419579472,0.0001882563507777,0.8449208083088986,0.0136847900319802,108.89245868218792,0.1261705126382994,533.0511327484404,15.184122680640847,0.0008213051909579,0.831716132255957,0.0285617615331087,39.00453566979079,0.067147844985144,599.1255983096137,17.748075103763988,0.000104970880724,0.7915121047637836,0.0102242880786338,47.51495072553244,0.1262492375971183,242.62723638358528,10.555955407089956,0.0001988927023395,0.897783763154597,0.0140623688891126,57.75292825627831,0.1487140562982607,173.4715426902928,8.815397660201095,0.0002775044332557,0.9097762825251304,0.0166098401746298,19
7,Spathodea Campanulatum,64.5134230043629,0.0687465588375818,527.2075584195138,16.905393537192207,9.429334575312402e-05,0.8620590501932763,0.0096892942694505,75.35239490847447,0.0688726415941448,530.6664601272764,16.917684237010153,9.365069558975088e-05,0.8682628837470224,0.0096565456444107,35.33849129755429,0.0698822506745158,478.9694452906,16.29631825909376,0.0001155751425099,0.8192981726112614,0.0107283264226612,31.493039265873115,0.1869495211846818,68.70338497799779,5.855016908445161,0.0004619029053808,0.9504203141733136,0.021431379128432,49.07950740595979,0.173686903825514,85.61405045177659,6.396452678718032,0.0003249560207864,0.9607771828032318,0.0179756264949033,16
8,Shorea Leprosula,74.41503350473366,0.1346531914422967,208.55071399089823,10.156860815827113,0.0003013431705164,0.8976083945630506,0.0173248317781561,82.45365551425319,0.133189412677845,215.03681389378568,10.307918632120195,0.0002945363169335,0.9146063813878746,0.0171280624054089,27.697097312914707,0.1349220872719468,196.1375805830077,9.943478461420307,0.0004601124922616,0.8254398187555905,0.0214064965048399,24.6007353964087,0.2749107508174068,40.47395041237543,4.327532330174124,0.001601950685793,0.9540804949393028,0.0399014752453942,33.25810603323268,0.2462049162576518,48.27746176805873,4.772703639899669,0.0010380744109996,0.9583758385955008,0.0321168990231021,15
9,Syzygium Polyanthum,68.92522765631756,0.0960652724762468,272.2244873642948,12.000481223778266,0.0001717614096215,0.9023087328544588,0.0130791327665749,79.27557797202208,0.0967324364069572,271.5974173151927,11.953432224456774,0.0001747167975976,0.900761820829466,0.0131920088952198,31.74140869859141,0.0967365131896775,251.30965548068656,11.669064903814435,0.0002418344734899,0.8248348117543416,0.0155197022472473,30.892441794404466,0.2532794895489672,34.00142207662726,3.9000376953678737,0.0009508924403181,0.9527593031910372,0.0307529426043922,45.809698045599966,0.2661849975775349,34.34244696225964,3.690306967665389,0.0008784617301038,0.9639595319721151,0.0295600944465388,18
