index_,tree_name,r_glcm_mean,r_mean_homogeneity,r_mean_contrast,r_mean_dissimilarity,r_mean_ASM,r_mean_correlation,r_mean_energy,g_glcm_mean,g_mean_homogeneity,g_mean_contrast,g_mean_dissimilarity,g_mean_ASM,g_mean_correlation,g_mean_energy,b_glcm_mean,b_mean_homogeneity,b_mean_contrast,b_mean_dissimilarity,b_mean_ASM,b_mean_correlation,b_mean_energy,RE_glcm_mean,RE_mean_homogeneity,RE_mean_contrast,RE_mean_dissimilarity,RE_mean_ASM,RE_mean_correlation,RE_mean_energy,NIR_glcm_mean,NIR_mean_homogeneity,NIR_mean_contrast,NIR_mean_dissimilarity,NIR_mean_ASM,NIR_mean_correlation,NIR_mean_energy,id_based_on_tree_name
0,Falcataria Moluccana,107.38108310796704,0.2384652839680654,72.01696391284338,5.293931732605358,0.0007107756724,0.9319756697766652,0.0265865203425487,119.79190766752582,0.2512523331976433,67.29967808557595,5.121651957179235,0.0008988364296661,0.9230575380927264,0.0298997557522828,68.33890962653578,0.2167903915185211,63.57301175743442,5.245219737189939,0.0007063188864788,0.9286223321428014,0.0265038287578831,56.28864386258644,0.2335696346851714,55.78306449348693,4.835622462480298,0.0006578077671241,0.9538225382372296,0.0255724484830636,79.9530585726763,0.2362350578985898,56.8991047915401,4.7072599586563895,0.0006930416576483,0.9589145189957532,0.0262476195647548,8
1,Ficus Variegata,95.54481240855912,0.1015880266751757,369.91182148784816,13.348730089528244,0.000171898300425,0.8695638815340566,0.0130786631357062,108.36824688009878,0.1230976203433131,350.6764950042976,12.843935480534023,0.0006361268388832,0.8513831481498428,0.0251395131461556,64.02300769051824,0.0932260687750937,324.7286237997255,12.890850327533924,0.0001908867070728,0.8341945420447674,0.0137845903057598,47.64312605187983,0.1437267960487457,141.8585485013365,8.393021337192387,0.0003086089884159,0.909835234144248,0.0175194851253,73.74828046888496,0.1757573657683291,86.41856758870269,6.485420961441414,0.0004133390776497,0.9388736191358537,0.0202743922524055,9
2,Bridelia Sp.,89.76388307801764,0.1524453193683402,150.40890811460443,8.271919840525056,0.0002964786236298,0.934025922028695,0.0171722290901197,97.2450348069068,0.157177891303503,150.30203091569007,8.223099987321785,0.0003095249894536,0.935972768730975,0.0175442727524191,58.808494656321,0.153036487911604,133.9638843477253,7.936081135668979,0.0003419845814925,0.91931188135496,0.0184436977976779,31.86971389707408,0.2611240497926808,35.23227931004543,3.991795564434287,0.0009451208618591,0.96727722387916,0.0306565156500152,49.43325786691959,0.2561035898693943,36.24965441851066,4.0378985217966346,0.0007570762403719,0.977770720148881,0.027436554996219,1
3,Falcataria Moluccana,106.732556659782,0.2282393704174518,94.1935478816237,5.901113307739925,0.0005290448377849,0.9410615444105442,0.022935049213689,121.4593414502051,0.2546549869569041,86.6396176588169,5.603269251922603,0.0012015149028839,0.935487803934995,0.0345902040236703,67.39701800624184,0.2117679677338256,79.21664407400989,5.694259315510683,0.0005883241070281,0.936785564119078,0.0241891010780408,59.62498664105654,0.2180532328460419,60.2493097668052,5.109652926359404,0.000476553301461,0.965419322304145,0.0217646949789745,85.27225782490694,0.2248004667073913,57.1683392422234,4.85997147912743,0.0004938363535552,0.9713185302256294,0.0221525827994018,8
4,Falcataria Moluccana,113.60704042118192,0.267439897963546,54.57410965803612,4.522452525269413,0.0008441105252144,0.9494405386611692,0.0289722225585833,127.87818662921968,0.298117461649763,52.69000597170109,4.328429644632414,0.0017399935322386,0.9465853230414736,0.0416299259057094,63.93014659536247,0.2437630467568098,48.3247931661425,4.485638665144334,0.0009001064175026,0.9406668263376644,0.0299178335865413,64.92080113098973,0.2204251436796321,61.16859592704337,5.037615288702671,0.0005338845744601,0.962767359918264,0.0230352624527689,88.21302033723002,0.2411663086086584,48.8970161322972,4.387697408946277,0.0006383052394259,0.9675206567864808,0.0251839348761783,8
5,Spathodea Campanulatum,97.4989517744854,0.1068450672594967,297.6369404621714,11.958679593555528,0.000191980021739,0.8981568703193389,0.0138217841888619,109.65462187038118,0.1310936441207568,280.0728110544322,11.396546449935435,0.0007118815214316,0.8908422453142731,0.0265885390765116,62.07295982488979,0.0978265845778698,274.6754285433243,11.869257066766584,0.0001912874102609,0.8743559543054064,0.0137976557443023,57.88891711021968,0.1315260569322571,152.2389913514676,8.72874465275291,0.0002166778635816,0.9424881162476708,0.0146807604870035,83.48267054543074,0.1634509721251967,101.387882752639,6.8499517643672485,0.0003046143448947,0.9595963904400784,0.0174021855896251,15
6,Terminalia Catappa,104.4369480893904,0.1492557745860111,262.53257819708284,10.41457704472921,0.0003087609360679,0.9065709260745132,0.0175229867262828,114.29252321594886,0.1710478876107662,242.7816050490528,9.916404961232244,0.0009415938505635,0.8952268157986591,0.0305983086404956,57.55173266198483,0.1100938531305141,301.8300684139424,11.664005145491148,0.0001531384413517,0.913011240146832,0.0123385316927225,59.593943751837045,0.1484640390422366,170.7959736151914,8.685256584166519,0.0002337406751431,0.9319141027099312,0.0152390877712728,75.6297165259479,0.179041209078249,109.14606864935232,6.840745990370648,0.0003500019078152,0.9427596383510776,0.018647552739281,18
7,Spathodea Campanulatum,67.21644756655245,0.1063979144536127,298.9162047946154,11.914552146942825,0.0001697063805928,0.8959421130027752,0.0129959432123865,80.34545472380175,0.1066026055126014,301.53904778643624,11.924457984855282,0.0001706539285218,0.8985233812299347,0.0130323418678178,42.19979506496863,0.1079597722881005,240.6674744485892,11.028490086387066,0.0002484229315741,0.8409144678034814,0.0157264280600906,36.293856717108525,0.2093275037593828,64.13893877871163,5.41370379569933,0.0005072773317158,0.95809854045001,0.0224594340763288,60.231722603464654,0.2152329451002344,73.14361197377092,5.406954629152531,0.0003967468477149,0.9720991591762308,0.0198587494643956,15
8,Shorea Leprosula,72.59903468348982,0.1760804122842778,116.17102420540176,7.1690671233242895,0.0004836488828239,0.902312294245065,0.0219396247360967,82.65048419823623,0.1805566664607653,110.70592263326182,7.063632325233336,0.000560801012091,0.900818106628902,0.0236201456482425,30.40351499060337,0.1831392628909551,90.26567862330172,6.527997365707972,0.0007345517868634,0.8641681938725427,0.0270367698359312,25.30227642345788,0.3074995410950717,42.26150161032102,3.9650353541211674,0.0027436642559759,0.927792965154089,0.0522207136008309,36.4819310247217,0.3004878208796581,42.81228866595905,3.888102574723086,0.0017527623257783,0.9476551600310248,0.041721249364924,14
9,Syzygium Polyanthum,75.73218925249489,0.1410875208428737,233.63932426222783,9.631313776140122,0.0002460441513887,0.932766344784512,0.0156467506614576,84.30162420147681,0.1429359281251582,241.54458607918184,9.672445468482143,0.0002430274018335,0.934244499922671,0.0155512509021631,41.44207139508006,0.1452452213523125,177.510449456151,8.865932325842623,0.0003480675748981,0.8900585349775356,0.0186084836954976,35.70575286450314,0.2323624688218357,65.35612164115393,5.11575443657876,0.0006156535483286,0.954107742592547,0.0247369385086538,53.87181515220754,0.2503840854465459,63.86822989382526,4.597661299696458,0.0005568766790713,0.9694986763008508,0.0235257716212656,17
10,Cinnamomum Iners,96.8840287757464,0.1088683545282256,337.6035437205422,12.497759082413989,0.0001959597050268,0.9152419409245895,0.013962417621247,106.8230606650921,0.1280281631590567,321.93386144825644,12.028508823587767,0.0004980092171383,0.9080906910640834,0.0222287001422344,42.93177945909535,0.0936729009481537,279.3594960871767,12.23246335971179,0.0001794706711968,0.8761035381997759,0.0133647180398156,52.29341200849412,0.136299781667222,149.5761006192228,8.58754954432382,0.0002307064348403,0.9435429296341664,0.0151483096256772,71.08366050058767,0.1680324135472208,94.87164024933809,6.654070943692783,0.0003298384068023,0.9588150849357058,0.018111296413241,4
11,Clausena Excavata,81.3833811931147,0.1336397291250566,192.31382671136436,9.539765533524069,0.0003550072141635,0.9115774638527006,0.0187890840278983,93.610974275667,0.1324033142329273,197.2639907886222,9.628316903684537,0.0003638150947217,0.9191515463173624,0.0190257388040222,41.18127371849144,0.1330117593186463,162.01811017489797,8.96553517352083,0.0004485981467331,0.8604026139644946,0.0211252981228835,45.8584932504605,0.1830129948973148,57.883933613696,5.600032539849599,0.0004975477538893,0.9616294297062716,0.0222471469145041,63.731703078518095,0.2082529711083426,44.07975246747509,4.842920635755828,0.0005873741791069,0.9718269129022686,0.0241744504415288,6
12,Cinnamomum Iners,90.96469635399625,0.1153142740133295,239.6482604884979,10.696415414036643,0.0001802855772429,0.917461743074119,0.013378236077124,98.94594494837791,0.1206150636323837,238.8876327524903,10.58900999912511,0.0002140440834414,0.9126173687515406,0.0145711748545875,46.6704220913588,0.1120711040662553,196.97885640665697,10.121070124950997,0.0002570985948749,0.8709563568257033,0.015977933721285,46.077322233680974,0.1517360667513129,121.44223853120492,7.649897128228152,0.0002812611381272,0.9464166913740696,0.0167226369344736,63.36903941338724,0.1647706641227381,92.43526565442671,6.674580377284893,0.0003124242803758,0.9580230362254336,0.0176229236318767,4
