index,tree_name,may_NIR_glcm_mean,may_NIR_mean_homogeneity,may_NIR_mean_contrast,may_NIR_mean_dissimilarity,may_NIR_mean_ASM,may_NIR_mean_correlation,may_NIR_mean_energy
0,Falcataria Moluccana,61.56348613558404,0.12670380367935863,178.4828628218065,9.36014147632541,0.0002799633913064205,0.8969454929438128,0.016690940158523175
1,Ficus Variegata,67.94425668803466,0.11002032700526622,233.05073947654947,10.874137017557457,0.000170873879783482,0.9164574195137871,0.013036909963965105
2,Bridelia Sp.,66.90464383591946,0.15282150313675383,96.8492388765053,7.083914681691544,0.0002852173441640267,0.9618934514190187,0.01684100902912709
3,Falcataria Moluccana,64.11551690159294,0.1361334207059486,152.34865298066737,8.601317755195069,0.0002475494949960729,0.9337701837442662,0.015690223261506018
4,Falcataria Moluccana,62.09743512089965,0.11536437101237396,225.50221835113575,10.458646773970228,0.0001893280886621835,0.9121213955205432,0.013725114910400439
5,Spathodea Campanulatum,54.16374806045513,0.14174809693386492,142.30980716025317,8.368213156694377,0.00028967461359836387,0.9298773732833664,0.016974767727175717
6,Terminalia Catappa,57.75292825627831,0.14871405629826073,173.4715426902928,8.815397660201095,0.00027750443325579515,0.9097762825251304,0.016609840174629815
7,Spathodea Campanulatum,49.07950740595979,0.173686903825514,85.61405045177659,6.396452678718032,0.00032495602078646516,0.9607771828032318,0.01797562649490335
8,Shorea Leprosula,33.25810603323268,0.24620491625765187,48.27746176805873,4.772703639899669,0.0010380744109996594,0.9583758385955007,0.03211689902310219
9,Syzygium Polyanthum,45.809698045599966,0.26618499757753494,34.34244696225964,3.6903069676653892,0.0008784617301038474,0.9639595319721153,0.0295600944465388
10,Cinnamomum Iners,50.18128067115392,0.17816000136887677,61.43855260029589,5.769601058695536,0.0004763778011151287,0.9513102262204729,0.021763888445238067
11,Clausena Excavata,49.689668489633625,0.21650171226205858,40.07044693502439,4.580738866244701,0.0006999510902478395,0.9573853769563171,0.02637852251010441
12,Cinnamomum Iners,65.7323404607805,0.17369772544372303,64.72879014936626,5.929586614610663,0.00039743003496845163,0.9635101723531214,0.01988179622822587
13,Cratoxylum Formosum,66.19590187035975,0.18006440071151786,78.37086109716857,6.080620746928016,0.00045282440711750155,0.9427291166519074,0.021212586490916188
14,Alstonia Angulstiloba,60.62090787110279,0.18720600123996026,57.363563078715096,5.519650372635373,0.0006902283678790585,0.9437723050184447,0.02619928464615642
15,Spathodea Campanulatum,59.64135315371272,0.14609614987804526,103.8154639266539,7.343915362841615,0.0003707452599471323,0.9303610612337668,0.019201577939898025
16,Clausena Excavata,54.12217936236302,0.18091406739137916,66.0122419594855,5.870650014495047,0.00036919852454741315,0.9730252288413805,0.019159652219757226
17,Syzygium Polyanthum,65.32443454279216,0.1699180097051619,68.35899610562066,6.074581168068939,0.00046401124896123353,0.9457709161531619,0.021485665520233434
18,Sandoricum Koetjape,61.317298879138704,0.17454419336902777,72.64277763650972,6.13507411057159,0.0003458094215867648,0.9659667098215989,0.01853869720081021
19,Sterculia Parviflora,66.2248525531293,0.17229408281923236,67.74517460614733,5.961121391892476,0.0004890500996123642,0.9513915008487882,0.022054542391661696
20,Alstonia Angulstiloba,76.16237657193972,0.18783971086924875,52.891791757159005,5.29145127715235,0.000678551746784718,0.9408700447105722,0.025985447167394274
21,Claoxylon Indicum,50.81671388679654,0.18982043722420244,56.344503705656834,5.440974723704905,0.0006445899824701171,0.9400617609700519,0.02531312255848679
22,Bridelia Sp.,43.06991882371208,0.1968956556059565,47.55805974278314,5.090165260987631,0.0006166177668836558,0.9476556364362105,0.02476378025904677
23,Pometia Pinnata,61.29958670547026,0.23428840082482053,43.83766702652371,4.40444732117216,0.0007739151003750143,0.9717648466370671,0.027743119113203457
24,Sterculia Parviflora,64.03084330421679,0.20662929821128784,45.248141772699306,4.933379560115057,0.0006476709349006753,0.9574764655574342,0.025375140331807926
25,Calophyllum,58.42610510784249,0.22699023042667552,37.92588097037478,4.403232642870102,0.0009162926662349547,0.955895729964263,0.030193627505757516
26,Pennisetum Purpureum,42.949813045181315,0.20588618060329694,40.5609281200467,4.754585949396549,0.0008411303437326301,0.9379679324256927,0.028918508077760807
27,Sterculia Parviflora,49.41395779853821,0.2504089280710031,49.453366227608015,4.7530435971888245,0.0013922533809478538,0.9566582913647539,0.037206588236940716
28,Campnosperma Auriculatum,63.648373262812626,0.13603379286275893,204.4838686738005,9.688513748821062,0.00022758138908824836,0.9186773240770428,0.015040269922528493
29,Leea Indica,65.56453916276018,0.2278690445131503,35.11655328357691,4.337461279845001,0.000724143212961042,0.9667934011051242,0.02682632241853188
30,Dillenia Suffruticosa,68.12570479196789,0.1765125300207892,73.42655057724761,6.197498767011379,0.000594511867784462,0.9509426421546403,0.024317596361664848
31,Sterculia Parviflora,70.57571779415787,0.21012067646470742,52.55294816768371,5.071663408997386,0.000843874341443234,0.9339013296552846,0.028972395327532947
32,Ficus Variegata,84.04045025033241,0.15033599926515062,101.92673079348985,7.252730140845658,0.00036102992270383187,0.9328227246461603,0.018947229883678612
33,Spathodea Campanulatum,55.13375170995442,0.14770920489575845,140.99224956341067,8.029363069466745,0.0003181572193482648,0.9208028719044801,0.017787934748788398
