index,tree_name,may_RE_glcm_mean,may_RE_mean_homogeneity,may_RE_mean_contrast,may_RE_mean_dissimilarity,may_RE_mean_ASM,may_RE_mean_correlation,may_RE_mean_energy
0,Falcataria Moluccana,45.36699956986406,0.12972375265175679,191.4631438098598,9.595327875648094,0.0002914176970836651,0.8791953520893723,0.017030389238772165
1,Ficus Variegata,50.86574903253093,0.09761081145962425,304.16004486814904,12.57422202886022,0.0001402701611682139,0.8969395576371865,0.011812721811663845
2,Bridelia Sp.,47.49572236751054,0.14270223012593047,111.31898415855149,7.708843702389567,0.00027324511855071404,0.9445027690702639,0.016485263111975276
3,Falcataria Moluccana,46.558140088185596,0.13842005214305064,167.74726358507024,8.90190570103624,0.00025517653028305957,0.9232803620144466,0.015931168457351225
4,Falcataria Moluccana,48.368814755733176,0.11133288571217073,278.3261018943492,11.466281334107451,0.00016913530702135566,0.8992520653231144,0.012973303443692123
5,Spathodea Campanulatum,41.06170997146468,0.13666999469968377,143.696036338093,8.567905092869786,0.00028347478583421164,0.9166300423515915,0.016792705829049785
6,Terminalia Catappa,47.51495072553244,0.12624923759711834,242.62723638358528,10.555955407089957,0.00019889270233958587,0.897783763154597,0.014062368889112612
7,Spathodea Campanulatum,31.493039265873115,0.18694952118468183,68.70338497799779,5.855016908445161,0.00046190290538082027,0.9504203141733136,0.02143137912843203
8,Shorea Leprosula,24.6007353964087,0.27491075081740685,40.47395041237543,4.327532330174124,0.001601950685793028,0.9540804949393028,0.039901475245394225
9,Syzygium Polyanthum,30.892441794404462,0.2532794895489672,34.00142207662726,3.9000376953678737,0.0009508924403181607,0.9527593031910371,0.030752942604392215
10,Cinnamomum Iners,36.77131464729152,0.16202639853582845,78.93873115819122,6.549940374956855,0.00041583423402681574,0.9374847533922701,0.020333370311774852
11,Clausena Excavata,34.81676878576941,0.21844481601709234,39.43148265236276,4.548630212937585,0.0007482517096782692,0.9512888908846631,0.027270557776202596
12,Cinnamomum Iners,50.026499846121126,0.16160316682571102,78.003658320148,6.501620998273559,0.0003386404914373511,0.9568609053972255,0.01835156783905142
13,Cratoxylum Formosum,53.22221301952317,0.1588581055330065,98.01556981195019,6.933336390411503,0.0003616367070784108,0.9379906799070519,0.01895711420416274
14,Alstonia Angulstiloba,54.840113870176296,0.14394495230359236,97.89444929033081,7.329784023381627,0.0003947133742769929,0.9359349307754774,0.019814649712179097
15,Spathodea Campanulatum,46.67158845731029,0.13121190734350033,123.94472459942054,8.156180451998118,0.0003253829727326383,0.9150923855739501,0.017990333257146517
16,Clausena Excavata,39.26196690728698,0.18575922893428598,62.7318214040146,5.756724746078081,0.00042208235252369595,0.9648485827828434,0.020485371991957983
17,Syzygium Polyanthum,46.1113081600681,0.15525278214500374,78.71375961672551,6.60501171310042,0.00042460208809429764,0.9350348383125018,0.020553828050206495
18,Sandoricum Koetjape,43.41364226015128,0.16204868558552224,92.66452129873849,6.964690299836566,0.00031841876530387545,0.9568027986350647,0.017790714598144533
19,Sterculia Parviflora,48.20002573366807,0.15672993726289186,81.08484576372507,6.649883729087317,0.00042312952990219526,0.9368483980899655,0.02051598720908527
20,Alstonia Angulstiloba,62.14191626713149,0.16037713862257724,72.05318501884933,6.286807399155698,0.0005417506151419986,0.9239343808610064,0.023220394808106337
21,Claoxylon Indicum,35.483005948977635,0.18249623198921522,57.75565380981426,5.604513616305571,0.0006265972620330483,0.9274939194038263,0.024959376188256124
22,Bridelia Sp.,30.695178367579665,0.1949355820587299,48.335548296014565,5.150480543435442,0.0006835716670871202,0.9355544570726804,0.026073279498666935
23,Pometia Pinnata,44.58410645241405,0.21018211163419048,49.493772310291476,4.922437502530718,0.0006231902991675165,0.9628782957935297,0.024894050340006975
24,Sterculia Parviflora,47.573645801796104,0.19046776840577306,56.68180257514294,5.535102765390125,0.0005884466856565021,0.9427551443499324,0.02419016760960534
25,Calophyllum,45.562535964947074,0.19891765893083319,45.49218252108116,4.97751966455793,0.0007131773314376137,0.9509612820217614,0.026636443150166094
26,Pennisetum Purpureum,28.26950946864108,0.22374448415366716,30.953331377336447,4.203916228479001,0.0012150311750903859,0.9217550884099506,0.0347618066740264
27,Sterculia Parviflora,40.66655690218672,0.24485412635301257,71.78313765096868,5.578749877260054,0.001566796968470258,0.9540285558886272,0.039467753123825486
28,Campnosperma Auriculatum,41.31253337255194,0.1428408774704112,183.00477096951505,9.290429087371448,0.0002455328193378865,0.9109298004140453,0.015621670619432225
29,Leea Indica,58.339860859756314,0.1963819620997594,50.356076689891815,5.226689723194978,0.0005656886585701025,0.9584515422571194,0.0237159209348569
30,Dillenia Suffruticosa,52.37360220516429,0.1659625358653951,77.67849953646886,6.450792697247092,0.0005074780351577945,0.944865315580222,0.022466361750708094
31,Sterculia Parviflora,54.96644954554461,0.1826970164308493,65.44327979103065,5.816095430061095,0.0005962749391972867,0.9366285590005894,0.024353559387327525
32,Ficus Variegata,65.19546091529179,0.11469969387996269,162.93939243543184,9.470141308144932,0.00023617541132574317,0.9152373900853701,0.01532475794308747
33,Spathodea Campanulatum,39.71067634545287,0.14551435292304613,137.33044966108622,8.089775570477496,0.00032956389788759224,0.9027798293295717,0.01810542475369244
