,test,pred,tp_count
0,['Alstonia Angulstiloba'],['Alstonia Angulstiloba'],3
15,['Clausena Excavata'],['Clausena Excavata'],1
22,['Falcataria Moluccana'],['Falcataria Moluccana'],3
25,['Ficus Variegata'],['Ficus Variegata'],1
36,['Spathodea Campanulatum'],['Spathodea Campanulatum'],5
42,['Sterculia Parviflora'],['Sterculia Parviflora'],3
