,test,pred,tp_count
0,['Alstonia Angulstiloba'],['Alstonia Angulstiloba'],3
15,['Clausena Excavata'],['Clausena Excavata'],1
23,['Falcataria Moluccana'],['Falcataria Moluccana'],2
40,['Spathodea Campanulatum'],['Spathodea Campanulatum'],3
44,['Sterculia Parviflora'],['Sterculia Parviflora'],4
