,test,pred,tp_count
0,['Alstonia Angulstiloba'],['Alstonia Angulstiloba'],3
2,['Bridelia Sp.'],['Bridelia Sp.'],1
8,['Clausena Excavata'],['Clausena Excavata'],2
13,['Falcataria Moluccana'],['Falcataria Moluccana'],3
17,['Shorea Leprosula'],['Shorea Leprosula'],1
19,['Spathodea Campanulatum'],['Spathodea Campanulatum'],5
