,test,pred,tp_count
0,['Alstonia Angulstiloba'],['Alstonia Angulstiloba'],4
1,['Bridelia Sp.'],['Bridelia Sp.'],2
8,['Clausena Excavata'],['Clausena Excavata'],2
12,['Falcataria Moluccana'],['Falcataria Moluccana'],3
20,['Spathodea Campanulatum'],['Spathodea Campanulatum'],5
