,test,pred,tp_count
0,['Alstonia Angulstiloba'],['Alstonia Angulstiloba'],3
2,['Bridelia Sp.'],['Bridelia Sp.'],1
22,['Falcataria Moluccana'],['Falcataria Moluccana'],3
34,['Shorea Leprosula'],['Shorea Leprosula'],1
36,['Spathodea Campanulatum'],['Spathodea Campanulatum'],5
41,['Sterculia Parviflora'],['Sterculia Parviflora'],3
