,test,pred,tp_count
0,['Alstonia Angulstiloba'],['Alstonia Angulstiloba'],3
2,['Bridelia Sp.'],['Bridelia Sp.'],1
14,['Clausena Excavata'],['Clausena Excavata'],2
18,['Falcataria Moluccana'],['Falcataria Moluccana'],2
29,['Spathodea Campanulatum'],['Spathodea Campanulatum'],4
36,['Sterculia Parviflora'],['Sterculia Parviflora'],4
