,test,pred,tp_count
0,['Alstonia Angulstiloba'],['Alstonia Angulstiloba'],2
21,['Falcataria Moluccana'],['Falcataria Moluccana'],2
37,['Spathodea Campanulatum'],['Spathodea Campanulatum'],5
42,['Sterculia Parviflora'],['Sterculia Parviflora'],3
