,test,pred,tp_count
0,['Alstonia Angulstiloba'],['Alstonia Angulstiloba'],3
2,['Bridelia Sp.'],['Bridelia Sp.'],1
16,['Clausena Excavata'],['Clausena Excavata'],1
22,['Falcataria Moluccana'],['Falcataria Moluccana'],2
34,['Shorea Leprosula'],['Shorea Leprosula'],1
39,['Spathodea Campanulatum'],['Spathodea Campanulatum'],4
42,['Sterculia Parviflora'],['Sterculia Parviflora'],4
