,test,pred,tp_count
0,['Alstonia Angulstiloba'],['Alstonia Angulstiloba'],4
8,['Clausena Excavata'],['Clausena Excavata'],2
12,['Falcataria Moluccana'],['Falcataria Moluccana'],2
21,['Spathodea Campanulatum'],['Spathodea Campanulatum'],4
