,test,pred,tp_count
0,['Alstonia Angulstiloba'],['Alstonia Angulstiloba'],3
2,['Bridelia Sp.'],['Bridelia Sp.'],2
10,['Clausena Excavata'],['Clausena Excavata'],1
14,['Falcataria Moluccana'],['Falcataria Moluccana'],3
25,['Spathodea Campanulatum'],['Spathodea Campanulatum'],3
