,test,pred,tp_count
0,['Alstonia Angulstiloba'],['Alstonia Angulstiloba'],3
2,['Bridelia Sp.'],['Bridelia Sp.'],1
13,['Clausena Excavata'],['Clausena Excavata'],1
18,['Falcataria Moluccana'],['Falcataria Moluccana'],3
21,['Ficus Variegata'],['Ficus Variegata'],1
26,['Shorea Leprosula'],['Shorea Leprosula'],1
28,['Spathodea Campanulatum'],['Spathodea Campanulatum'],4
35,['Sterculia Parviflora'],['Sterculia Parviflora'],4
