,test,pred,tp_count
0,['Alstonia Angulstiloba'],['Alstonia Angulstiloba'],4
1,['Bridelia Sp.'],['Bridelia Sp.'],1
9,['Clausena Excavata'],['Clausena Excavata'],1
13,['Falcataria Moluccana'],['Falcataria Moluccana'],2
23,['Spathodea Campanulatum'],['Spathodea Campanulatum'],4
