index_,tree_name,r_glcm_mean,r_mean_homogeneity,r_mean_contrast,r_mean_dissimilarity,r_mean_ASM,r_mean_correlation,r_mean_energy,g_glcm_mean,g_mean_homogeneity,g_mean_contrast,g_mean_dissimilarity,g_mean_ASM,g_mean_correlation,g_mean_energy,b_glcm_mean,b_mean_homogeneity,b_mean_contrast,b_mean_dissimilarity,b_mean_ASM,b_mean_correlation,b_mean_energy,RE_glcm_mean,RE_mean_homogeneity,RE_mean_contrast,RE_mean_dissimilarity,RE_mean_ASM,RE_mean_correlation,RE_mean_energy,NIR_glcm_mean,NIR_mean_homogeneity,NIR_mean_contrast,NIR_mean_dissimilarity,NIR_mean_ASM,NIR_mean_correlation,NIR_mean_energy,Wideband_Red_MEAN_I_mean,Wideband_Red_MEAN_I_median,Wideband_Red_MEAN_I_25th,Wideband_Red_MEAN_I_75th,Wideband_Green_MEAN_I_mean,Wideband_Green_MEAN_I_median,Wideband_Green_MEAN_I_25th,Wideband_Green_MEAN_I_75th,Wideband_Blue_NONE_mean,Wideband_Blue_NONE_median,Wideband_Blue_NONE_25th,Wideband_Blue_NONE_75th,Wideband_Blue_MEAN_I_mean,Wideband_Blue_MEAN_I_median,Wideband_Blue_MEAN_I_25th,Wideband_Blue_MEAN_I_75th,RedEdge_NONE_mean,RedEdge_NONE_median,RedEdge_NONE_25th,RedEdge_NONE_75th,RedEdge_HOMOGENEITY_mean,RedEdge_HOMOGENEITY_median,RedEdge_HOMOGENEITY_25th,RedEdge_HOMOGENEITY_75th,RedEdge_MEAN_I_mean,RedEdge_MEAN_I_median,RedEdge_MEAN_I_25th,RedEdge_MEAN_I_75th,Blue_HOMOGENEITY_mean,Blue_HOMOGENEITY_median,Blue_HOMOGENEITY_25th,Blue_HOMOGENEITY_75th,Blue_ASM_mean,Blue_ASM_median,Blue_ASM_25th,Blue_ASM_75th,Blue_MEAN_I_mean,Blue_MEAN_I_median,Blue_MEAN_I_25th,Blue_MEAN_I_75th,NIR_NONE_mean,NIR_NONE_median,NIR_NONE_25th,NIR_NONE_75th,NIR_HOMOGENEITY_mean,NIR_HOMOGENEITY_median,NIR_HOMOGENEITY_25th,NIR_HOMOGENEITY_75th,NIR_MEAN_I_mean,NIR_MEAN_I_median,NIR_MEAN_I_25th,NIR_MEAN_I_75th,Red_HOMOGENEITY_mean,Red_HOMOGENEITY_median,Red_HOMOGENEITY_25th,Red_HOMOGENEITY_75th,Red_MEAN_I_mean,Red_MEAN_I_median,Red_MEAN_I_25th,Red_MEAN_I_75th,Green_NONE_mean,Green_NONE_median,Green_NONE_25th,Green_NONE_75th,Green_HOMOGENEITY_mean,Green_HOMOGENEITY_median,Green_HOMOGENEITY_25th,Green_HOMOGENEITY_75th,Green_MEAN_I_mean,Green_MEAN_I_median,Green_MEAN_I_25th,Green_MEAN_I_75th
0,Falcataria Moluccana,91.70176359398867,0.1015653392546314,390.4612368290127,13.599778951532766,0.0001880833297424,0.8053700769537209,0.0136906723429216,102.40950856113432,0.108047858084674,378.7654182703485,13.340117240849892,0.0002232188980126,0.8023095398035458,0.0149107044931978,46.58983779377239,0.0869811360145629,364.83451086967136,13.791452414727589,0.0001985763301913,0.7425499207817007,0.0140703959076907,45.36699956986406,0.1297237526517567,191.4631438098598,9.595327875648094,0.0002914176970836,0.8791953520893723,0.0170303892387721,61.56348613558404,0.1267038036793586,178.4828628218065,9.36014147632541,0.0002799633913064,0.8969454929438128,0.0166909401585231,0.7208554077489958,0.7973870582421128,0.3795510512357498,0.3808305725999569,0.3665227046494862,0.0705208772465052,0.3657546826087059,0.5806894571733607,0.1303533636107162,0.0241632852116144,0.4876280583248561,0.0698518820242311,0.4879575717964428,0.4463483362985834,0.0294730341719911,0.0879505291439282,0.198225296091856,0.084787149170814,0.7265625,0.8046875,0.3828125,0.383544921875,0.3603839576244354,0.06884765625,0.365966796875,0.58349609375,0.12310791015625,0.0241241455078125,0.4873564541339874,0.06866455078125,0.488037109375,0.444580078125,0.029541015625,0.0803834646940231,0.193603515625,0.0850830078125,0.6884765625,0.7685546875,0.30859375,0.34912109375,0.2925137728452682,0.057098388671875,0.328369140625,0.541015625,0.10284423828125,0.02154541015625,0.4154804050922394,0.05609130859375,0.447265625,0.401611328125,0.0256500244140625,0.0606976635754108,0.16552734375,0.07366943359375,0.76171875,0.8349609375,0.453125,0.413818359375,0.4368008449673652,0.08233642578125,0.406494140625,0.62255859375,0.14892578125,0.0268707275390625,0.5646923631429672,0.0821533203125,0.53466796875,0.4892578125,0.033447265625,0.1059739459306001,0.2266845703125,0.09613037109375
1,Ficus Variegata,94.8416929954702,0.0843158353720738,664.2179002885728,17.7940054213408,0.0001471570276066,0.8435492476100529,0.0120997535273655,106.56570044286092,0.1146000145662307,640.6986228352448,16.982653692987537,0.0008750929406923,0.8377721867202859,0.0294755203651982,35.09794278342166,0.061639110398235,654.3849680447254,18.943068769285585,9.72818333523643e-05,0.7778793041989832,0.009844921084378,50.86574903253093,0.0976108114596242,304.16004486814904,12.57422202886022,0.0001402701611682,0.8969395576371865,0.0118127218116638,67.94425668803466,0.1100203270052662,233.05073947654947,10.874137017557455,0.0001708738797834,0.9164574195137872,0.0130369099639651,0.7592142468265872,0.823925892617984,0.3052952638285985,0.3044725227431386,0.4238165887923809,0.0518922215424253,0.4220427553231382,0.4808758078400043,0.0802900252532067,0.0245508266223495,0.5461330271042231,0.0575793227538265,0.5447337024002459,0.3194763998084399,0.0337510161177808,0.1107977820962918,0.1299340281603557,0.1075315067885252,0.76513671875,0.83544921875,0.296875,0.303955078125,0.4293699264526367,0.050201416015625,0.428955078125,0.475341796875,0.07012939453125,0.0249176025390625,0.560018390417099,0.0556640625,0.55224609375,0.3095703125,0.0338134765625,0.1055437065660953,0.12451171875,0.1077880859375,0.7109375,0.78271484375,0.1953125,0.2666015625,0.3135063126683235,0.040771484375,0.368896484375,0.430419921875,0.056365966796875,0.0213470458984375,0.4469431415200233,0.043304443359375,0.488525390625,0.2705078125,0.02777099609375,0.0659428425133228,0.10443115234375,0.0897216796875,0.81494140625,0.87646484375,0.40625,0.340087890625,0.5369700938463211,0.06085205078125,0.4794921875,0.52685546875,0.0931396484375,0.0279541015625,0.6578486263751984,0.06951904296875,0.60546875,0.357177734375,0.03948974609375,0.1491728164255619,0.148681640625,0.1253662109375
3,Falcataria Moluccana,91.61828425285589,0.1086719836230285,405.1792272233731,13.514777114982245,0.0001558920456622,0.8785168908655347,0.0124608584302893,103.7422831990106,0.127311613659477,390.46423419011546,13.090068333496127,0.0003823025347317,0.873386252071249,0.0195080274372575,45.23858542556904,0.0902406071069844,376.7332120837743,13.776320534584862,0.0001632368210393,0.8164220917642637,0.0127527101107211,46.5581400881856,0.1384200521430506,167.74726358507024,8.90190570103624,0.000255176530283,0.9232803620144466,0.0159311684573512,64.11551690159294,0.1361334207059486,152.34865298066737,8.601317755195069,0.000247549494996,0.9337701837442662,0.015690223261506,0.714304259174953,0.7914401943852463,0.3689388723768127,0.3689559211298891,0.3726582950391794,0.0636182220925777,0.3702034375346298,0.5467356005358017,0.1266773036110018,0.0235606312360588,0.502719644640261,0.0625181436362033,0.5012526107437588,0.4061237703874349,0.0283530850984361,0.0876560110696967,0.1818499490724388,0.0839662156761721,0.7294921875,0.80517578125,0.37109375,0.373291015625,0.3636666387319565,0.060882568359375,0.374755859375,0.54443359375,0.1119384765625,0.02398681640625,0.5009827017784119,0.0601806640625,0.5068359375,0.39697265625,0.028900146484375,0.0782408937811851,0.173583984375,0.0841064453125,0.67041015625,0.751953125,0.28125,0.33447265625,0.2798243686556816,0.04840087890625,0.325439453125,0.4921875,0.0902099609375,0.020538330078125,0.411990188062191,0.0478515625,0.4560546875,0.34130859375,0.02325439453125,0.0544786630198359,0.1376953125,0.06878662109375,0.7744140625,0.84716796875,0.4609375,0.40869140625,0.4592141136527061,0.07568359375,0.421142578125,0.59912109375,0.1468505859375,0.0270843505859375,0.59675033390522,0.07440185546875,0.5546875,0.461181640625,0.03387451171875,0.1099200081080198,0.2181396484375,0.0994873046875
4,Falcataria Moluccana,94.97887126245716,0.1014532704675056,512.2064180748658,15.169069975762415,0.000156641086538,0.8536320662125324,0.0124919943178959,104.5141021240252,0.1218924295731513,507.5181046293801,14.863615649662115,0.000474671339456,0.8571175284345949,0.0217376486066224,37.95762814765519,0.0825621201463828,437.485925193354,14.967588651574305,0.00017865669741,0.7313106738199069,0.0133478473248787,48.368814755733176,0.1113328857121707,278.3261018943492,11.466281334107451,0.0001691353070213,0.8992520653231144,0.0129733034436921,62.09743512089965,0.1153643710123739,225.50221835113567,10.458646773970228,0.0001893280886621,0.9121213955205432,0.0137251149104004,0.7436525433918634,0.7995787133750407,0.3152553305741827,0.3161071114523668,0.392698612245669,0.0557528062536028,0.3916494572197046,0.5160850428406881,0.1017979176057565,0.0246602720928733,0.4928358805833889,0.0584465329061065,0.4926379948207716,0.3510765753425654,0.0360292338943019,0.1085876959253699,0.1413079219198853,0.1053985940187661,0.75732421875,0.8193359375,0.31640625,0.31640625,0.3868446797132492,0.052978515625,0.396484375,0.5146484375,0.092529296875,0.024871826171875,0.4951034039258957,0.055908203125,0.50048828125,0.3525390625,0.034332275390625,0.0972523353993892,0.1346435546875,0.10296630859375,0.70068359375,0.7626953125,0.24609375,0.29052734375,0.2917096316814422,0.042724609375,0.34326171875,0.463134765625,0.0728759765625,0.021331787109375,0.4018155559897423,0.045257568359375,0.447021484375,0.289306640625,0.0287628173828125,0.0642824321985244,0.1064453125,0.085205078125,0.80517578125,0.8603515625,0.390625,0.342529296875,0.4924809113144874,0.0654296875,0.44580078125,0.56494140625,0.11737060546875,0.0283050537109375,0.5927200615406036,0.0689697265625,0.54736328125,0.4072265625,0.04339599609375,0.1411594040691852,0.16552734375,0.12481689453125
5,Spathodea Campanulatum,99.63605054365404,0.085345083927056,468.6231435835207,15.310059724169552,0.0001687360179312,0.8367167016373599,0.012957359032213,102.01326604172424,0.0893966336868964,464.75586490509306,15.128846815319068,0.0002063748994255,0.8400212023744309,0.0143262691358711,48.60849669278264,0.0685565861103271,517.0422808662804,16.70893265144536,0.0001112815896162,0.816263445319509,0.0105265220100401,41.06170997146468,0.1366699946996837,143.696036338093,8.567905092869786,0.0002834747858342,0.9166300423515916,0.0167927058290497,54.16374806045513,0.1417480969338649,142.30980716025317,8.368213156694377,0.0002896746135983,0.9298773732833664,0.0169747677271757,0.7943453748223147,0.8049226143249891,0.4080007121540965,0.4081099909152664,0.3333077799684956,0.0726205406147568,0.3312603338808135,0.5451494625020489,0.1122863980193979,0.0219810828741732,0.4273173588137105,0.0742047391173823,0.425962939244854,0.3373506467481946,0.0373758238536392,0.0808339488182289,0.2077018483433821,0.0772812933532858,0.80419921875,0.81689453125,0.41015625,0.412841796875,0.3378583341836929,0.068115234375,0.333251953125,0.54296875,0.10003662109375,0.022064208984375,0.4377993494272232,0.06768798828125,0.4296875,0.333251953125,0.0372314453125,0.0779108479619026,0.20263671875,0.07781982421875,0.7607421875,0.77587890625,0.3046875,0.372314453125,0.2580506354570389,0.053924560546875,0.296630859375,0.489501953125,0.07733154296875,0.01959228515625,0.3533211350440979,0.052398681640625,0.387451171875,0.2841796875,0.0312042236328125,0.0572122307494282,0.172607421875,0.06787109375,0.84033203125,0.84912109375,0.51171875,0.44873046875,0.4113054499030113,0.0872802734375,0.3701171875,0.60205078125,0.1378173828125,0.024383544921875,0.5100841522216797,0.09033203125,0.47021484375,0.3828125,0.0435791015625,0.1009441725909709,0.238037109375,0.08709716796875
7,Spathodea Campanulatum,64.5134230043629,0.0687465588375818,527.2075584195138,16.905393537192207,9.429334575312402e-05,0.8620590501932763,0.0096892942694505,75.35239490847447,0.0688726415941448,530.6664601272764,16.917684237010153,9.365069558975088e-05,0.8682628837470224,0.0096565456444107,35.33849129755429,0.0698822506745158,478.9694452906,16.29631825909376,0.0001155751425099,0.8192981726112614,0.0107283264226612,31.493039265873115,0.1869495211846818,68.70338497799779,5.855016908445161,0.0004619029053808,0.9504203141733136,0.021431379128432,49.07950740595979,0.173686903825514,85.61405045177659,6.396452678718032,0.0003249560207864,0.9607771828032318,0.0179756264949033,0.5376469248083466,0.6208087829606503,0.3154318442300057,0.316561655725018,0.2617428186373952,0.0897924380194871,0.2606582984270217,0.6446405768249522,0.2067161568956619,0.0151198876135112,0.397171698089808,0.0817139630116654,0.3972778290021348,0.5582870339136827,0.0143809778944322,0.0467447210861465,0.3072028802717266,0.0432770266485923,0.54638671875,0.62890625,0.3203125,0.32177734375,0.2607597410678863,0.0843505859375,0.258544921875,0.63916015625,0.1734619140625,0.0150222778320312,0.410876452922821,0.07708740234375,0.39794921875,0.55322265625,0.0144729614257812,0.0424517579376697,0.2998046875,0.041748046875,0.48095703125,0.5595703125,0.2109375,0.263671875,0.1882693171501159,0.06854248046875,0.210205078125,0.58935546875,0.1376953125,0.0115127563476562,0.3059645816683769,0.058074951171875,0.329833984375,0.50830078125,0.0108413696289062,0.0299223233014345,0.250732421875,0.033477783203125,0.603515625,0.69091796875,0.421875,0.374755859375,0.330006293952465,0.1048583984375,0.308837890625,0.68798828125,0.2254638671875,0.0187187194824218,0.4918354228138923,0.0994873046875,0.467041015625,0.5986328125,0.0178985595703125,0.0597035875543952,0.349365234375,0.0518798828125
15,Spathodea Campanulatum,101.48480420779032,0.0964990326843202,341.8366643594516,13.208793682737976,0.0002046317036706,0.8702962721401841,0.0142733847073662,107.87827546093384,0.107788385452042,334.6300835444911,12.913695833655602,0.0003422764129161,0.8605107336955142,0.0184469060862731,57.698608855662286,0.0827099597955119,363.5236223476985,13.940071742170424,0.0001471065086011,0.8608316064104907,0.0121025990976144,46.67158845731029,0.1312119073435003,123.94472459942054,8.156180451998118,0.0003253829727326,0.91509238557395,0.0179903332571465,59.64135315371272,0.1460961498780452,103.8154639266539,7.343915362841615,0.0003707452599471,0.9303610612337668,0.019201577939898,0.7985618550834352,0.8370383892514661,0.4728923767251741,0.4713672010588709,0.3753655687898128,0.0701920910286334,0.3723031861080099,0.4600153576473975,0.068817899461134,0.0317585635880892,0.467295318328873,0.0754259995503514,0.4647163876804179,0.2715689269554077,0.0536308427704424,0.122950439108111,0.1414399823712417,0.1192667610765452,0.80419921875,0.84326171875,0.48046875,0.468017578125,0.3737467676401138,0.069091796875,0.369140625,0.4619140625,0.0672607421875,0.031646728515625,0.4687394350767135,0.073638916015625,0.4599609375,0.26953125,0.053009033203125,0.117925114929676,0.141845703125,0.11932373046875,0.765625,0.81005859375,0.3828125,0.426025390625,0.3081645742058754,0.056671142578125,0.3408203125,0.4140625,0.052459716796875,0.0283660888671875,0.404071144759655,0.059661865234375,0.428466796875,0.2303466796875,0.045440673828125,0.0891226399689912,0.12158203125,0.107666015625,0.83984375,0.87158203125,0.5703125,0.51708984375,0.4417157396674156,0.08135986328125,0.40380859375,0.5087890625,0.0822296142578125,0.035125732421875,0.5361512005329132,0.089111328125,0.498779296875,0.310791015625,0.061248779296875,0.1512969546020031,0.160400390625,0.1312255859375
28,Campnosperma Auriculatum,92.65470087070824,0.0851251812811448,548.8237936835916,16.180513053233113,0.0001304682875071,0.8717414917915933,0.0113948980015913,101.13960497699046,0.0982567325134952,530.0667163174927,15.750262382229195,0.0003370497349887,0.8684226469638712,0.0182838809712058,59.40955770439778,0.0693665792650346,603.250585936788,17.617867157059976,8.75250474676972e-05,0.8491259303239033,0.0093328982584829,41.31253337255194,0.1428408774704112,183.00477096951505,9.290429087371448,0.0002455328193378,0.9109298004140453,0.0156216706194322,63.64837326281263,0.1360337928627589,204.4838686738005,9.688513748821062,0.0002275813890882,0.9186773240770428,0.0150402699225284,0.7370463731980609,0.7903064359895565,0.4892509962848275,0.489893366948262,0.3335015356111774,0.0664384284740495,0.3313784213465943,0.4857162113881896,0.0912851692666896,0.024828098430321,0.4991241339704775,0.0626242944795356,0.4982456678901959,0.3802610460957166,0.0283547896534272,0.0683913869216477,0.2130422294804826,0.0648030923924534,0.759765625,0.81396484375,0.4921875,0.498291015625,0.3407879322767257,0.0635986328125,0.342529296875,0.478271484375,0.07476806640625,0.025421142578125,0.5196186900138855,0.060882568359375,0.509765625,0.3740234375,0.0291748046875,0.0651418566703796,0.205078125,0.067138671875,0.69677734375,0.7529296875,0.3671875,0.4541015625,0.2473415844142437,0.051361083984375,0.29345703125,0.432373046875,0.05877685546875,0.022003173828125,0.4154140055179596,0.04736328125,0.455322265625,0.333984375,0.02386474609375,0.0422901157289743,0.17724609375,0.055389404296875,0.80322265625,0.85302734375,0.6171875,0.53759765625,0.4199568480253219,0.07763671875,0.381103515625,0.53173828125,0.0985107421875,0.0282745361328125,0.5997900366783142,0.0758056640625,0.556640625,0.41943359375,0.033782958984375,0.0885960571467876,0.2352294921875,0.07623291015625
32,Ficus Variegata,104.96998590028772,0.1001343768004322,348.4658173814186,13.334037596052422,0.0002516327597712,0.8571140334015125,0.0158223067582252,114.2531348000512,0.1201480423150037,316.2911582770611,12.477459146723229,0.0006773276936729,0.8191404190129064,0.0259312687955789,47.128716860753975,0.0691523380336433,437.0772102043793,15.726542819747284,0.0001237316551463,0.836200079196703,0.0110987441000868,65.19546091529179,0.1146996938799626,162.93939243543184,9.470141308144932,0.0002361754113257,0.91523739008537,0.0153247579430874,84.04045025033241,0.1503359992651506,101.92673079348984,7.252730140845658,0.0003610299227038,0.9328227246461605,0.0189472298836786,0.8209803684403171,0.8751044711708236,0.3934458223558913,0.3944133489249381,0.5242425929000549,0.0632360819452846,0.522780322011441,0.5077549056270633,0.082838568486436,0.030207737137546,0.6503758429971307,0.0808277853011116,0.6495676965747406,0.2882141764240255,0.0432500152675072,0.1180773936978606,0.1599830547040219,0.1147228054978509,0.8330078125,0.88427734375,0.3984375,0.3935546875,0.53071728348732,0.06231689453125,0.525390625,0.50634765625,0.077880859375,0.0301971435546875,0.660327672958374,0.079010009765625,0.650390625,0.2763671875,0.043914794921875,0.1144258044660091,0.15673828125,0.114990234375,0.7880859375,0.853515625,0.29296875,0.3583984375,0.4416957125067711,0.052490234375,0.477783203125,0.474365234375,0.06689453125,0.0273284912109375,0.5843983441591263,0.065673828125,0.60498046875,0.2447509765625,0.03631591796875,0.0874210502952337,0.1390380859375,0.1036376953125,0.8642578125,0.90625,0.49609375,0.429931640625,0.6134762167930603,0.07281494140625,0.57666015625,0.54052734375,0.09356689453125,0.033355712890625,0.7302916795015335,0.094970703125,0.69921875,0.31787109375,0.050018310546875,0.1441131122410297,0.177490234375,0.126953125
33,Spathodea Campanulatum,99.52256888352508,0.0875508686160659,484.560930048452,15.317109966208813,0.0001721958885982,0.8365364906390224,0.0130930927181762,107.04037258030316,0.1008399386357025,451.9327496409144,14.675896731847434,0.0004021778600997,0.8230531637542906,0.0199817876168288,55.94593956110559,0.0682472554761035,555.8729798628074,17.08058248121602,9.432908833758404e-05,0.8543080314705698,0.009690729523824,39.71067634545287,0.1455143529230461,137.33044966108622,8.089775570477496,0.0003295638978875,0.9027798293295716,0.0181054247536924,55.13375170995442,0.1477092048957584,140.99224956341067,8.029363069466745,0.0003181572193482,0.92080287190448,0.0177879347487883,0.7857122830426096,0.8288873400853259,0.4632431461911178,0.4647341511839835,0.3150050541555053,0.079026676778624,0.3132886435038091,0.504878283323794,0.0921083015136867,0.0230786863181656,0.4276044830037402,0.0763451487750658,0.4269794689338879,0.3577316138751686,0.032479322173339,0.0761724704598231,0.2165021542375217,0.0726385756890131,0.80029296875,0.84228515625,0.47265625,0.474609375,0.3193818628787994,0.0767822265625,0.3173828125,0.501953125,0.081787109375,0.02325439453125,0.4386889338493347,0.07342529296875,0.430419921875,0.35595703125,0.033294677734375,0.073147315531969,0.2125244140625,0.07379150390625,0.748046875,0.7978515625,0.34375,0.410400390625,0.2418212369084358,0.0616455078125,0.274169921875,0.456787109375,0.06439208984375,0.0196075439453125,0.3539459630846977,0.056854248046875,0.3818359375,0.30908203125,0.027252197265625,0.0527065247297287,0.1820068359375,0.0631103515625,0.83642578125,0.87548828125,0.59375,0.52685546875,0.3918087780475616,0.093994140625,0.357666015625,0.5517578125,0.11065673828125,0.0267333984375,0.5130168050527573,0.09307861328125,0.477294921875,0.401611328125,0.03790283203125,0.0963852610439062,0.24609375,0.083251953125
