index,tree_name,r_glcm_mean,r_mean_homogeneity,r_mean_contrast,r_mean_dissimilarity,r_mean_ASM,r_mean_correlation,r_mean_energy,g_glcm_mean,g_mean_homogeneity,g_mean_contrast,g_mean_dissimilarity,g_mean_ASM,g_mean_correlation,g_mean_energy,b_glcm_mean,b_mean_homogeneity,b_mean_contrast,b_mean_dissimilarity,b_mean_ASM,b_mean_correlation,b_mean_energy,RE_glcm_mean,RE_mean_homogeneity,RE_mean_contrast,RE_mean_dissimilarity,RE_mean_ASM,RE_mean_correlation,RE_mean_energy,NIR_glcm_mean,NIR_mean_homogeneity,NIR_mean_contrast,NIR_mean_dissimilarity,NIR_mean_ASM,NIR_mean_correlation,NIR_mean_energy,WR_glcm_mean,WR_mean_homogeneity,WR_mean_contrast,WR_mean_dissimilarity,WR_mean_ASM,WR_mean_correlation,WR_mean_energy,WG_glcm_mean,WG_mean_homogeneity,WG_mean_contrast,WG_mean_dissimilarity,WG_mean_ASM,WG_mean_correlation,WG_mean_energy,WB_glcm_mean,WB_mean_homogeneity,WB_mean_contrast,WB_mean_dissimilarity,WB_mean_ASM,WB_mean_correlation,WB_mean_energy,id_based_on_tree_name
0,Falcataria Moluccana,91.70176359398867,0.1015653392546314,390.4612368290127,13.599778951532766,0.0001880833297424,0.8053700769537209,0.0136906723429216,102.40950856113432,0.108047858084674,378.7654182703485,13.340117240849892,0.0002232188980126,0.8023095398035458,0.0149107044931978,46.58983779377239,0.0869811360145629,364.83451086967136,13.791452414727589,0.0001985763301913,0.7425499207817007,0.0140703959076907,24.38394543658171,0.2575381798002669,36.544945765916985,4.162759617121185,0.0013141650769051,0.9072276051146794,0.0362514148262539,32.95515197229335,0.2547736068660466,33.93410957303275,4.050745253853753,0.0012654313242961,0.9210506502722866,0.03557290154452,2.6852170956878334,0.7525300507350366,0.8727575986146671,0.5544709919365975,0.0797348284510101,0.8360391707694884,0.2823735618839167,2.512503054319073,0.8498661368203231,0.3334487777411849,0.3057718662686313,0.1565322289035547,0.8277853345049998,0.3956415409225309,6.281447800359075,0.5087950814474348,7.021383420624887,1.6547567699646228,0.0127162404713818,0.8618975838475695,0.1127663091148322,9
1,Ficus Variegata,94.8416929954702,0.0843158353720738,664.2179002885728,17.7940054213408,0.0001471570276066,0.8435492476100529,0.0120997535273655,106.56570044286092,0.1146000145662307,640.6986228352448,16.982653692987537,0.0008750929406923,0.8377721867202859,0.0294755203651982,35.09794278342166,0.061639110398235,654.3849680447254,18.943068769285585,9.72818333523643e-05,0.7778793041989832,0.009844921084378,26.96792820823297,0.2015692105197119,55.94637841648881,5.399311050399077,0.0006338552242408,0.9237013271544224,0.025176481569927,36.05285714833102,0.2249130901749593,42.27059472673837,4.649593642351625,0.0007725840744513,0.938924530259228,0.0277953966413749,2.639615751579641,0.6612185213191691,1.478961747586952,0.8031933848576694,0.03858704277863,0.8831013557268697,0.1964358490159828,2.3283488583285115,0.8012043556918033,0.480777999593834,0.4113849113140239,0.0974775310649044,0.8687396782810108,0.3122139187558819,7.105679810864563,0.3919562507631975,10.555014426558662,2.2927384405522324,0.0048539961320267,0.8973836461967866,0.0696706260344113,10
2,Bridelia Sp.,93.72414766422229,0.0975337488567195,350.5337000185981,13.135879367219236,0.0001633012412534,0.89081119824564,0.012748972432555,107.0162423397444,0.1178942976835931,337.87050028774195,12.648574092753584,0.0004832923060365,0.8926570579699341,0.0219068572462595,46.97225893672255,0.0846978300460917,344.67790441021066,13.56312347599598,0.0001530436529639,0.8493151830399468,0.0123429924728032,25.555385218348185,0.2819076756370323,20.287348316977948,3.3041257781998525,0.0012347315282352,0.9593367403957268,0.0351387468222076,36.09080782043748,0.3019393725664839,17.162848399885437,3.001700357255913,0.001295969236575,0.9728149172712836,0.035999572727674,2.3901008456564017,0.8008519785519953,0.4962390147575333,0.414386710683007,0.0851625074872446,0.8992717403877651,0.2918261597034177,2.444329881366918,0.8809398960597218,0.243184250591658,0.2389635056301723,0.1585706789298107,0.8924678720230527,0.3982093405858415,6.080335850706219,0.5389088017673901,3.390949516875443,1.2717134717134717,0.0116593383754703,0.9296761760034976,0.1079784162482039,1
3,Falcataria Moluccana,91.61828425285589,0.1086719836230285,405.1792272233731,13.514777114982245,0.0001558920456622,0.8785168908655347,0.0124608584302893,103.7422831990106,0.127311613659477,390.46423419011546,13.090068333496127,0.0003823025347317,0.873386252071249,0.0195080274372575,45.23858542556904,0.0902406071069844,376.7332120837743,13.776320534584862,0.0001632368210393,0.8164220917642637,0.0127527101107211,25.08088522765429,0.2724650825601289,31.13973175477088,3.828020863517822,0.001154021301654,0.9426996088376648,0.0339708890324361,34.40420306053453,0.2705240179689278,28.29136022224983,3.694229415904293,0.0011225657763002,0.950441310820107,0.0335047127476158,2.5966478545441167,0.7624024650888358,0.8360493622736451,0.5313251737476601,0.0672117146199355,0.8951169856158873,0.2592522220154255,2.512315270935961,0.8661730766056879,0.291810977264469,0.2716465896703508,0.1389805446773856,0.8904790665717947,0.3728009451133213,6.325392225855856,0.5276413174035537,6.0104800540906025,1.5254860564915622,0.011346580884583,0.915303486732251,0.1065203308508898,9
4,Falcataria Moluccana,94.97887126245716,0.1014532704675056,512.2064180748658,15.169069975762415,0.000156641086538,0.8536320662125324,0.0124919943178959,104.5141021240252,0.1218924295731513,507.5181046293801,14.863615649662115,0.000474671339456,0.8571175284345949,0.0217376486066224,37.95762814765519,0.0825621201463828,437.485925193354,14.967588651574305,0.00017865669741,0.7313106738199069,0.0133478473248787,25.78170517943917,0.2238762308204017,52.847419437122696,4.974079912095387,0.0007613471206912,0.9230310351180764,0.0275925192885914,33.08766751911467,0.2336400128122047,42.45402340198701,4.518820351487642,0.0008565495520439,0.933325785505312,0.0292668678208647,3.094934856402844,0.694704223725621,1.4154653908288803,0.7295641396270595,0.0417368163792592,0.8857179697566712,0.2042959039708315,2.519474403667925,0.8317710357228864,0.3999708946779774,0.3469076412916222,0.1122331565927955,0.8742412457345667,0.3350121737979018,7.364012740936461,0.4301215416493151,12.37677166384334,2.226342932639166,0.0057108718915246,0.8955338188358036,0.0755703109132457,9
5,Spathodea Campanulatum,99.63605054365404,0.085345083927056,468.6231435835207,15.310059724169552,0.0001687360179312,0.8367167016373599,0.012957359032213,102.01326604172424,0.0893966336868964,464.75586490509306,15.128846815319068,0.0002063748994255,0.8400212023744309,0.0143262691358711,48.60849669278264,0.0685565861103271,517.0422808662804,16.70893265144536,0.0001112815896162,0.816263445319509,0.0105265220100401,22.18296906402528,0.2716016802822063,26.022675614891376,3.640246674322902,0.0012860004130583,0.9392349773392588,0.0358608479132657,29.230063881711164,0.2807615050321873,25.82448081156092,3.5589171212556225,0.0013157215379574,0.9486933116923036,0.0362728760640431,2.900244640635469,0.6568996831764771,1.6446789166427411,0.8287395923054838,0.0393047428384934,0.8674340072181632,0.1982542378828091,2.1598179251603025,0.8275717052098339,0.3943379749258301,0.3530541200114843,0.1362038495608968,0.8468962889121714,0.3690580571683767,5.649730237343284,0.5145019609466837,3.8814240597186336,1.3752512202124607,0.0123458768621876,0.895816280390841,0.1111120014318328,16
6,Terminalia Catappa,98.99620385309343,0.0991543553675206,563.6546938812867,15.90946419579472,0.0001882563507777,0.8449208083088986,0.0136847900319802,108.89245868218792,0.1261705126382994,533.0511327484404,15.184122680640847,0.0008213051909579,0.831716132255957,0.0285617615331087,39.00453566979079,0.067147844985144,599.1255983096137,17.748075103763988,0.000104970880724,0.7915121047637836,0.0102242880786338,25.531332164767733,0.2489172742476548,45.349125198818456,4.529112701658715,0.0009003184516675,0.923104651408984,0.0300053070583781,31.265162949978908,0.2878899382870178,32.32471313337878,3.76785917161684,0.0012622923991116,0.9322415225009166,0.0355287545392696,3.37517650209368,0.6173233039976431,2.284852062842861,0.9828955269906192,0.0252900348382293,0.8808109830197604,0.1590284089030302,2.4589044291881725,0.7919756739808165,0.5554439737721946,0.4387334858960626,0.0938047787302834,0.8613103530974083,0.3062756580766474,7.904643222319604,0.4142765725258084,11.022498945044958,2.2076070373616385,0.0048790518034779,0.901015320679238,0.0698502097597274,19
7,Spathodea Campanulatum,64.5134230043629,0.0687465588375818,527.2075584195138,16.905393537192207,9.429334575312402e-05,0.8620590501932763,0.0096892942694505,75.35239490847447,0.0688726415941448,530.6664601272764,16.917684237010153,9.365069558975088e-05,0.8682628837470224,0.0096565456444107,35.33849129755429,0.0698822506745158,478.9694452906,16.29631825909376,0.0001155751425099,0.8192981726112614,0.0107283264226612,17.436149564198338,0.356784910919224,12.66179594228375,2.4914304548450894,0.0020876689419535,0.9632124291519952,0.0456910159873198,26.86424686882006,0.3370969080759441,15.8124771112576,2.721141873580898,0.0014735794738497,0.970785529120722,0.0383872306092766,1.3199434190287858,0.839416659789687,0.3752288874240094,0.3298908664762323,0.1434467080020891,0.8683822525423577,0.3787435913676813,1.5147220391122829,0.8874817967178081,0.2349941404819453,0.2266809492419248,0.2077356151082242,0.8667615959289025,0.4557802267631015,3.441464330183843,0.6718563663196071,1.3701384311140408,0.7647403501062038,0.0347062996005904,0.924211557700191,0.1862962683485379,16
8,Shorea Leprosula,74.41503350473366,0.1346531914422967,208.55071399089823,10.156860815827113,0.0003013431705164,0.8976083945630506,0.0173248317781561,82.45365551425319,0.133189412677845,215.03681389378568,10.307918632120195,0.0002945363169335,0.9146063813878746,0.0171280624054089,27.697097312914707,0.1349220872719468,196.1375805830077,9.943478461420307,0.0004601124922616,0.8254398187555905,0.0214064965048399,13.953241315136475,0.4615100838615742,7.755428039702233,1.8430521091811416,0.0066735328514737,0.964605013097615,0.0816916938952409,18.60790167493796,0.4275937583762136,9.334522332506204,2.048076923076924,0.0043927544136254,0.9676237915376844,0.0662778576420924,1.7266206575682386,0.8940631561366673,0.2274348635235731,0.2144075682382134,0.2288075282494735,0.8519686685770607,0.4783382989574152,1.252869106699752,0.9371975806451612,0.1289547146401985,0.1261631513647642,0.4233798180586897,0.8092513603606899,0.6506764311535264,4.1448511166253095,0.7242316183395575,1.029854218362283,0.626008064516129,0.0518258313597922,0.9401502869836056,0.2276528747013581,15
9,Syzygium Polyanthum,68.92522765631756,0.0960652724762468,272.2244873642948,12.000481223778266,0.0001717614096215,0.9023087328544588,0.0130791327665749,79.27557797202208,0.0967324364069572,271.5974173151927,11.953432224456774,0.0001747167975976,0.900761820829466,0.0131920088952198,31.74140869859141,0.0967365131896775,251.30965548068656,11.669064903814435,0.0002418344734899,0.8248348117543416,0.0155197022472473,17.590725504861638,0.461414709488236,6.622378459237098,1.6535228122662675,0.0042557475543601,0.963011397649018,0.0652360908880976,26.134435302916973,0.4825354761575174,6.733253552729993,1.5530590875093495,0.0039307922659209,0.9715331837833224,0.062696030703075,1.709364248317128,0.8699406180514897,0.2892744951383694,0.2648616305160807,0.1687264283504581,0.8940993866007574,0.4107632266287455,1.549184741959611,0.9297860882572928,0.1445923709798055,0.1411219147344801,0.2974872368003697,0.8583712442853677,0.5454239056003777,4.245205684367988,0.7205782408340989,1.0413163799551235,0.6291099476439792,0.0400338233656994,0.938244574227676,0.2000845405464886,18
