index,tree_name,r_glcm_mean,r_mean_homogeneity,r_mean_contrast,r_mean_dissimilarity,r_mean_ASM,r_mean_correlation,r_mean_energy,g_glcm_mean,g_mean_homogeneity,g_mean_contrast,g_mean_dissimilarity,g_mean_ASM,g_mean_correlation,g_mean_energy,b_glcm_mean,b_mean_homogeneity,b_mean_contrast,b_mean_dissimilarity,b_mean_ASM,b_mean_correlation,b_mean_energy,RE_glcm_mean,RE_mean_homogeneity,RE_mean_contrast,RE_mean_dissimilarity,RE_mean_ASM,RE_mean_correlation,RE_mean_energy,NIR_glcm_mean,NIR_mean_homogeneity,NIR_mean_contrast,NIR_mean_dissimilarity,NIR_mean_ASM,NIR_mean_correlation,NIR_mean_energy,WR_glcm_mean,WR_mean_homogeneity,WR_mean_contrast,WR_mean_dissimilarity,WR_mean_ASM,WR_mean_correlation,WR_mean_energy,WG_glcm_mean,WG_mean_homogeneity,WG_mean_contrast,WG_mean_dissimilarity,WG_mean_ASM,WG_mean_correlation,WG_mean_energy,WB_glcm_mean,WB_mean_homogeneity,WB_mean_contrast,WB_mean_dissimilarity,WB_mean_ASM,WB_mean_correlation,WB_mean_energy,id_based_on_tree_name
0,Falcataria Moluccana,107.38108310796704,0.2384652839680654,72.01696391284338,5.293931732605358,0.0007107756724,0.9319756697766652,0.0265865203425487,119.79190766752582,0.2512523331976433,67.29967808557595,5.121651957179235,0.0008988364296661,0.9230575380927264,0.0298997557522828,68.33890962653578,0.2167903915185211,63.57301175743442,5.245219737189939,0.0007063188864788,0.9286223321428014,0.0265038287578831,31.412906078296693,0.4216655044266466,10.541011332417582,2.065108173076923,0.0029487399354272,0.964941201447381,0.0543023013824211,44.89309151785714,0.434230544946118,10.385772664835166,1.957946428571429,0.0032097401318954,0.9694984502780596,0.0566545684997731,3.660186298076922,0.8399843333768483,0.4635920329670329,0.3417273351648351,0.1025355449557203,0.9270008019726316,0.3202117189543824,8.121288633241763,0.6737441348949864,2.038106112637363,0.8301150412087913,0.0233932454726817,0.9481143409667528,0.1529485059511263,3.475150240384616,0.9253081492480248,0.1588461538461538,0.1509271978021978,0.2279798420064332,0.9126454317987754,0.4774723468499859,9
1,Ficus Variegata,95.54481240855912,0.1015880266751757,369.91182148784816,13.348730089528244,0.000171898300425,0.8695638815340566,0.0130786631357062,108.36824688009878,0.1230976203433131,350.6764950042976,12.843935480534023,0.0006361268388832,0.8513831481498428,0.0251395131461556,64.02300769051824,0.0932260687750937,324.7286237997255,12.890850327533924,0.0001908867070728,0.8341945420447674,0.0137845903057598,25.768182539244616,0.2851902619229013,26.086589924683423,3.578127155350788,0.0014084324205474,0.9333392343241936,0.0375290876594063,40.4569291941402,0.3442549933567956,15.008179987309298,2.684153171296935,0.0019421163869375,0.9567903692457824,0.044069449587413,2.767482481308798,0.6904679349920841,1.1886914779154136,0.7076102849891025,0.0454485468560508,0.8846543894890728,0.2131866479309874,6.109829779016193,0.4984950237923913,4.718166331006704,1.4958996606615722,0.0103673835672728,0.9054762043147102,0.1018203494753029,2.888126948437112,0.820073168542202,0.4069164344635418,0.3675614533616574,0.1088527290462443,0.8763526280419512,0.3299283695686753,10
2,Bridelia Sp.,89.76388307801764,0.1524453193683402,150.40890811460443,8.271919840525056,0.0002964786236298,0.934025922028695,0.0171722290901197,97.2450348069068,0.157177891303503,150.30203091569007,8.223099987321785,0.0003095249894536,0.935972768730975,0.0175442727524191,58.808494656321,0.153036487911604,133.9638843477253,7.936081135668979,0.0003419845814925,0.91931188135496,0.0184436977976779,18.0475155484981,0.4591761212151314,6.722766971020247,1.7275770808521902,0.004140413935647,0.9748985940624054,0.0643460483296917,28.250140598120957,0.4640113624567087,6.462018658197699,1.6819207357416963,0.0034702960173494,0.9838683144996452,0.0589092184411696,2.245006285563053,0.865744933960706,0.2999338361783776,0.2736469498478232,0.1367038240996936,0.9092144502794932,0.3697348023917867,4.441074500463144,0.7450058399417548,0.9441345772131798,0.5745567023951302,0.0432078248176984,0.9503330161889004,0.2078649196418155,1.998665144898769,0.9377904591769216,0.1257211856556834,0.1246360989810771,0.2696701482597985,0.9113737451268654,0.5192977452866502,1
3,Falcataria Moluccana,106.732556659782,0.2282393704174518,94.1935478816237,5.901113307739925,0.0005290448377849,0.9410615444105442,0.022935049213689,121.4593414502051,0.2546549869569041,86.6396176588169,5.603269251922603,0.0012015149028839,0.935487803934995,0.0345902040236703,67.39701800624184,0.2117679677338256,79.21664407400989,5.694259315510683,0.0005883241070281,0.936785564119078,0.0241891010780408,33.16786871693117,0.4047328273322922,11.421947751322753,2.173369708994709,0.0021675899626182,0.9736401771779184,0.0465573835456662,47.86008597883606,0.4241273425079424,10.45635582010582,2.009398148148148,0.0023231821901857,0.9786410084571212,0.0481994003093995,3.7539169973545,0.8204120303011586,0.5801917989417987,0.3925462962962962,0.0797905998320752,0.9354246228375784,0.2824722992296329,8.227509920634926,0.6670521287981229,1.9757705026455028,0.8390641534391534,0.0189848809501938,0.9584660677443404,0.1377856340486694,3.521653439153439,0.9153228590581532,0.1840608465608466,0.1717857142857143,0.1861345974652077,0.9269042624320856,0.4314331900366588,9
4,Falcataria Moluccana,113.60704042118192,0.267439897963546,54.57410965803612,4.522452525269413,0.0008441105252144,0.9494405386611692,0.0289722225585833,127.87818662921968,0.298117461649763,52.69000597170109,4.328429644632414,0.0017399935322386,0.9465853230414736,0.0416299259057094,63.93014659536247,0.2437630467568098,48.3247931661425,4.485638665144334,0.0009001064175026,0.9406668263376644,0.0299178335865413,35.980628272251245,0.4055716963927883,11.336403246776063,2.143726062054183,0.0024090866492145,0.9722678617743736,0.0490824474656123,49.70196247232853,0.450430843210385,8.553143118169999,1.7873115710320109,0.0030153305802342,0.9768912654023688,0.0549120258252624,4.796006535718055,0.8185168664447658,0.5443093573210583,0.3889068484486453,0.0794145524446913,0.935979964299383,0.2818058772358933,10.22563512421379,0.6507975451491119,2.238992937207913,0.8872448083207422,0.0168162951660336,0.9642000450627956,0.1296776587004626,4.074631926631294,0.9287080835031554,0.1504620682385186,0.143856073649812,0.2343885126030948,0.9140347097594752,0.4841368738312491,9
5,Spathodea Campanulatum,97.4989517744854,0.1068450672594967,297.6369404621714,11.958679593555528,0.000191980021739,0.8981568703193389,0.0138217841888619,109.65462187038118,0.1310936441207568,280.0728110544322,11.396546449935435,0.0007118815214316,0.8908422453142731,0.0265885390765116,62.07295982488979,0.0978265845778698,274.6754285433243,11.869257066766584,0.0001912874102609,0.8743559543054064,0.0137976557443023,31.025680967968164,0.2651157805957908,28.075660509703063,3.7314589665653495,0.0009768937599469,0.9573614097329928,0.0312552997097598,45.58320960953935,0.3307986505492465,17.61222819733458,2.809235445405658,0.0014424428382173,0.9714525178828688,0.0379795055025378,3.1138677811550157,0.7038518649332576,1.029980126256722,0.6611585223287352,0.044107537310316,0.9011642674699708,0.2100179452102035,6.8318009118541045,0.502533873429613,4.471019406125789,1.457329904138415,0.0093265414533009,0.9286176400985122,0.0965740205919838,3.173266892681788,0.8407211860602639,0.3493920972644376,0.323602992751929,0.1094737439292136,0.9037586662645196,0.3308681669928578,16
6,Terminalia Catappa,104.4369480893904,0.1492557745860111,262.53257819708284,10.41457704472921,0.0003087609360679,0.9065709260745132,0.0175229867262828,114.29252321594886,0.1710478876107662,242.7816050490528,9.916404961232244,0.0009415938505635,0.8952268157986591,0.0305983086404956,57.55173266198483,0.1100938531305141,301.8300684139424,11.664005145491148,0.0001531384413517,0.913011240146832,0.0123385316927225,32.24743421974018,0.2928095767460688,31.78710698154827,3.6955660691152272,0.0010718875039233,0.9490530247984637,0.0327396930945191,41.636499509820986,0.3477439916656917,19.28805013830048,2.823995133223627,0.0016467427303937,0.9588275253194402,0.0405800779988626,4.903639359616252,0.6034032190989809,5.157846363922832,1.2047634886733658,0.0197582965640852,0.9220311587044572,0.1405642079765873,9.532950308112454,0.4668711668333852,8.434316025349254,1.835925737894332,0.005587623586383,0.9328385176933564,0.0747504086034523,3.753166468260913,0.7695926216897725,1.1170083330415603,0.5398226602709989,0.0647036174522413,0.929691610276024,0.2543690575762731,19
7,Spathodea Campanulatum,67.21644756655245,0.1063979144536127,298.9162047946154,11.914552146942825,0.0001697063805928,0.8959421130027752,0.0129959432123865,80.34545472380175,0.1066026055126014,301.53904778643624,11.924457984855282,0.0001706539285218,0.8985233812299347,0.0130323418678178,42.19979506496863,0.1079597722881005,240.6674744485892,11.028490086387066,0.0002484229315741,0.8409144678034814,0.0157264280600906,20.206962360348847,0.3922612801230336,11.951940489789097,2.2943749477614017,0.002305274356137,0.9685864172452,0.0480132727080441,34.087712088708166,0.4152384774570947,12.967584208620066,2.1893823308165934,0.0018730642494329,0.9798594067724156,0.0432789122949376,1.7806257487532384,0.8264166352580822,0.4458808124146769,0.3629119884099963,0.1244995460901041,0.8898768958259935,0.3528449320737144,4.079743961218067,0.7017681200292984,1.3145738723427969,0.702727551333129,0.0379535787734159,0.9411165452033076,0.1948167825763887,2.054425654027248,0.908589418549578,0.1893405399381495,0.183907725740395,0.204512798326605,0.9013593078418484,0.4522309126172215,16
8,Shorea Leprosula,72.59903468348982,0.1760804122842778,116.17102420540176,7.1690671233242895,0.0004836488828239,0.902312294245065,0.0219396247360967,82.65048419823623,0.1805566664607653,110.70592263326182,7.063632325233336,0.000560801012091,0.900818106628902,0.0236201456482425,30.40351499060337,0.1831392628909551,90.26567862330172,6.527997365707972,0.0007345517868634,0.8641681938725427,0.0270367698359312,14.496431452864153,0.4997967114329488,7.923788245516043,1.692546391112766,0.0113618552803753,0.9455236184683756,0.1065920038294399,21.38515484391484,0.5140965412562911,7.63222242909452,1.5681747657171228,0.00781930680417,0.961963631251049,0.0884268443639716,1.832309315459568,0.8987419730506241,0.2404890461118352,0.2087134611804133,0.202545918553425,0.8876830862293174,0.4500510177229078,4.389437100477879,0.7773321403843043,0.8104015391298948,0.4959970210389125,0.0884449731377804,0.9193988956679864,0.2973969958452512,1.3325575622168435,0.950232731334947,0.1014708620368646,0.0998572581145658,0.4147791187193126,0.8372811559817237,0.6440334763964624,15
9,Syzygium Polyanthum,75.73218925249489,0.1410875208428737,233.63932426222783,9.631313776140122,0.0002460441513887,0.932766344784512,0.0156467506614576,84.30162420147681,0.1429359281251582,241.54458607918184,9.672445468482143,0.0002430274018335,0.934244499922671,0.0155512509021631,41.44207139508006,0.1452452213523125,177.510449456151,8.865932325842623,0.0003480675748981,0.8900585349775356,0.0186084836954976,19.859957961114016,0.4107589238391115,12.08968295673498,2.1926081625503597,0.0026443096227646,0.9661038874036316,0.0514228511730407,30.719950954633056,0.4531947889273829,10.690909090909088,1.8574881765633209,0.002507651947994,0.9793534181694454,0.0500764610170695,2.4882466281310207,0.8270214670840308,0.4736381152566123,0.3658083727447889,0.1001390054411295,0.9218104378310448,0.3164474765915026,5.063846558066215,0.6807132391341,1.9196356629882645,0.8030828516377649,0.0272641897731579,0.9425511006936844,0.165118714182124,2.137992643194955,0.9183183494506176,0.176353126642144,0.1654930811000175,0.2181434715358335,0.9069341933943528,0.4670583170609784,18
