index,tree_name,dec_WR_glcm_mean,dec_green_mean_homogeneity,dec_green_mean_contrast,dec_green_mean_dissimilarity,dec_green_mean_ASM,dec_green_mean_correlation,dec_green_mean_energy
0,Falcataria Moluccana,3.660186298076922,0.8399843333768483,0.46359203296703294,0.34172733516483517,0.10253554495572036,0.9270008019726317,0.3202117189543824
1,Ficus Variegata,2.767482481308798,0.6904679349920841,1.1886914779154136,0.7076102849891025,0.045448546856050806,0.8846543894890728,0.21318664793098746
2,Bridelia Sp.,2.245006285563053,0.865744933960706,0.29993383617837766,0.27364694984782323,0.1367038240996936,0.9092144502794933,0.36973480239178674
3,Falcataria Moluccana,3.7539169973545,0.8204120303011586,0.5801917989417987,0.3925462962962962,0.07979059983207529,0.9354246228375784,0.28247229922963296
4,Falcataria Moluccana,4.796006535718055,0.8185168664447658,0.5443093573210583,0.38890684844864537,0.07941455244469137,0.935979964299383,0.2818058772358933
5,Spathodea Campanulatum,3.1138677811550153,0.7038518649332576,1.0299801262567219,0.6611585223287352,0.04410753731031604,0.9011642674699708,0.2100179452102035
6,Terminalia Catappa,4.9036393596162515,0.6034032190989809,5.157846363922832,1.2047634886733658,0.019758296564085294,0.9220311587044571,0.1405642079765873
7,Spathodea Campanulatum,1.7806257487532384,0.8264166352580822,0.4458808124146769,0.36291198840999633,0.12449954609010416,0.8898768958259935,0.3528449320737144
8,Shorea Leprosula,1.8323093154595678,0.8987419730506241,0.2404890461118352,0.20871346118041337,0.20254591855342505,0.8876830862293174,0.4500510177229078
9,Syzygium Polyanthum,2.4882466281310207,0.8270214670840308,0.4736381152566123,0.36580837274478895,0.10013900544112955,0.9218104378310447,0.3164474765915026
10,Cinnamomum Iners,3.959966216216215,0.6939474677000206,1.178856981981982,0.6982263513513512,0.03028955105866001,0.9417443750852322,0.1740389354674982
11,Clausena Excavata,2.921978021978023,0.8442269984917045,0.3352564102564103,0.3154761904761905,0.10412832588656769,0.9188620999983986,0.3226892094362123
12,Cinnamomum Iners,3.6774132730015068,0.747290506303174,0.833939930487245,0.5552659190766607,0.04865561318482783,0.9422895747707806,0.22058017405203903
13,Alstonia Angulstiloba,5.832909763289508,0.6351206106435767,1.6328136454718734,0.8699314142352116,0.024325040696724032,0.9239985694125391,0.1559648700724751
14,Spathodea Campanulatum,5.441000000000004,0.6167589137734839,1.9105714285714286,0.9337983193277312,0.02219265941670786,0.9148069435681988,0.14897200883625036
15,Clausena Excavata,3.0787257233452237,0.8185263337476213,0.4093588981371383,0.3706153388822829,0.07604755550118063,0.9320228604868591,0.27576721252023534
16,Syzygium Polyanthum,3.0365606814539943,0.7569270610521993,0.729358185038374,0.5261870624947288,0.05350003185539091,0.9432117310004852,0.23130073898582967
17,Sandoricum Koetjape,2.7266919092634065,0.7339065422672987,1.2596625583343306,0.6383698866647294,0.04975387205881424,0.9464773084003073,0.22305575997676957
18,Sterculia Parviflora,3.058130848470552,0.7733810729002437,0.5508767791145711,0.4692537548163876,0.06688680990881835,0.9025627799222362,0.2586248439512692
19,Alstonia Angulstiloba,4.600295577287986,0.7286735790988419,0.8543460808641075,0.5906984381842066,0.04555316182012686,0.9182134961842643,0.21343186692742688
20,Claoxylon Indicum,2.3359324059986966,0.8148593262727657,0.4280047815692241,0.3797544012171267,0.09325085061075286,0.9012772509433833,0.3053700224494095
21,Bridelia Sp.,2.14555177442878,0.8530186736824047,0.3214876033057852,0.2984929508993681,0.14638402277908963,0.8765695987909166,0.38260165025662085
22,Pometia Pinnata,2.7850559578670175,0.8077024358130349,0.47070441079657666,0.3989466754443713,0.09294517994077793,0.9392475948531227,0.3048691193623551
23,Sterculia Parviflora,2.096485923536922,0.8461288244384632,0.3399180272794463,0.3130417254585769,0.13196775472213468,0.908929866267703,0.3632736636781349
24,Calophyllum,3.226205065359478,0.8079248366013072,0.45179738562091504,0.3954248366013072,0.11482898621390275,0.8973729150286613,0.33886425927486474
25,Pennisetum Purpureum,1.5712345854451863,0.8847867620355897,0.23899073153016595,0.23185385186237828,0.1931209198685992,0.9155178294192923,0.43945525354534015
26,Sterculia Parviflora,3.8818705035971237,0.7520886400201469,0.8733812949640288,0.555568345323741,0.06874132146369236,0.9487260482193217,0.26218566220083883
27,Campnosperma Auriculatum,3.0563743067508096,0.6746303167946558,1.4223560910307895,0.7669009370816602,0.046460270003188454,0.8557305566334007,0.21554644511842094
28,Leea Indica,4.893605972086982,0.7289587343817745,0.984745212593314,0.6083739045764364,0.036313055033304516,0.9494691677789673,0.1905598463299772
29,Dillenia Suffruticosa,2.7443181818181834,0.8138894087423503,0.4987373737373738,0.39127384960718303,0.08647623982687584,0.9367739582664947,0.2940684271166761
30,Sterculia Parviflora,4.1468614838638125,0.7523304909099892,0.744981701231008,0.5331595874459355,0.05491382714564675,0.9029341724438159,0.23433699482934134
31,Ficus Variegata,3.4688772811425546,0.6839641443304825,1.1069690558053427,0.7076302565458873,0.03567136497504435,0.9123195185957231,0.1888686447641438
32,Spathodea Campanulatum,2.753702920016921,0.6882079422570283,3.3242523628156295,0.8373889123994921,0.04907585862336242,0.8825428055938851,0.22153071711020667
