index,tree_name,may_NIR_glcm_mean,may_NIR_mean_homogeneity,may_NIR_mean_contrast,may_NIR_mean_dissimilarity,may_NIR_mean_ASM,may_NIR_mean_correlation,may_NIR_mean_energy
0,Falcataria Moluccana,32.95515197229335,0.2547736068660466,33.93410957303275,4.050745253853753,0.0012654313242961184,0.9210506502722866,0.03557290154452007
1,Ficus Variegata,36.05285714833102,0.2249130901749593,42.27059472673837,4.649593642351625,0.000772584074451357,0.9389245302592281,0.027795396641374932
2,Bridelia Sp.,36.09080782043748,0.30193937256648395,17.162848399885437,3.001700357255913,0.001295969236575092,0.9728149172712837,0.03599957272767403
3,Falcataria Moluccana,34.40420306053453,0.2705240179689278,28.29136022224983,3.694229415904293,0.001122565776300251,0.950441310820107,0.033504712747615836
4,Falcataria Moluccana,33.08766751911467,0.23364001281220476,42.45402340198701,4.518820351487642,0.0008565495520439662,0.9333257855053119,0.029266867820864708
5,Spathodea Campanulatum,29.230063881711164,0.2807615050321873,25.824480811560917,3.5589171212556225,0.0013157215379574348,0.9486933116923035,0.036272876064043155
6,Terminalia Catappa,31.265162949978908,0.2878899382870178,32.32471313337878,3.7678591716168404,0.0012622923991116764,0.9322415225009166,0.03552875453926969
7,Spathodea Campanulatum,26.86424686882006,0.33709690807594417,15.8124771112576,2.721141873580898,0.001473579473849784,0.9707855291207219,0.038387230609276624
8,Shorea Leprosula,18.60790167493796,0.4275937583762136,9.334522332506204,2.0480769230769234,0.004392754413625476,0.9676237915376843,0.06627785764209247
9,Syzygium Polyanthum,26.134435302916973,0.48253547615751746,6.733253552729993,1.5530590875093495,0.003930792265920925,0.9715331837833224,0.06269603070307501
10,Cinnamomum Iners,27.43028435076557,0.3451256921256256,11.000609796513555,2.4457479949625505,0.0021503521110007107,0.9648298257051893,0.046371889232602014
11,Clausena Excavata,27.596244747899146,0.4009703882244019,7.664915966386554,1.996218487394958,0.003001623903237765,0.9671222329539552,0.05478707788555404
12,Cinnamomum Iners,35.7874167739048,0.3372861280186535,11.613733005091479,2.520128126223913,0.0017801377795864893,0.9736529302790976,0.042191679032559125
13,Cratoxylum Formosum,36.390867539514,0.3569551019100103,14.187137296532201,2.5218624675631047,0.002120474983862594,0.9582087899908496,0.046048615439148594
14,Alstonia Angulstiloba,33.49136674136675,0.36788345667246053,9.602897102897103,2.268744768744769,0.003207050187097167,0.9620264960581579,0.05663082364840871
15,Spathodea Campanulatum,32.09174686372232,0.29045526089786733,19.271252219739935,3.1519590995016324,0.001652984379996001,0.9479254980943856,0.04065691060565228
16,Clausena Excavata,29.536834562921324,0.3436224498553364,11.843815791801568,2.512322417422996,0.001624923162382838,0.9804930298173281,0.04031033567688116
17,Syzygium Polyanthum,35.51944889131096,0.3334763752942985,12.094553629210804,2.5693654416022342,0.002056426925329635,0.9613700379422421,0.04534784366791474
18,Sandoricum Koetjape,33.34871791161406,0.33750753590128396,12.86416519549677,2.5989204989436514,0.0015503415635309517,0.9757222232798178,0.03937437699228969
19,Sterculia Parviflora,35.98008434864101,0.33632609687980686,11.85241916588566,2.51947633552015,0.002168440026374871,0.9658067938236535,0.046566511855354493
20,Alstonia Angulstiloba,41.45554687906704,0.3589970982912991,10.058503826331407,2.2879379457545945,0.0030161031641767148,0.9548358963275106,0.05491906011738288
21,Claoxylon Indicum,28.070599868160862,0.36669870295871754,9.910236368772955,2.274338449948206,0.002948544338873225,0.9574768593464145,0.054300500355643364
22,Bridelia Sp.,23.9415100991249,0.3789629066172891,8.328812575173158,2.1325536062378174,0.0027933098158522546,0.9631065651760229,0.05285177211647926
23,Pometia Pinnata,34.49389378737204,0.43606171998831306,8.475879193270499,1.8640417553461035,0.003383039166018003,0.9779959620941503,0.05816389916449896
24,Sterculia Parviflora,35.24884297520664,0.3823692037960917,8.680495867768595,2.159669421487604,0.0027103954647906573,0.9670821388084422,0.052061458534991674
25,Calophyllum,32.876772247360506,0.4324124024310179,6.576621417797888,1.8070889894419304,0.003942384472062407,0.9693707842117565,0.06278841033234085
26,Pennisetum Purpureum,23.794704049844228,0.3824081504313877,7.840651472919059,2.083838880690824,0.0036968853197651246,0.951710221848823,0.06080201739880943
27,Sterculia Parviflora,27.613545568039914,0.43565723370672793,8.8270911360799,2.0233458177278405,0.005787490979596353,0.9688549094265744,0.07607556098772031
28,Campnosperma Auriculatum,34.29996047771102,0.2712160935958307,37.05280725644879,4.084354651890808,0.00104726629735852,0.9406224451352603,0.03236149405324976
29,Leea Indica,36.955171635049666,0.437755667498947,5.497911020776874,1.7165198735320686,0.0033510803999187233,0.9791762415496623,0.05788851699533098
30,Dillenia Suffruticosa,37.62727777777779,0.3543952664731016,12.893666666666666,2.570777777777778,0.002580962962962963,0.9654720021114107,0.05080317866987225
31,Sterculia Parviflora,38.770117206736934,0.386741389773651,9.58258642765685,2.179060376243475,0.0037194988865764033,0.9515054419587378,0.0609876945504288
32,Ficus Variegata,44.99461989623284,0.29218334146875835,19.104714640198512,3.1548387096774198,0.001584051722492886,0.9492281602657462,0.03980014726722611
33,Spathodea Campanulatum,29.810969202898544,0.2902013440127455,26.43157004830918,3.443804347826087,0.0014333776386263389,0.9401584951200044,0.03785997409701093
