index,tree_name,dec_RE_glcm_mean,dec_RE_mean_homogeneity,dec_RE_mean_contrast,dec_RE_mean_dissimilarity,dec_RE_mean_ASM,dec_RE_mean_correlation,dec_RE_mean_energy
0,Falcataria Moluccana,31.412906078296693,0.42166550442664663,10.541011332417582,2.065108173076923,0.0029487399354272957,0.964941201447381,0.05430230138242113
1,Ficus Variegata,25.768182539244616,0.28519026192290137,26.086589924683423,3.5781271553507876,0.001408432420547407,0.9333392343241935,0.037529087659406365
2,Bridelia Sp.,18.0475155484981,0.4591761212151314,6.722766971020247,1.7275770808521902,0.004140413935647022,0.9748985940624054,0.06434604832969171
3,Falcataria Moluccana,33.16786871693117,0.4047328273322922,11.421947751322751,2.173369708994709,0.0021675899626182778,0.9736401771779185,0.046557383545666284
4,Falcataria Moluccana,35.980628272251245,0.40557169639278834,11.336403246776065,2.143726062054183,0.002409086649214598,0.9722678617743735,0.04908244746561237
5,Spathodea Campanulatum,31.025680967968164,0.2651157805957908,28.075660509703063,3.7314589665653495,0.0009768937599469165,0.9573614097329927,0.03125529970975989
6,Terminalia Catappa,32.24743421974018,0.2928095767460688,31.78710698154827,3.6955660691152272,0.0010718875039233077,0.9490530247984635,0.03273969309451919
7,Spathodea Campanulatum,20.206962360348847,0.39226128012303363,11.951940489789095,2.2943749477614017,0.0023052743561370183,0.9685864172452,0.04801327270804416
8,Shorea Leprosula,14.496431452864151,0.49979671143294885,7.923788245516043,1.692546391112766,0.011361855280375342,0.9455236184683755,0.10659200382943995
9,Syzygium Polyanthum,19.859957961114016,0.41075892383911156,12.08968295673498,2.1926081625503593,0.0026443096227646936,0.9661038874036316,0.051422851173040705
10,Cinnamomum Iners,28.03797860360359,0.2717234940629577,27.211007882882882,3.649127252252252,0.001006108251410194,0.9586703475420592,0.031719209501659934
11,Clausena Excavata,25.316666666666702,0.35974895497126735,9.642399267399268,2.3008241758241756,0.002151997880019858,0.9742558618573315,0.0463896311692587
12,Cinnamomum Iners,24.800650862351617,0.29881398902178047,21.40671519443898,3.1781100400026228,0.0012702728763341266,0.9615110453442937,0.03564088770406998
13,Alstonia Angulstiloba,35.706017952853415,0.3205717153576133,12.522343319811675,2.632732189694215,0.0019957322395613456,0.9641571533954071,0.04467361905600827
14,Spathodea Campanulatum,32.982134453781555,0.23540881069295122,31.486268907563023,4.0780336134453785,0.0011256484711531672,0.9305667508619634,0.03355068510706104
15,Clausena Excavata,27.37757629805785,0.3466817950554017,12.569683908045976,2.5303953626634956,0.0017058891285783163,0.972957281150735,0.04130241068725064
16,Syzygium Polyanthum,26.157185628742514,0.31963857541279345,16.740448680104578,2.927848528295522,0.0013184475774393103,0.9754232624121199,0.0363104334515482
17,Sandoricum Koetjape,24.08688610061706,0.3503219965303838,18.737115164361786,2.8227747482862955,0.0014024035955345967,0.9763572903628037,0.03744867948986448
18,Sterculia Parviflora,25.78524809310372,0.3090635657842692,15.62200204450735,2.900762758512228,0.001688033166576274,0.9577224521735235,0.04108568079728355
19,Alstonia Angulstiloba,33.721445774339514,0.2733852365861678,20.140782367537582,3.3153919135892567,0.0016777731302752858,0.9254666291922578,0.04096062902685072
20,Claoxylon Indicum,20.073353618778512,0.3464405283699442,12.013910019560965,2.5253205824820695,0.0023602671045543948,0.95269217875129,0.04858258025830241
21,Bridelia Sp.,18.92547399124937,0.4364702620670262,6.35719494409334,1.7842245989304817,0.004673738770750672,0.9503862948410485,0.06836474801204691
22,Pometia Pinnata,25.496269475532166,0.34084977126926147,11.45534342769366,2.5088874259381173,0.0023371096051097145,0.9561229686722127,0.048343661478106044
23,Sterculia Parviflora,17.92511590405158,0.3920238592416009,7.3664583753275545,2.0223745212658737,0.00334989229005572,0.9588596284875213,0.05787825403427197
24,Calophyllum,24.553513071895427,0.38379968057149433,7.380718954248366,2.042075163398693,0.0036897992959438685,0.9593223954330375,0.06074371816034863
25,Pennisetum Purpureum,11.950397107353192,0.5238715768775613,2.8804888446781303,1.2460802425275923,0.008305635710062723,0.9638844989381881,0.0911352605200793
26,Sterculia Parviflora,22.68204316546761,0.42296916742833435,11.957410071942448,2.271309352517986,0.005375052637027068,0.9765299182788306,0.0733147504737421
27,Campnosperma Auriculatum,25.752073771275594,0.2912801362710357,27.241645152036725,3.5342441193344807,0.0017288208335395148,0.9095691357303518,0.04157909130247455
28,Leea Indica,27.465352158390097,0.364567600382641,12.61531970139565,2.438429081467056,0.0020729674531456787,0.9641920107127178,0.04552985232949563
29,Dillenia Suffruticosa,25.446618967452316,0.3293360625554881,14.492424242424244,2.766835016835017,0.0019046364474020663,0.958930653952939,0.04364214072891093
30,Sterculia Parviflora,30.926250415881086,0.319333388154633,18.975546190529002,2.9774315182433186,0.0020757680872632136,0.9475458461044347,0.045560597968674794
31,Ficus Variegata,32.44890901877814,0.2504381778922451,28.852261306532668,3.8895001322401486,0.0009590322399452547,0.9528339773821949,0.030968245671094363
32,Spathodea Campanulatum,26.644255184088045,0.2821348993108612,29.016733671886023,3.656245591761885,0.0012781859831768158,0.9372685981517059,0.0357517269957245
