,importance
b_mean_correlation,0.13429288968962977
r_mean_dissimilarity,0.1269080792780951
Red_MEAN_I_75th,0.11930886361231968
Green_HOMOGENEITY_median,0.11830834445787138
RedEdge_HOMOGENEITY_75th,0.11375798188424711
g_mean_contrast,0.1123334399012725
r_mean_contrast,0.1050344324879929
b_mean_homogeneity,0.09092055017844747
g_mean_dissimilarity,0.07913541851012412
