index_,tree_name,r_raw_mean,r_glcm_mean,r_mean_homogeneity,r_mean_contrast,r_mean_dissimilarity,r_mean_ASM,r_mean_correlation,r_mean_energy,g_raw_mean,g_glcm_mean,g_mean_homogeneity,g_mean_contrast,g_mean_dissimilarity,g_mean_ASM,g_mean_correlation,g_mean_energy,b_raw_mean,b_glcm_mean,b_mean_homogeneity,b_mean_contrast,b_mean_dissimilarity,b_mean_ASM,b_mean_correlation,b_mean_energy,RE_raw_mean,RE_glcm_mean,RE_mean_homogeneity,RE_mean_contrast,RE_mean_dissimilarity,RE_mean_ASM,RE_mean_correlation,RE_mean_energy,NIR_raw_mean,NIR_glcm_mean,NIR_mean_homogeneity,NIR_mean_contrast,NIR_mean_dissimilarity,NIR_mean_ASM,NIR_mean_correlation,NIR_mean_energy,id_based_on_tree_name
0,Falcataria Moluccana,183.48106211659692,57.421417236328125,0.1015653392546317,390.4612368290198,13.599778951532954,0.0001880833297424,0.805370076953721,0.0136906723429217,203.0095537888494,57.421417236328125,0.1080478580846743,378.76541827035305,13.340117240850017,0.0002232188980126,0.8023095398035451,0.0149107044931979,97.10356230750304,57.421417236328125,0.0869811360145626,364.8345108696779,13.79145241472781,0.0001985763301913,0.7425499207817006,0.0140703959076908,91.49723610415836,57.421417236328125,0.1297237526517564,191.46314380986456,9.595327875648271,0.0002914176970836,0.8791953520893698,0.0170303892387721,122.38766873976532,57.421417236328125,0.1267038036793583,178.48286282180996,9.36014147632553,0.0002799633913064,0.8969454929438117,0.0166909401585232,9
1,Ficus Variegata,191.90516911685967,31.824859619140625,0.0843158353720729,664.2179002885581,17.794005421340437,0.0001471570276066,0.8435492476100548,0.0120997535273653,208.8475462375132,31.824859619140625,0.1146000145662295,640.6986228352348,16.98265369298728,0.0008750929406923,0.8377721867202921,0.0294755203651979,78.08381648793771,31.824859619140625,0.0616391103982348,654.3849680446954,18.943068769284743,9.728183335236412e-05,0.7778793041989791,0.009844921084378,104.7365762058468,31.824859619140625,0.0976108114596235,304.1600448681421,12.574222028859992,0.0001402701611682,0.8969395576371897,0.0118127218116637,136.13911410607474,31.824859619140625,0.1100203270052656,233.0507394765452,10.8741370175573,0.0001708738797834,0.9164574195137872,0.0130369099639649,10
2,Bridelia Sp.,187.2287189522806,40.43722534179688,0.0975337488567189,350.5337000185982,13.135879367219191,0.0001633012412534,0.8908111982456364,0.012748972432555,208.9341562547042,40.43722534179688,0.1178942976835929,337.87050028774223,12.64857409275361,0.0004832923060365,0.8926570579699346,0.0219068572462595,97.76738220683426,40.43722534179688,0.0846978300460901,344.677904410207,13.563123475995836,0.0001530436529639,0.8493151830399458,0.012342992472803,94.28369110341713,40.43722534179688,0.1427022301259293,111.31898415855063,7.708843702389506,0.0002732451185507,0.9445027690702672,0.0164852631119751,130.20105073009182,40.43722534179688,0.1528215031367536,96.84923887650504,7.083914681691529,0.000285217344164,0.96189345141902,0.016841009029127,1
3,Falcataria Moluccana,182.4411542480508,53.03253173828125,0.108671983623029,405.1792272233666,13.51477711498211,0.0001558920456622,0.8785168908655324,0.0124608584302893,202.09169451238415,53.03253173828125,0.1273116136594774,390.4642341901128,13.090068333496092,0.0003823025347317,0.8733862520712508,0.0195080274372575,94.2749824887756,53.03253173828125,0.0902406071069851,376.7332120837675,13.7763205345847,0.0001632368210393,0.8164220917642633,0.0127527101107212,93.20818721508375,53.03253173828125,0.1384200521430514,167.747263585067,8.901905701036096,0.000255176530283,0.9232803620144469,0.0159311684573512,126.48551907862252,53.03253173828125,0.1361334207059493,152.34865298066484,8.601317755194986,0.000247549494996,0.9337701837442672,0.015690223261506,9
4,Falcataria Moluccana,189.7884466637294,74.64730834960938,0.1014532704675111,512.2064180748952,15.169069975763232,0.0001566410865381,0.8536320662125345,0.0124919943178966,204.0367862795973,74.64730834960938,0.1218924295731558,507.518104629404,14.86361564966273,0.000474671339456,0.8571175284345943,0.0217376486066232,81.05315187415349,74.64730834960938,0.0825621201463916,437.4859251934024,14.967588651575928,0.0001786566974101,0.731310673819906,0.0133478473248801,98.86003165744684,74.64730834960938,0.1113328857121855,278.3261018943882,11.466281334108958,0.0001691353070214,0.8992520653231115,0.0129733034436938,124.4754834287952,74.64730834960938,0.1153643710123854,225.5022183511583,10.458646773971283,0.0001893280886622,0.9121213955205436,0.0137251149104017,9
5,Spathodea Campanulatum,200.2167200768629,20.38043212890625,0.0853450839270547,468.6231435835088,15.310059724169188,0.0001687360179312,0.8367167016373614,0.0129573590322128,204.10356207219627,20.38043212890625,0.0893966336868952,464.7558649050819,15.1288468153187,0.0002063748994254,0.8400212023744289,0.0143262691358708,103.2036867954479,20.38043212890625,0.0685565861103249,517.0422808662538,16.70893265144435,0.0001112815896162,0.8162634453195065,0.0105265220100398,82.6192002196084,20.38043212890625,0.136669994699681,143.69603633808896,8.567905092869584,0.0002834747858342,0.9166300423515916,0.0167927058290495,107.12606596606813,20.38043212890625,0.1417480969338619,142.30980716024823,8.368213156694173,0.0002896746135983,0.9298773732833664,0.0169747677271754,16
6,Terminalia Catappa,197.62816372344824,60.12057495117188,0.0991543553675244,563.6546938813069,15.909464195795325,0.0001882563507777,0.8449208083088958,0.0136847900319807,211.2153601154055,60.12057495117188,0.1261705126383026,533.0511327484533,15.18412268064122,0.0008213051909579,0.8317161322559579,0.0285617615331094,84.98779692197972,60.12057495117188,0.0671478449851546,599.1255983096991,17.74807510376681,0.0001049708807241,0.7915121047637824,0.0102242880786354,96.05615887706558,60.12057495117188,0.1262492375971314,242.6272363836097,10.555955407091162,0.0001988927023396,0.8977837631545964,0.014062368889114,113.6338104075662,60.12057495117188,0.148714056298272,173.4715426903042,8.815397660201716,0.0002775044332558,0.9097762825251264,0.016609840174631,19
7,Spathodea Campanulatum,134.3411295911296,13.324005126953123,0.0687465588375824,527.2075584195347,16.905393537192865,9.429334575312512e-05,0.8620590501932691,0.0096892942694506,155.53599956231534,13.324005126953123,0.068872641594146,530.6664601272984,16.917684237010842,9.365069558975364e-05,0.8682628837470194,0.0096565456444109,77.04435204435204,13.324005126953123,0.0698822506745164,478.9694452906155,16.296318259094306,0.0001155751425099,0.8192981726112656,0.0107283264226613,61.94436845752635,13.324005126953123,0.186949521184683,68.70338497799875,5.855016908445212,0.0004619029053808,0.9504203141733116,0.0214313791284321,95.27881423934056,13.324005126953123,0.1736869038255147,85.6140504517776,6.396452678718079,0.0003249560207864,0.9607771828032317,0.0179756264949034,16
8,Shorea Leprosula,147.01390168970815,1.568450927734375,0.1346531914423032,208.55071399091253,10.15686081582767,0.0003013431705164,0.8976083945630513,0.0173248317781571,162.5136712749616,1.568450927734375,0.1331894126778522,215.03681389380145,10.307918632120783,0.0002945363169335,0.9146063813878826,0.0171280624054099,57.75468509984639,1.568450927734375,0.1349220872719526,196.1375805830193,9.943478461420776,0.0004601124922617,0.8254398187555909,0.0214064965048408,46.68932411674347,1.568450927734375,0.2749107508174106,40.47395041237616,4.327532330174195,0.001601950685793,0.9540804949393034,0.0399014752453948,63.07242703533026,1.568450927734375,0.2462049162576552,48.27746176805973,4.772703639899749,0.0010380744109996,0.9583758385955008,0.0321168990231027,15
9,Syzygium Polyanthum,139.2784523809524,4.068023681640625,0.096065272476252,272.22448736430835,12.000481223779014,0.0001717614096215,0.9023087328544648,0.0130791327665757,159.11818452380953,4.068023681640625,0.0967324364069622,271.59741731520535,11.953432224457472,0.0001747167975976,0.9007618208294708,0.0131920088952206,67.15175595238095,4.068023681640625,0.0967365131896822,251.3096554806981,11.66906490381511,0.0002418344734899,0.8248348117543451,0.015519702247248,58.19553571428571,4.068023681640625,0.2532794895489695,34.001422076627605,3.9000376953679097,0.0009508924403181,0.952759303191036,0.0307529426043925,84.44866071428571,4.068023681640625,0.2661849975775376,34.342446962259984,3.690306967665419,0.0008784617301038,0.963959531972116,0.029560094446539,18
