index,tree_name,dec_RE_glcm_mean,dec_RE_mean_homogeneity,dec_RE_mean_contrast,dec_RE_mean_dissimilarity,dec_RE_mean_ASM,dec_RE_mean_correlation,dec_RE_mean_energy
0,Falcataria Moluccana,36192302.0,0.42292663862886126,10.437554945054947,2.0550618131868132,0.002977318786097788,0.964929792212232,0.05456481271018703
1,Ficus Variegata,14769388.0,0.2865293484691833,25.807135762959692,3.557839269456783,0.0014234226542622578,0.9333699820048068,0.0377282739369595
2,Bridelia Sp.,10720018.0,0.45958766881328655,6.658640995103877,1.7210003969829297,0.004174712756908376,0.9748894672916096,0.0646120171245905
3,Falcataria Moluccana,19856574.0,0.40611520156198655,11.297357804232803,2.162205687830688,0.002188525268968184,0.9736573216778369,0.04678167663699308
4,Falcataria Moluccana,20290460.0,0.4073666719904415,11.253786148494324,2.1322077374468535,0.0024336648183316484,0.9721816536481315,0.049332188460797566
5,Spathodea Campanulatum,10502161.0,0.2660858373861994,27.790483984101005,3.7123684825812484,0.0009862534213730494,0.9573650203476283,0.03140467196728935
6,Terminalia Catappa,29161658.0,0.2940438862607245,31.46323439305346,3.6759851720878123,0.0010829767633768264,0.9490504923690676,0.03290861229795061
7,Spathodea Campanulatum,2853990.0,0.3924394152160745,11.846237427910735,2.2859331903156606,0.002322997027862407,0.9685503984803703,0.048197479476238245
8,Shorea Leprosula,458406.0,0.5023756221240576,7.8592440886240915,1.6816235337925898,0.011416356174303626,0.9453782185913061,0.1068473498702875
9,Syzygium Polyanthum,1118704.0,0.41350324612438055,11.933018041688564,2.1759327377824484,0.0026707247556591,0.9661804531382758,0.05167905528992476
10,Cinnamomum Iners,1968842.0,0.2725629721115328,26.947578828828828,3.633671171171171,0.0010144800892531044,0.9586567884136047,0.03185090405707669
11,Clausena Excavata,542792.0,0.35883597692334335,9.578846153846156,2.296978021978022,0.002161847233962619,0.9741867860054675,0.04649566898069775
12,Cinnamomum Iners,3002779.0,0.3001717827004616,21.103088727129645,3.1639451767329008,0.0012800601045014875,0.9622066420768108,0.03577792761608038
13,Alstonia Angulstiloba,4344072.0,0.321634061105081,12.405177329227962,2.6208070638450387,0.002014712976412882,0.9641364005499425,0.044885554206368916
14,Spathodea Campanulatum,3883643.0,0.23663575294892153,31.168285714285716,4.0563529411764705,0.0011384899371513308,0.9305566496975832,0.033741516521213606
15,Clausena Excavata,2182218.0,0.3479561240459426,12.446517043202537,2.516968886246532,0.0017226471746299484,0.9729428836998647,0.041504784960651804
16,Syzygium Polyanthum,1227004.0,0.32106114384937934,16.594079446740324,2.913553175339462,0.001332799752275523,0.9753914921579405,0.03650753007634895
17,Sandoricum Koetjape,5564677.0,0.3513042682155694,18.570095215302825,2.8098941862254057,0.0014172556264127503,0.9763298357911124,0.03764645569522781
18,Sterculia Parviflora,1292767.0,0.3082124645009673,15.452897695997486,2.8889282063379733,0.0017055145447694533,0.9577396307442181,0.04129787579003856
19,Alstonia Angulstiloba,3665734.0,0.27533251036298434,19.948711866880746,3.297821485914465,0.0016960579239252874,0.9254135104683141,0.04118322381656501
20,Claoxylon Indicum,728741.0,0.3476013760693071,11.908389480547708,2.5140186915887854,0.002384081182374337,0.9526010071641673,0.048827053795763034
21,Bridelia Sp.,1533162.0,0.43725233323106505,6.281672338356831,1.7755955274671853,0.004710622088182473,0.950459982723646,0.0686339718228697
22,Pometia Pinnata,459465.0,0.34081933639083406,11.357801184990125,2.5010972130787796,0.0023544574660546544,0.9560488902093027,0.04852275204535141
23,Sterculia Parviflora,522980.0,0.3917347258457099,7.302694349257543,2.015453873547,0.0033792710332693375,0.95881390221419,0.058131497772458414
24,Calophyllum,236362.0,0.38400685455259836,7.308823529411764,2.031862745098039,0.0037204407225853303,0.9593159272476275,0.06099541558662692
25,Pennisetum Purpureum,1475279.0,0.523667576836968,2.8476307770040896,1.242022326433297,0.008372022752362157,0.9638976141355843,0.09149875820120269
26,Sterculia Parviflora,782117.0,0.4264516744407985,11.84788489208633,2.2581294964028777,0.005421256456705139,0.9765113208773826,0.0736291820999333
27,Campnosperma Auriculatum,4252450.0,0.2912141108122453,27.294738477720404,3.5197097915471414,0.0017437598344136503,0.9088455089571439,0.04175835047524806
28,Leea Indica,1673915.0,0.3656111393685411,12.468451801363193,2.424634858812074,0.0020909357337814314,0.9642652756171308,0.04572675074594117
29,Dillenia Suffruticosa,357958.0,0.3289893220418838,14.325056116722784,2.754068462401796,0.0019090353277128437,0.9589766849682743,0.04369250882832026
30,Sterculia Parviflora,1102643.0,0.32098150180545826,18.810801818786736,2.959742708217811,0.002101119754709257,0.9474607072367283,0.04583797284685763
31,Ficus Variegata,4845605.0,0.2504947091111744,28.541549854535837,3.8690029092832585,0.0009689332007830743,0.9528412292550754,0.031127691864047263
32,Spathodea Campanulatum,5968755.0,0.2828806930102497,28.710687332486952,3.6378456058682467,0.001289902458556418,0.9372851968972227,0.03591521207728583
