index,tree_name,dec_r_raw_mean,dec_r_glcm_mean,dec_red_mean_homogeneity,dec_red_mean_contrast,dec_red_mean_dissimilarity,dec_red_mean_ASM,dec_red_mean_correlation,dec_red_mean_energy
0,Falcataria Moluccana,197.90028496378798,71.05502319335938,0.23846528396806932,72.01696391284473,5.2939317326054685,0.000710775672400042,0.9319756697766651,0.026586520342549214
1,Ficus Variegata,190.28057222124696,35.3648681640625,0.10158802667517494,369.9118214878398,13.348730089527937,0.00017189830042507428,0.8695638815340564,0.01307866313570612
2,Bridelia Sp.,173.562047050585,36.852935791015625,0.15244531936833655,150.40890811459954,8.271919840524808,0.00029647862362978803,0.9340259220286943,0.01717222909011927
3,Falcataria Moluccana,197.30766107736994,36.881683349609375,0.22823937041744785,94.19354788162165,5.901113307739806,0.0005290448377849164,0.9410615444105417,0.022935049213688635
4,Falcataria Moluccana,205.77194175267667,34.72772216796875,0.2674398979635473,54.57410965803576,4.5224525252693955,0.0008441105252144413,0.9494405386611692,0.028972222558583463
5,Spathodea Campanulatum,193.25526665733483,20.85357666015625,0.1068450672594973,297.6369404621768,11.958679593555662,0.00019198002173904472,0.8981568703193393,0.013821784188862018
6,Terminalia Catappa,200.5036468757921,55.741912841796875,0.1492557745860171,262.5325781970919,10.414577044729594,0.0003087609360679647,0.9065709260745112,0.017522986726283545
7,Spathodea Campanulatum,135.19011544011545,8.7486572265625,0.10639791445361993,298.9162047946367,11.914552146943802,0.00016970638059287242,0.8959421130027738,0.012995943212387409
8,Shorea Leprosula,139.66728258191674,1.958648681640625,0.17608041228427668,116.17102420539925,7.169067123324174,0.00048364888282395276,0.9023122942450654,0.02193962473609646
9,Syzygium Polyanthum,149.0251480320446,3.473663330078125,0.14108752084286919,233.63932426221663,9.63131377613971,0.00024604415138873424,0.9327663447845196,0.015646750661457154
10,Cinnamomum Iners,191.81557606263982,4.329681396484375,0.108868354528225,337.60354372054064,12.497759082413861,0.0001959597050268318,0.9152419409245942,0.01396241762124692
11,Clausena Excavata,159.46877828054298,1.329254150390625,0.13363972912505345,192.3138267113577,9.539765533523797,0.0003550072141635009,0.9115774638527013,0.018789084027897834
12,Cinnamomum Iners,179.74957566261915,7.4339599609375,0.1153142740133296,239.648260488503,10.696415414036903,0.00018028557724294076,0.9174617430741216,0.01337823607712416
13,Alstonia Angulstiloba,225.9289029535865,7.476531982421875,0.19394870199722583,120.129266392445,7.136580104145414,0.0011678866028252204,0.9024132701581835,0.034104960466547554
14,Spathodea Campanulatum,201.81733569921994,7.247528076171875,0.1128430181274659,231.66351543547347,10.74588452155283,0.0002684187073526275,0.871554615571751,0.016339661664101387
15,Clausena Excavata,181.04457106210842,4.911773681640625,0.12489120147579948,216.49021047562815,10.094869414047997,0.0002496998347214968,0.9224913786049365,0.015764607197209
16,Syzygium Polyanthum,175.82717136150234,2.8837890625,0.11180306445533232,294.84430330140555,11.782176554214972,0.00017181385756118292,0.934762654548072,0.01308556372610932
17,Sandoricum Koetjape,172.2249946774537,14.2698974609375,0.12616272766919698,303.3800968891808,11.536969302425161,0.00021694895186707204,0.9519890889519862,0.014688180346846689
18,Sterculia Parviflora,190.83584072525497,3.09466552734375,0.11003183631195998,197.58931807514966,10.25330609525356,0.0002534941302622092,0.903340621255276,0.015888620578196334
19,Alstonia Angulstiloba,209.77154170299332,6.677734375,0.15298846372295494,134.29261904999646,8.041602155370375,0.00040692404864473133,0.8944789794658641,0.020127655411719247
20,Claoxylon Indicum,179.69724375538328,2.24200439453125,0.09732756076125215,287.76244436236914,12.217107284429463,0.0001990242103583256,0.9015445566358492,0.014082068936689177
21,Bridelia Sp.,174.13294601791333,5.004974365234375,0.1155727372117035,227.18050538942327,10.543278463254266,0.00023319290388469348,0.8881176251285312,0.015237586590835087
22,Pometia Pinnata,192.02475032566218,1.10699462890625,0.11985642046623242,195.03047589349023,10.091876505358709,0.00027596433653329246,0.9153729409345046,0.016582294284574563
23,Sterculia Parviflora,160.42968541722206,1.809173583984375,0.10223387359726761,263.49443330468614,11.660750570398848,0.00022098526975805824,0.899223381441137,0.01483943551220469
24,Calophyllum,192.47723609991942,0.593109130859375,0.12228631392039932,156.33722349005706,9.100020103284269,0.00048135569721702846,0.875465534978437,0.02191773774253729
25,Pennisetum Purpureum,147.09157077281017,7.718780517578125,0.09562215514479899,251.90677039137202,11.816485860734646,0.00015265648005959433,0.9153950173898392,0.012329190348867598
26,Sterculia Parviflora,196.9868,2.112030029296875,0.2125621978698475,119.01555844080443,6.904815875410223,0.0006398489065558764,0.9460970982276589,0.025233882070541776
27,Campnosperma Auriculatum,203.47341666666668,10.2003173828125,0.10342846277475073,332.22597397807465,12.630998190344874,0.00022127948605495118,0.8285370440657833,0.01483674825089436
28,Leea Indica,204.47316584861792,3.7479248046875,0.15983117578358705,143.066211209239,8.003120098410564,0.0003914703859465539,0.9228540361121785,0.01973262744896861
29,Dillenia Suffruticosa,160.38351403947735,0.862213134765625,0.11074157660163297,242.8348185453674,11.085314180383207,0.0002852574959467488,0.9046062433523671,0.016855019829689434
30,Sterculia Parviflora,199.25555677816902,2.194091796875,0.136709754153023,189.6780018004444,9.173065694726537,0.00039171028098807344,0.8755705967094168,0.019749078645090613
31,Ficus Variegata,192.97752631578948,9.22430419921875,0.10177614679735922,355.1628371277636,13.055537499502737,0.00019502123704758244,0.8873583459191154,0.01393041172049807
32,Spathodea Campanulatum,197.87880385128963,13.832672119140625,0.10094189536516143,350.843391733667,13.02572030551409,0.0001946423336737662,0.8617897436554882,0.013920361343518881
