index,tree_name,may_b_raw_mean,may_b_glcm_mean,may_blue_mean_homogeneity,may_blue_mean_contrast,may_blue_mean_dissimilarity,may_blue_mean_ASM,may_blue_mean_correlation,may_blue_mean_energy
0,Falcataria Moluccana,97.10356230750304,57.421417236328125,0.08698113601456263,364.8345108696779,13.79145241472781,0.0001985763301913243,0.7425499207817006,0.014070395907690807
1,Ficus Variegata,78.08381648793771,31.824859619140625,0.061639110398234886,654.3849680446954,18.943068769284743,9.728183335236412e-05,0.7778793041989791,0.009844921084378006
2,Bridelia Sp.,97.76738220683426,40.437225341796875,0.08469783004609019,344.677904410207,13.563123475995836,0.00015304365296396583,0.8493151830399458,0.012342992472803026
3,Falcataria Moluccana,94.27498248877559,53.03253173828125,0.09024060710698514,376.7332120837675,13.7763205345847,0.0001632368210393565,0.8164220917642633,0.01275271011072123
4,Falcataria Moluccana,81.05315187415349,74.64730834960938,0.08256212014639164,437.4859251934024,14.967588651575927,0.0001786566974101233,0.731310673819906,0.013347847324880181
5,Spathodea Campanulatum,103.2036867954479,20.38043212890625,0.06855658611032496,517.0422808662538,16.70893265144435,0.00011128158961627455,0.8162634453195065,0.010526522010039844
6,Terminalia Catappa,84.98779692197972,60.120574951171875,0.06714784498515466,599.1255983096991,17.74807510376681,0.00010497088072411375,0.7915121047637824,0.010224288078635495
7,Spathodea Campanulatum,77.04435204435204,13.324005126953125,0.06988225067451646,478.9694452906155,16.296318259094306,0.00011557514250997442,0.8192981726112656,0.010728326422661314
8,Shorea Leprosula,57.75468509984639,1.568450927734375,0.13492208727195262,196.13758058301931,9.943478461420776,0.0004601124922617188,0.8254398187555909,0.02140649650484086
9,Syzygium Polyanthum,67.15175595238095,4.068023681640625,0.09673651318968228,251.3096554806981,11.66906490381511,0.00024183447348994817,0.8248348117543451,0.015519702247248034
10,Cinnamomum Iners,65.22352024922118,9.196624755859375,0.07479903149240333,386.4915611260829,14.775759144543073,0.00015739034666869742,0.8082335844678691,0.012519720924880478
11,Clausena Excavata,56.16808953669963,2.319122314453125,0.08885311852214892,272.56901463608034,12.335078746309815,0.00025019338078083255,0.7972299981519949,0.015787598065775517
12,Cinnamomum Iners,85.52607090617818,8.713623046875,0.08716412348289934,286.8330481220516,12.608618116291053,0.00017813904731306474,0.8544891273366864,0.013318690365438838
13,Cratoxylum Formosum,78.49254160673927,20.702392578125,0.09352392847311368,284.77866704063433,12.213291354256135,0.00016835568555508595,0.8810733670959037,0.012942104915955585
14,Alstonia Angulstiloba,81.54359436589402,9.02392578125,0.11882164619801419,208.16997954356185,10.082674850329397,0.00033605182855446123,0.8228950852967387,0.018291061730437038
15,Spathodea Campanulatum,118.83283628943651,8.50634765625,0.08270995979550615,363.523622347666,13.940071742169359,0.00014710650860116605,0.8608316064104902,0.012102599097613704
16,Clausena Excavata,53.95286408793067,6.886566162109375,0.09302056204415948,269.66074428540185,12.103513453462616,0.0002490459096989361,0.7902704689685447,0.01574739453311667
17,Syzygium Polyanthum,85.45803154403303,3.575164794921875,0.0754878776019786,367.19107316071023,14.448931281350848,0.00017158834529715347,0.8067767722294142,0.013076819503115872
18,Sandoricum Koetjape,75.9002924102963,8.42547607421875,0.07516089083616477,390.6171242315158,14.763192741489057,0.00013004738122841672,0.8708996850157575,0.011378145051747742
19,Sterculia Parviflora,67.33275088822879,4.157745361328125,0.08571025498840378,288.2491715898113,12.750503098362048,0.00021094851082287998,0.8249305856651232,0.014495272811553099
20,Alstonia Angulstiloba,75.5212187272916,11.702056884765625,0.11167713024692677,169.200776172424,9.643111408262534,0.0003155201784993648,0.8585791984539614,0.01772569436451927
21,Claoxylon Indicum,68.04621407965232,6.473114013671875,0.08106698988147655,325.0296563534569,13.569105399849061,0.00017458559412578993,0.8227355809496872,0.013185584188207037
22,Bridelia Sp.,78.89324902361912,5.8658447265625,0.08034356625489691,328.1252264086055,13.59112266794619,0.0001936515565498524,0.7879691785380245,0.013888526069146277
23,Pometia Pinnata,47.88383558887156,2.400634765625,0.11425035728755721,189.31243150876432,9.913208206510989,0.0003470961608643749,0.8926755348826708,0.018585304653697933
24,Sterculia Parviflora,65.13501350135013,1.4715576171875,0.09514120170860046,249.8440122159956,11.68416443689829,0.0002276936512642153,0.8949787646572016,0.015060732271005454
25,Calophyllum,102.83422778771616,0.80389404296875,0.09115309432702053,246.13691157224125,11.86377495053977,0.0002436196448552915,0.8917511200752315,0.015586704082508254
26,Pennisetum Purpureum,88.65108423231993,11.146881103515625,0.08023464771422067,327.7513789975683,13.623616207917976,0.00016486942272250405,0.835239345522462,0.012810809545903244
27,Sterculia Parviflora,88.72037037037038,0.97235107421875,0.14728256437776938,142.9209860567545,8.407777146544218,0.0005822627657115929,0.8537141236021771,0.02408574838087107
28,Campnosperma Auriculatum,124.68652791109655,31.185211181640625,0.06936657926503828,603.2505859367885,17.617867157060136,8.752504746770618e-05,0.8491259303239111,0.009332898258483381
29,Leea Indica,78.52328843995511,2.150360107421875,0.12508955306203012,162.47881308622337,9.115843892154832,0.0003058025508600389,0.9088843055850336,0.017440647812813764
30,Dillenia Suffruticosa,46.604620462046206,1.092193603515625,0.11106264793158122,220.2098853258918,10.760708881843112,0.00034836395856769893,0.8855574743509814,0.018622791304905163
31,Sterculia Parviflora,80.81710597095213,2.4700927734375,0.10183336226956548,196.5517224666823,10.5323795055373,0.00026201464165715897,0.8694961814795296,0.016154545784486215
32,Ficus Variegata,99.73476078730786,10.81488037109375,0.06915233803364759,437.0772102044235,15.726542819748277,0.0001237316551463433,0.8362000791966994,0.011098744100087661
