index,tree_name,may_NIR_glcm_mean,may_NIR_mean_homogeneity,may_NIR_mean_contrast,may_NIR_mean_dissimilarity,may_NIR_mean_ASM,may_NIR_mean_correlation,may_NIR_mean_energy
0,Falcataria Moluccana,30665426.0,0.25577910879571875,33.66218487394958,4.033084384196156,0.0012766445328370264,0.9210373081684756,0.03573016278772077
1,Ficus Variegata,18617696.0,0.22585228124067017,41.92119995248623,4.629147396130694,0.0007796074566537815,0.938935362898663,0.027921451549906596
2,Bridelia Sp.,23659461.0,0.3027765044035095,17.029626614811804,2.989939552902516,0.0013062365911396675,0.9728070738477322,0.03614189523447363
3,Falcataria Moluccana,29562690.0,0.27099015171388624,28.0631769949359,3.6797960563535765,0.0011311121258187646,0.9504361051363064,0.03363201043379305
4,Falcataria Moluccana,39979203.0,0.23408684530615095,42.12428953581917,4.50191964314913,0.0008633362650221051,0.9333052454947709,0.02938258438296579
5,Spathodea Campanulatum,9649575.0,0.28191581482501493,25.612899559766486,3.5434192267202604,0.001327380331834711,0.9486981168481771,0.0364332311473291
6,Terminalia Catappa,30443898.0,0.2887328540246136,32.06631812575064,3.7530451683059045,0.0012727642691548597,0.9322323630952972,0.03567582191281456
7,Spathodea Campanulatum,5791356.0,0.3385041663381464,15.687211601845748,2.7087270197026294,0.0014874479259903129,0.9707798886676422,0.03856744645410573
8,Shorea Leprosula,472457.0,0.43002814382484483,9.239841811414392,2.0372983870967745,0.004430768489969767,0.9676324171375029,0.06656401798246382
9,Syzygium Polyanthum,1716682.0,0.48136313322145885,6.698638743455498,1.5509947643979058,0.003953106817135451,0.9714614478274047,0.06287373710171403
10,Cinnamomum Iners,4088937.0,0.3470573975549234,10.918287267183668,2.4349572479618216,0.002168126573744402,0.9648109751533245,0.04656314608941713
11,Clausena Excavata,1034913.0,0.40244624675223695,7.587237394957984,1.984716386554622,0.0030251411226255207,0.9672090908566371,0.05500128291799675
12,Cinnamomum Iners,5058766.0,0.33802270420561836,11.522072399709058,2.5104906842723667,0.001794494261154507,0.9736465266891284,0.04236147142338787
13,Cratoxylum Formosum,12201672.0,0.35772122089952585,14.078385232366124,2.512898089171974,0.0021358114672108894,0.958203871518788,0.04621484033523095
14,Alstonia Angulstiloba,4896686.0,0.36844807213060515,9.52890352890353,2.2612792612792614,0.0032310582098631887,0.9620317034391466,0.05684239799536248
15,Spathodea Campanulatum,4432809.0,0.29147013796193394,19.134516239903764,3.1407028699089192,0.0016648333540275587,0.9478631409533725,0.04080236946584792
16,Clausena Excavata,3292596.0,0.3443038263590425,11.745006457548254,2.5018311129982482,0.001638664654619482,0.9804961140409888,0.04048042310326662
17,Syzygium Polyanthum,2063914.0,0.33491342964346393,11.978541503457203,2.5566265880990495,0.002079170100645213,0.9613912885814309,0.04559791772269007
18,Sandoricum Koetjape,4558052.0,0.3380694691666868,12.775012299945011,2.5897606575405896,0.0015606317042998678,0.9756977505106671,0.03950483140452403
19,Sterculia Parviflora,2427469.0,0.3368425541821577,11.747100515463918,2.509752811621368,0.0021857884386673916,0.9658079893004048,0.04675241639388698
20,Alstonia Angulstiloba,7880591.0,0.3598695663162444,9.956603675360508,2.2771409235254305,0.0030437280301942125,0.9549322021836134,0.05516999211703961
21,Claoxylon Indicum,2946125.0,0.36867952946004434,9.834391185610698,2.2644128449006495,0.0029722233487229047,0.9574812212037626,0.05451810111075866
22,Bridelia Sp.,2271918.0,0.3801417223317394,8.242524159097506,2.1208369623823153,0.002819616050681611,0.9631805758579313,0.05310005697437255
23,Pometia Pinnata,1340492.0,0.43702248138164623,8.386693017127799,1.8539069626026146,0.003423504639679769,0.978049868329844,0.05851072243341189
24,Sterculia Parviflora,845186.0,0.3848520349815925,8.600661157024792,2.1464462809917357,0.0027325660815518066,0.9671317646504755,0.052273952228158595
25,Calophyllum,429855.0,0.43261154368426114,6.531975867269985,1.8034690799396682,0.0039860749961894495,0.9693392864909786,0.06313537040510216
26,Pennisetum Purpureum,4288205.0,0.3833541448718876,7.764988795977483,2.074482155544625,0.003730756497616023,0.9517767751205872,0.061079918939173646
27,Sterculia Parviflora,435550.0,0.4356170400007184,8.724719101123597,2.0153558052434457,0.005818577277778557,0.9689282470337978,0.07627959935512613
28,Campnosperma Auriculatum,17334648.0,0.27202445115567253,36.736460681192085,4.068111382419233,0.001055475087212104,0.9406359392470118,0.03248807607741806
29,Leea Indica,1293916.0,0.4393880856334965,5.457373532068654,1.7095189701897018,0.0033833310153054104,0.9791546784002633,0.05816640796289049
30,Dillenia Suffruticosa,669911.0,0.3544158732202582,12.785777777777778,2.562666666666667,0.0025955185185185187,0.9654646857964942,0.0509462316419823
31,Sterculia Parviflora,1563452.0,0.3890076084360353,9.514823204964049,2.169309563675761,0.0037461435719495844,0.9515194040070147,0.06120574786692492
32,Ficus Variegata,7913950.0,0.2937534940270812,18.942093390480487,3.1402210692533274,0.0015980838016905487,0.9492407080120792,0.0399760403453187
33,Spathodea Campanulatum,9746319.0,0.29132008654042646,26.22375603864734,3.430434782608696,0.0014452104154997784,0.9401506963407746,0.038015923183578985
