index,tree_name,may_RE_raw_mean,may_RE_glcm_mean,may_RE_mean_homogeneity,may_RE_mean_contrast,may_RE_mean_dissimilarity,may_RE_mean_ASM,may_RE_mean_correlation,may_RE_mean_energy
0,Falcataria Moluccana,91.49723610415836,57.421417236328125,0.12972375265175648,191.46314380986456,9.595327875648271,0.0002914176970836631,0.8791953520893698,0.017030389238772196
1,Ficus Variegata,104.7365762058468,31.824859619140625,0.0976108114596235,304.1600448681421,12.574222028859992,0.0001402701611682132,0.8969395576371897,0.011812721811663774
2,Bridelia Sp.,94.28369110341713,40.437225341796875,0.14270223012592936,111.31898415855065,7.708843702389506,0.00027324511855071,0.9445027690702672,0.01648526311197515
3,Falcataria Moluccana,93.20818721508377,53.03253173828125,0.13842005214305148,167.747263585067,8.901905701036096,0.00025517653028306477,0.9232803620144469,0.01593116845735129
4,Falcataria Moluccana,98.86003165744684,74.64730834960938,0.11133288571218551,278.3261018943882,11.466281334108958,0.00016913530702140163,0.8992520653231115,0.012973303443693879
5,Spathodea Campanulatum,82.6192002196084,20.38043212890625,0.13666999469968108,143.69603633808896,8.567905092869584,0.0002834747858342039,0.9166300423515916,0.016792705829049515
6,Terminalia Catappa,96.05615887706558,60.120574951171875,0.12624923759713141,242.6272363836097,10.555955407091162,0.0001988927023396272,0.8977837631545964,0.014062368889114062
7,Spathodea Campanulatum,61.94436845752635,13.324005126953125,0.186949521184683,68.70338497799875,5.8550169084452115,0.0004619029053808235,0.9504203141733117,0.021431379128432147
8,Shorea Leprosula,46.68932411674347,1.568450927734375,0.2749107508174106,40.473950412376155,4.327532330174195,0.0016019506857930744,0.9540804949393034,0.03990147524539482
9,Syzygium Polyanthum,58.19553571428571,4.068023681640625,0.2532794895489695,34.001422076627605,3.9000376953679097,0.0009508924403181801,0.9527593031910359,0.03075294260439253
10,Cinnamomum Iners,72.78447911716563,9.196624755859375,0.16202639853582215,78.93873115818832,6.549940374956623,0.0004158342340267861,0.9374847533922733,0.020333370311774127
11,Clausena Excavata,66.49812597605414,2.319122314453125,0.21844481601709573,39.4314826523634,4.548630212937676,0.0007482517096782925,0.9512888908846615,0.02727055777620302
12,Cinnamomum Iners,97.69209444870098,8.713623046875,0.16160316682571502,78.00365832014948,6.501620998273695,0.0003386404914373696,0.9568609053972265,0.018351567839051907
13,Cratoxylum Formosum,103.96349173735653,20.702392578125,0.15885810553301416,98.01556981195384,6.933336390411757,0.00036163670707844585,0.9379906799070534,0.018957114204163614
14,Alstonia Angulstiloba,107.78416046708729,9.02392578125,0.14394495230359106,97.89444929033033,7.329784023381581,0.0003947133742769859,0.935934930775475,0.01981464971217893
15,Spathodea Campanulatum,93.33803741384969,8.50634765625,0.1312119073434929,123.94472459941272,8.156180451997582,0.00032538297273260457,0.9150923855739556,0.017990333257145563
16,Clausena Excavata,76.44137955330092,6.886566162109375,0.18575922893429028,62.73182140401612,5.756724746078207,0.000422082352523717,0.964848582782843,0.02048537199195851
17,Syzygium Polyanthum,90.58413998510797,3.575164794921875,0.1552527821450065,78.71375961672774,6.605011713100561,0.0004246020880943079,0.9350348383125018,0.020553828050206793
18,Sandoricum Koetjape,85.75613269377584,8.42547607421875,0.16204868558553043,92.66452129874197,6.964690299836925,0.00031841876530390656,0.9568027986350705,0.017790714598145393
19,Sterculia Parviflora,94.58765798823461,4.157745361328125,0.15672993726289447,81.08484576372615,6.649883729087399,0.00042312952990220985,0.9368483980899618,0.020515987209085606
20,Alstonia Angulstiloba,120.53701858195785,11.702056884765625,0.16037713862257713,72.0531850188487,6.286807399155672,0.0005417506151419985,0.9239343808610052,0.0232203948081063
21,Claoxylon Indicum,69.1571878161178,6.473114013671875,0.18249623198921527,57.75565380981392,5.60451361630555,0.0006265972620330433,0.9274939194038282,0.024959376188255993
22,Bridelia Sp.,59.824706052528256,5.8658447265625,0.19493558205872544,48.33554829601347,5.150480543435318,0.0006835716670870903,0.9355544570726839,0.026073279498666366
23,Pometia Pinnata,84.9972329828445,2.400634765625,0.2101821116341922,49.49377231029186,4.922437502530746,0.0006231902991675259,0.9628782957935274,0.02489405034000717
24,Sterculia Parviflora,91.35684477538663,1.4715576171875,0.19046776840577595,56.681802575143756,5.535102765390187,0.0005884466856565177,0.9427551443499333,0.024190167609605677
25,Calophyllum,86.77400119260584,0.80389404296875,0.19891765893083385,45.49218252108159,4.977519664557958,0.0007131773314376207,0.9509612820217618,0.02663644315016625
26,Pennisetum Purpureum,54.01797973193854,11.146881103515625,0.22374448415367085,30.953331377336962,4.203916228479064,0.0012150311750904275,0.9217550884099504,0.03476180667402699
27,Sterculia Parviflora,77.41530864197532,0.97235107421875,0.24485412635301415,71.78313765096969,5.5787498772600665,0.0015667969684702763,0.954028555888625,0.039467753123825756
28,Campnosperma Auriculatum,83.28468303951178,31.185211181640625,0.14284087747041638,183.004770969515,9.290429087371567,0.0002455328193379031,0.9109298004140434,0.01562167061943265
29,Leea Indica,110.78989898989899,2.150360107421875,0.19638196209975722,50.35607668989114,5.226689723194931,0.0005656886585700905,0.9584515422571144,0.023715920934856628
30,Dillenia Suffruticosa,101.58074807480747,1.092193603515625,0.16596253586539805,77.67849953647053,6.45079269724725,0.0005074780351578133,0.9448653155802242,0.022466361750708527
31,Sterculia Parviflora,105.80150618612157,2.4700927734375,0.18269701643084313,65.44327979102833,5.816095430060939,0.000596274939197245,0.9366285590005887,0.02435355938732668
32,Ficus Variegata,129.99880983124305,10.81488037109375,0.11469969387996606,162.9393924354401,9.470141308145177,0.0002361754113257589,0.9152373900853678,0.015324757943088026
