index,tree_name,dec_r_glcm_mean,dec_red_mean_homogeneity,dec_red_mean_contrast,dec_red_mean_dissimilarity,dec_red_mean_ASM,dec_red_mean_correlation,dec_red_mean_energy
0,Falcataria Moluccana,59683137.0,0.35509326126810903,24.278487293956044,3.036402815934066,0.0022300132733959893,0.9473214194509999,0.047223016352155964
1,Ficus Variegata,27287988.0,0.18881231599052378,87.81127058791073,6.484960824344083,0.000677966990606424,0.9003726636623869,0.02603779926580632
2,Bridelia Sp.,26177030.0,0.2648194408086849,38.20328834193463,4.163742225750959,0.0011215867102666727,0.94896442817514,0.03349009869001094
3,Falcataria Moluccana,33198182.0,0.37619668259398603,23.968650793650795,2.924451058201058,0.0020361144628247394,0.953994108449922,0.04512332504176459
4,Falcataria Moluccana,35808057.0,0.46043248160576977,10.169341860219967,1.9358832003935484,0.003851165978555709,0.9611660261941714,0.062057763241642125
5,Spathodea Campanulatum,16653901.0,0.2003884577877346,68.07988075754034,5.739724105681552,0.0007654590349805105,0.9217322741984262,0.027666930349796857
6,Terminalia Catappa,48449523.0,0.26153606391425926,60.370404572669024,4.950430657189875,0.0011092152732707673,0.9296909081144598,0.03330488362493956
7,Spathodea Campanulatum,4784666.0,0.20760620584033096,63.50420694843006,5.450798205778285,0.0007005896579272206,0.9171500006932843,0.026468654252289076
8,Shorea Leprosula,788227.0,0.26667570246404515,43.088934400794386,4.322844907838391,0.0013610490908270646,0.9247294817842516,0.03689239882180426
9,Syzygium Polyanthum,1972889.0,0.24381365629926857,56.45657733403399,4.765142757050271,0.0008841923743554573,0.9505385834854099,0.029735372443530236
10,Cinnamomum Iners,3390605.0,0.20955808845554902,73.79318693693693,5.764076576576577,0.0007556799303526498,0.9430317966840671,0.027489633143289668
11,Clausena Excavata,843620.0,0.252957872437039,38.16291208791208,4.275915750915751,0.0013565021669417273,0.9459336209508206,0.03683072313900078
12,Cinnamomum Iners,5890169.0,0.25746594868943457,36.08079218309397,4.033444816053511,0.0009277154556030332,0.9487203159530827,0.030458421751677043
13,Alstonia Angulstiloba,7511660.0,0.2943077665865027,37.02183014841242,3.991088737924181,0.0030568378898855088,0.9206764879970293,0.05528867777298991
14,Spathodea Campanulatum,5961932.0,0.21191606536577853,55.26085714285715,5.19309243697479,0.0010264056210719582,0.9137709032511023,0.032037565779440204
15,Clausena Excavata,3638356.0,0.22822294202449273,53.5108749504558,4.992444510503368,0.000939814431074778,0.9405848516484739,0.030656392988653736
16,Syzygium Polyanthum,2055867.0,0.20306106836403442,69.18921312304968,5.761617609850722,0.0006007081349905212,0.9496011846901765,0.024509347910348842
17,Sandoricum Koetjape,9911588.0,0.21924843728197907,74.17360125814116,5.715593428947503,0.0006343255797964819,0.9628947337046369,0.025185821006996813
18,Sterculia Parviflora,2158080.0,0.17044335179407485,72.03031375324369,6.191829834080365,0.0007021806711883371,0.9244186084470336,0.02649869187692738
19,Alstonia Angulstiloba,5763471.0,0.24574935937167786,40.37872208436725,4.426963217048606,0.0012970107617465672,0.9256863709790444,0.03601403562149856
20,Claoxylon Indicum,1468034.0,0.16341640324569057,87.40311888719845,6.762497283199305,0.0006025927124032692,0.9260516208239619,0.02454776389823051
21,Bridelia Sp.,3431532.0,0.2061305821497939,55.4218279047156,5.270636849781234,0.0008404991646674541,0.9177525901104584,0.028991363622076386
22,Pometia Pinnata,805983.0,0.19152687673858396,64.17072635505815,5.823787579547949,0.0007294348151175497,0.9372748663132713,0.027008050931482442
23,Sterculia Parviflora,1055372.0,0.17641362262420152,70.269166162736,6.134112746086139,0.0006881691257069764,0.925302192139958,0.026232977827669056
24,Calophyllum,385268.0,0.1717516842301049,74.54105392156862,6.310253267973856,0.0009280660282904012,0.9068536347773657,0.030464176146588983
25,Pennisetum Purpureum,4367890.0,0.192323611231318,52.17096932089116,5.389512576381981,0.0006262523954372303,0.9421515409442259,0.025025035373346233
26,Sterculia Parviflora,1324476.0,0.25023705042592126,72.56080575539568,5.43389928057554,0.0009516426685989338,0.9627582540588521,0.03084870610899157
27,Campnosperma Auriculatum,8961639.0,0.2153622035199799,58.220752055842425,5.2258438515968635,0.0010390509557330673,0.8762834294097783,0.03223431332808359
28,Leea Indica,3100855.0,0.2536950800146347,49.73761765660499,4.632262252515417,0.001134012728493396,0.9421759051777779,0.033675105471154744
29,Dillenia Suffruticosa,505188.0,0.2084269196124437,61.69612794612796,5.521043771043772,0.0008875208469531328,0.9366703236890173,0.02979128810496674
30,Sterculia Parviflora,1575280.0,0.20116400715097504,84.63457912831318,6.088832205833426,0.0009005161335059826,0.907150558105779,0.03000860099214861
31,Ficus Variegata,7185993.0,0.18665625358768642,84.66807722824649,6.398227982015339,0.0007349231366817521,0.9168485831447536,0.02710946581328655
32,Spathodea Campanulatum,11198372.0,0.187684094117257,84.9627327549725,6.3746385244745385,0.0007615251165550844,0.8915306309846301,0.027595744537067386
