index,tree_name,dec_g_raw_mean,dec_g_glcm_mean,dec_green_mean_homogeneity,dec_green_mean_contrast,dec_green_mean_dissimilarity,dec_green_mean_ASM,dec_green_mean_correlation,dec_green_mean_energy
0,Falcataria Moluccana,217.72791444913858,71.05502319335938,0.2512523331976451,67.29967808557664,5.121651957179278,0.000898836429666129,0.923057538092726,0.02989975575228311
1,Ficus Variegata,210.23985859691516,35.3648681640625,0.12309762034331244,350.6764950042921,12.843935480533847,0.0006361268388832457,0.8513831481498385,0.025139513146155524
2,Bridelia Sp.,186.69061696912843,36.852935791015625,0.15717789130350013,150.30203091568626,8.2230999873216,0.00030952498945363636,0.9359727687309812,0.017544272752418863
3,Falcataria Moluccana,218.20382228677053,36.881683349609375,0.2546549869569006,86.63961765881552,5.603269251922514,0.001201514902883929,0.9354878039349979,0.03459020402366985
4,Falcataria Moluccana,224.05360716350955,34.72772216796875,0.2981174616497642,52.69000597170103,4.328429644632415,0.0017399935322386384,0.9465853230414696,0.041629925905709644
5,Spathodea Campanulatum,211.62784037887272,20.85357666015625,0.13109364412075744,280.07281105443667,11.396546449935535,0.000711881521431612,0.8908422453142761,0.026588539076511833
6,Terminalia Catappa,214.37918549465533,55.741912841796875,0.17104788761077006,242.78160504905748,9.916404961232455,0.0009415938505636409,0.8952268157986608,0.0305983086404963
7,Spathodea Campanulatum,160.4327478077478,8.7486572265625,0.10660260551260758,301.53904778645483,11.924457984856108,0.00017065392852182388,0.8985233812299308,0.013032341867818611
8,Shorea Leprosula,158.12786400591278,1.958648681640625,0.18055666646076374,110.7059226332596,7.063632325233223,0.0005608010120910188,0.9008181066289039,0.023620145648242354
9,Syzygium Polyanthum,165.07189132706375,3.473663330078125,0.1429359281251542,241.54458607917212,9.672445468481818,0.00024302740183356153,0.934244499922676,0.015551250902162717
10,Cinnamomum Iners,207.2738255033557,4.329681396484375,0.1280281631590559,321.93386144825496,12.028508823587643,0.0004980092171383905,0.9080906910640794,0.02222870014223433
11,Clausena Excavata,182.83429864253392,1.329254150390625,0.13240331423292456,197.26399078861658,9.628316903684254,0.0003638150947217439,0.9191515463173644,0.01902573880402181
12,Cinnamomum Iners,194.0960960960961,7.4339599609375,0.12061506363238356,238.88763275249204,10.58900999912509,0.00021404408344144482,0.9126173687515406,0.014571174854587619
13,Alstonia Angulstiloba,234.0340311587147,7.476531982421875,0.20845375358968765,112.10280147971294,6.793494767493769,0.002248658624014346,0.8774172561921286,0.047325164734753324
14,Spathodea Campanulatum,217.52683384110617,7.247528076171875,0.13130792100202063,221.7479603413804,10.377384558917122,0.0006396862451370727,0.8593865117528954,0.025192329705043832
15,Clausena Excavata,200.84144837452519,4.911773681640625,0.13024907343180703,219.27483042120332,10.071956593665904,0.00028032175644649907,0.924189849501682,0.01670215676755214
16,Syzygium Polyanthum,190.5028085177733,2.8837890625,0.12280281754030116,287.5917342461282,11.526937367932916,0.00036117477773085045,0.9355254018297521,0.018958241439210936
17,Sandoricum Koetjape,188.4841813923781,14.2698974609375,0.1320850264929296,285.04925987891284,11.216513178099966,0.0002983848451285223,0.9454447139927391,0.017223915393268265
18,Sterculia Parviflora,209.0606463209722,3.09466552734375,0.11635919719432139,191.62961314569404,10.071565025757216,0.00030575054782611285,0.8992521734058446,0.017441642071006715
19,Alstonia Angulstiloba,227.65994623655914,6.677734375,0.1815246669130034,120.85642116824687,7.533690883537551,0.0011319649881662034,0.8723676661432371,0.03355640929485126
20,Claoxylon Indicum,200.00059216192938,2.24200439453125,0.10329421548496251,284.8472866292874,12.097266669599469,0.00024778599022808165,0.9006874903675129,0.015702216748066863
21,Bridelia Sp.,188.57542967804406,5.004974365234375,0.11680838743969338,226.67364561828785,10.522055117987325,0.00023541224868195193,0.8851936523485027,0.015309183031870876
22,Pometia Pinnata,211.22535822839774,1.10699462890625,0.15156463022661626,188.4580834821043,9.72885552589381,0.0017767390446179494,0.8968075607155708,0.04206124244210311
23,Sterculia Parviflora,177.25759797387363,1.809173583984375,0.10333687983620217,263.8999909283423,11.68716814179266,0.00022980584354900932,0.9024588296129425,0.015131274846407194
24,Calophyllum,208.7139403706688,0.593109130859375,0.12643945991387395,150.70137004466977,8.927590352444735,0.0005127674271629607,0.8646804365303363,0.022620754374384648
25,Pennisetum Purpureum,164.54544739986167,7.718780517578125,0.09615356288066508,251.04866759737484,11.788164357746123,0.00017248614172266167,0.8961946467625281,0.013105790659035488
26,Sterculia Parviflora,207.0732,2.112030029296875,0.23599289007858798,104.61796111129524,6.420910991943734,0.0010772137771340702,0.9450744712653069,0.03273652732086701
27,Campnosperma Auriculatum,212.4752976190476,10.2003173828125,0.1137010745100976,321.5000734674304,12.350150472108748,0.0003420979266896832,0.8187824080165265,0.01842772794033893
28,Leea Indica,213.76856755360373,3.7479248046875,0.16593912758515122,142.50285862827127,7.936170509949484,0.0005076335918556352,0.9169843282083268,0.022463636479600587
29,Dillenia Suffruticosa,182.66430358632192,0.862213134765625,0.11389183279259192,247.27727992997376,11.17015778917559,0.0002907272287554162,0.9032855340794934,0.017018113444112817
30,Sterculia Parviflora,217.19349691901408,2.194091796875,0.14589330370715012,181.0781536210157,8.925572641194707,0.0004908440597761719,0.8693013767665823,0.022106851904657637
31,Ficus Variegata,212.79951315789475,9.22430419921875,0.12020686575369835,338.4135217889181,12.587800460781901,0.0005816486131852516,0.8777371871216191,0.024034680793003423
32,Spathodea Campanulatum,212.83856033452807,13.832672119140625,0.11883939815854003,328.2090704960622,12.486220483946479,0.0005182476401054789,0.8511363559052862,0.022678658937902017
