index,tree_name,dec_RE_raw_mean,dec_RE_glcm_mean,dec_RE_mean_homogeneity,dec_RE_mean_contrast,dec_RE_mean_dissimilarity,dec_RE_mean_ASM,dec_RE_mean_correlation,dec_RE_mean_energy
0,Falcataria Moluccana,105.35119129265884,71.05502319335938,0.2335696346851787,55.78306449348891,4.8356224624804485,0.0006578077671241463,0.9538225382372335,0.025572448483064357
1,Ficus Variegata,94.77600622338797,35.3648681640625,0.1437267960487453,141.85854850133313,8.393021337192167,0.00030860898841591095,0.9098352341442462,0.017519485125299945
2,Bridelia Sp.,59.8783766821476,36.852935791015625,0.2611240497926742,35.23227931004434,3.9917955644341667,0.0009451208618591441,0.9672772238791594,0.030656515650014454
3,Falcataria Moluccana,112.33774755743332,36.881683349609375,0.21805323284603775,60.24930976680382,5.10965292635929,0.0004765533014610228,0.9654193223041465,0.021764694978974125
4,Falcataria Moluccana,121.98289379150823,34.72772216796875,0.22042514367963287,61.16859592704141,5.037615288702529,0.0005338845744601604,0.9627673599182653,0.02303526245276885
5,Spathodea Campanulatum,115.01844788167226,20.85357666015625,0.1315260569322568,152.23899135147056,8.728744652753067,0.00021667786358169143,0.9424881162476686,0.01468076048700361
6,Terminalia Catappa,117.28536311433142,55.741912841796875,0.1484640390422507,170.795973615206,8.685256584167313,0.00023374067514320813,0.9319141027099258,0.015239087771274211
7,Spathodea Campanulatum,69.88913863913864,8.7486572265625,0.2093275037593894,64.13893877871391,5.413703795699538,0.0005072773317158861,0.9580985404500103,0.022459434076329565
8,Shorea Leprosula,46.95269770879527,1.958648681640625,0.3074995410950704,42.2615016103205,3.9650353541211425,0.0027436642559759417,0.9277929651540887,0.05222071360083072
9,Syzygium Polyanthum,68.3120863810519,3.473663330078125,0.23236246882183031,65.35612164115066,5.115754436578596,0.0006156535483286658,0.9541077425925455,0.024736938508653158
10,Cinnamomum Iners,104.03187919463087,4.329681396484375,0.1362997816672219,149.5761006192235,8.587549544323872,0.0002307064348403411,0.9435429296341649,0.015148309625677273
11,Clausena Excavata,88.45149321266969,1.329254150390625,0.1830129948973127,57.88393361369501,5.600032539849497,0.000497547753889386,0.9616294297062737,0.02224714691450394
12,Cinnamomum Iners,91.26514558036297,7.4339599609375,0.15173606675131324,121.44223853120886,7.649897128228357,0.0002812611381272178,0.9464166913740715,0.016722636934473657
13,Alstonia Angulstiloba,127.52293086660175,7.476531982421875,0.14765330290494252,85.25562780343975,6.8572997910706945,0.0004048830224010117,0.9392204245207525,0.020054882906911778
14,Spathodea Campanulatum,123.95001506578727,7.247528076171875,0.11526318482255878,171.50263788515008,9.513212407258498,0.00025598778870020584,0.9056772236573619,0.015957564149774894
15,Clausena Excavata,96.5486902471511,4.911773681640625,0.17770495671021447,68.76433674711157,5.981121790525931,0.0003829407486176127,0.963195150994774,0.019514156935107947
16,Syzygium Polyanthum,94.70535714285714,2.8837890625,0.16445732942387659,95.37977271284016,6.934950379966964,0.00030763562295501294,0.9649609633994144,0.01749722553895211
17,Sandoricum Koetjape,86.7525399190973,14.2698974609375,0.19017748458654415,100.66944254259056,6.571901824992138,0.00031881459562522595,0.9684167713731412,0.0178008320769998
18,Sterculia Parviflora,93.62732992067524,3.09466552734375,0.16142260853056034,82.09797490830573,6.663292850555121,0.0003959780035745527,0.9445954797215605,0.019847323749805506
19,Alstonia Angulstiloba,123.99004649811101,6.677734375,0.1354020124815268,106.97303055876743,7.665330517179857,0.0003795963646242575,0.9013827514699896,0.019438893462797324
20,Claoxylon Indicum,71.38964254952627,2.24200439453125,0.18732727122041432,61.61354357157515,5.714419387621715,0.0005637996029702099,0.9397044646694801,0.02368001741226845
21,Bridelia Sp.,63.66598886468167,5.004974365234375,0.24518226844579044,33.030846589029146,4.07076438216459,0.0010788182092357809,0.9357445311163874,0.032757205254036546
22,Pometia Pinnata,90.58282674772036,1.10699462890625,0.17200845638918402,64.23249463799985,5.977880663264447,0.000552139194017614,0.938823606626842,0.023444170316689876
23,Sterculia Parviflora,61.549586776859506,1.809173583984375,0.20816858062704796,41.47965462145939,4.789664377665489,0.0007667611914643621,0.942384588282409,0.027621965470013384
24,Calophyllum,84.66901692183723,0.593109130859375,0.19833759013427615,40.702642974273815,4.819785592668543,0.0009085859887423046,0.9436191574673545,0.030088413955699278
25,Pennisetum Purpureum,37.66658806514494,7.718780517578125,0.2907762123219767,16.805455581870778,3.0642941442527434,0.001803999977760773,0.9473092306917974,0.04235316554353479
26,Sterculia Parviflora,77.91348571428571,2.112030029296875,0.24909811354791966,67.33930737161418,5.354867544673896,0.0012798446212866762,0.9671537843432043,0.03567898251386027
27,Campnosperma Auriculatum,94.32209523809524,10.2003173828125,0.151917128972003,148.09197481296724,8.24303431950974,0.0003902086773005837,0.8783268633178768,0.019697110031348993
28,Leea Indica,95.42379230173081,3.7479248046875,0.18442595557196317,69.83460206039268,5.868742833714585,0.00045782204812983235,0.9506178596768698,0.021336896723859904
29,Dillenia Suffruticosa,90.31776480400333,0.862213134765625,0.15365491488092092,93.19952041389377,7.081914782182464,0.00044991618259319823,0.9339519748550041,0.021154363193079465
30,Sterculia Parviflora,110.0349911971831,2.194091796875,0.1616448234956348,103.53949183057864,7.025152338271955,0.00048101200334950964,0.9286094565291362,0.021872754781593073
31,Ficus Variegata,120.98984210526316,9.22430419921875,0.12117408129418092,164.21521586285104,9.277870917041788,0.0002124599984707943,0.9330498882356888,0.014535247345104163
