index,tree_name,may_r_raw_mean,may_r_glcm_mean,may_red_mean_homogeneity,may_red_mean_contrast,may_red_mean_dissimilarity,may_red_mean_ASM,may_red_mean_correlation,may_red_mean_energy
0,Falcataria Moluccana,183.48106211659695,57.421417236328125,0.10156533925463178,390.4612368290198,13.599778951532954,0.00018808332974246832,0.805370076953721,0.01369067234292172
1,Ficus Variegata,191.90516911685967,31.824859619140625,0.08431583537207298,664.2179002885581,17.794005421340437,0.00014715702760663277,0.8435492476100548,0.01209975352736534
2,Bridelia Sp.,187.2287189522806,40.437225341796875,0.09753374885671894,350.5337000185982,13.135879367219193,0.00016330124125346412,0.8908111982456364,0.012748972432555015
3,Falcataria Moluccana,182.4411542480508,53.03253173828125,0.108671983623029,405.1792272233666,13.51477711498211,0.0001558920456622698,0.8785168908655324,0.01246085843028938
4,Falcataria Moluccana,189.7884466637294,74.64730834960938,0.10145327046751113,512.2064180748952,15.169069975763232,0.0001566410865381047,0.8536320662125345,0.012491994317896625
5,Spathodea Campanulatum,200.21672007686294,20.38043212890625,0.08534508392705478,468.62314358350875,15.310059724169188,0.0001687360179312799,0.8367167016373614,0.012957359032212835
6,Terminalia Catappa,197.62816372344824,60.120574951171875,0.09915435536752444,563.6546938813069,15.909464195795323,0.00018825635077778012,0.8449208083088958,0.01368479003198076
7,Spathodea Campanulatum,134.3411295911296,13.324005126953125,0.06874655883758249,527.2075584195347,16.905393537192865,9.429334575312512e-05,0.8620590501932691,0.009689294269450687
8,Shorea Leprosula,147.01390168970815,1.568450927734375,0.13465319144230325,208.55071399091253,10.15686081582767,0.00030134317051644404,0.8976083945630513,0.01732483177815712
9,Syzygium Polyanthum,139.2784523809524,4.068023681640625,0.09606527247625204,272.22448736430835,12.000481223779014,0.0001717614096215681,0.9023087328544648,0.013079132766575718
10,Cinnamomum Iners,179.82351232905646,9.196624755859375,0.07929305621561823,408.8082269685241,14.797100535467841,0.00012601153406086103,0.8850305547631055,0.011200287306832231
11,Clausena Excavata,140.14633003643937,2.319122314453125,0.08718799035752658,301.1794369168695,12.812201560927612,0.00018653454094443784,0.873932115727132,0.013632428203978777
12,Cinnamomum Iners,184.53278540084975,8.713623046875,0.0962460655834758,276.4835394915878,12.099020510784454,0.00017763917051530267,0.8940141337642536,0.01329970457489562
13,Cratoxylum Formosum,207.45579852651971,20.702392578125,0.1306267006720365,266.7169190139648,10.825020255665944,0.0003453841525127874,0.894025795569852,0.01853138764583527
14,Alstonia Angulstiloba,207.03063242436065,9.02392578125,0.14286726889342616,210.52063200503255,9.492963958363855,0.00046865320878180437,0.8888011921633874,0.02160204027941915
15,Spathodea Campanulatum,202.01519670096033,8.50634765625,0.09649903268431768,341.83666435944053,13.208793682737685,0.00020463170367067952,0.8702962721401843,0.014273384707365857
16,Clausena Excavata,154.04896780102868,6.886566162109375,0.09311861436167923,323.0082694179615,12.800564167725593,0.0001744823237659997,0.9074444866486349,0.013180382433251158
17,Syzygium Polyanthum,184.84238137142083,3.575164794921875,0.08170932649552548,350.52225682108997,13.859337927268788,0.0001672210305824219,0.8532962368652741,0.012909567824587805
18,Sandoricum Koetjape,178.57442058107543,8.42547607421875,0.08925008279137572,382.22692216209725,14.203438301999833,0.00013850594722707025,0.919143148868354,0.011734012258076253
19,Sterculia Parviflora,185.6668122779428,4.157745361328125,0.09272502117093066,270.24502680264675,12.175911358035057,0.00018774925002832763,0.8721461588313701,0.0136733046425592
20,Alstonia Angulstiloba,202.35467663240942,11.702056884765625,0.13187376043515014,141.1238812216525,8.523477254068503,0.00039752234973505275,0.8789317670395449,0.019897201592696357
21,Claoxylon Indicum,167.80332321756399,6.473114013671875,0.08486668387243061,337.8123005669543,13.625320156112986,0.00015606185125317717,0.8677612572182132,0.012465543922788955
22,Bridelia Sp.,177.2972950633356,5.8658447265625,0.08353800193121626,339.63704343402304,13.646909596091305,0.00016515161045143917,0.8451833042252044,0.012823740287565286
23,Pometia Pinnata,183.77803491472557,2.400634765625,0.1242825470084893,190.05314786108065,9.609281954657956,0.00023747171570237644,0.9334915680846021,0.015375341479921775
24,Sterculia Parviflora,178.09410031912282,1.4715576171875,0.1077633285144369,230.00572628569722,10.998500949526827,0.00024079130825211434,0.8882529971979731,0.015487745169642055
25,Calophyllum,207.9284436493739,0.80389404296875,0.14218729642847228,211.4336795443509,10.654132370137834,0.0031424842525431484,0.896988069257501,0.0559273913491479
26,Pennisetum Purpureum,164.4606625258799,11.146881103515625,0.08416338194177181,313.88593271273976,13.236256755532784,0.00016903837329055444,0.8452712844250174,0.012971707171570592
27,Sterculia Parviflora,218.1253086419753,0.97235107421875,0.2015987791530526,105.30789813295146,6.820136346420819,0.0010987843530355255,0.9026680426574336,0.03305402800931323
28,Campnosperma Auriculatum,187.48688533545604,31.185211181640625,0.08512518128114596,548.8237936835856,16.18051305323306,0.0001304682875071174,0.8717414917915927,0.011394898001591462
29,Leea Indica,222.06537598204264,2.150360107421875,0.17828092372540358,122.95631361819311,7.324283909780005,0.0007057052351159791,0.9021546277480645,0.026488205578855572
30,Dillenia Suffruticosa,164.25192519251925,1.092193603515625,0.10485253697316632,258.725050827554,11.495184113916913,0.00023550428003737576,0.9096529426235515,0.015318086042260416
31,Sterculia Parviflora,184.09482126265343,2.4700927734375,0.10989932677731616,181.9853331180827,10.016365193525075,0.0002602317683531582,0.8968976190718126,0.01609920969043753
32,Ficus Variegata,208.04034222965765,10.81488037109375,0.10013437680043416,348.4658173814279,13.33403759605256,0.0002516327597712398,0.8571140334015084,0.015822306758225598
