index,tree_name,may_NIR_raw_mean,may_NIR_glcm_mean,may_NIR_mean_homogeneity,may_NIR_mean_contrast,may_NIR_mean_dissimilarity,may_NIR_mean_ASM,may_NIR_mean_correlation,may_NIR_mean_energy
0,Falcataria Moluccana,122.38766873976532,57.421417236328125,0.12670380367935832,178.48286282180996,9.36014147632553,0.0002799633913064194,0.8969454929438117,0.016690940158523206
1,Ficus Variegata,136.13911410607474,31.824859619140625,0.1100203270052656,233.0507394765452,10.874137017557299,0.0001708738797834796,0.9164574195137871,0.013036909963964987
2,Bridelia Sp.,130.20105073009182,40.437225341796875,0.15282150313675363,96.84923887650504,7.083914681691529,0.0002852173441640254,0.96189345141902,0.016841009029127052
3,Falcataria Moluccana,126.48551907862253,53.03253173828125,0.1361334207059493,152.34865298066484,8.601317755194986,0.00024754949499607604,0.9337701837442671,0.015690223261506042
4,Falcataria Moluccana,124.47548342879521,74.64730834960938,0.1153643710123854,225.5022183511583,10.458646773971285,0.00018932808866222117,0.9121213955205435,0.013725114910401796
5,Spathodea Campanulatum,107.12606596606811,20.38043212890625,0.14174809693386198,142.30980716024825,8.368213156694173,0.0002896746135983554,0.9298773732833663,0.016974767727175426
6,Terminalia Catappa,113.63381040756619,60.120574951171875,0.14871405629827203,173.4715426903042,8.815397660201716,0.0002775044332558369,0.9097762825251264,0.01660984017463105
7,Spathodea Campanulatum,95.27881423934056,13.324005126953125,0.17368690382551472,85.6140504517776,6.396452678718079,0.0003249560207864673,0.9607771828032315,0.017975626494903446
8,Shorea Leprosula,63.072427035330264,1.568450927734375,0.24620491625765523,48.27746176805973,4.772703639899749,0.0010380744109996969,0.9583758385955009,0.03211689902310279
9,Syzygium Polyanthum,84.44866071428571,4.068023681640625,0.26618499757753766,34.342446962259984,3.6903069676654194,0.0008784617301038636,0.9639595319721161,0.02956009444653908
10,Cinnamomum Iners,96.93753630075506,9.196624755859375,0.17816000136887195,61.43855260029436,5.769601058695396,0.00047637780111510513,0.9513102262204698,0.02176388844523753
11,Clausena Excavata,93.87204580947423,2.319122314453125,0.2165017122620616,40.070446935024854,4.580738866244793,0.0006999510902478604,0.9573853769563166,0.026378522510104804
12,Cinnamomum Iners,126.28338789440691,8.713623046875,0.1736977254437252,64.72879014936687,5.929586614610719,0.0003974300349684609,0.9635101723531183,0.01988179622822609
13,Cratoxylum Formosum,126.90168775132818,20.702392578125,0.1800644007115243,78.3708610971707,6.0806207469281865,0.0004528244071175322,0.942729116651911,0.021212586490916868
14,Alstonia Angulstiloba,115.75768501204041,9.02392578125,0.1872060012399588,57.36356307871495,5.519650372635346,0.0006902283678790478,0.9437723050184452,0.02619928464615624
15,Spathodea Campanulatum,116.87757024015069,8.50634765625,0.14609614987803898,103.81546392664904,7.343915362841238,0.00037074525994710314,0.9303610612337663,0.019201577939897248
16,Clausena Excavata,104.23442894384556,6.886566162109375,0.18091406739138294,66.01224195948697,5.870650014495166,0.0003691985245474286,0.9730252288413801,0.019159652219757642
17,Syzygium Polyanthum,125.79855141135856,3.575164794921875,0.16991800970516396,68.35899610562221,6.074581168069038,0.000464011248961242,0.9457709161531623,0.021485665520233663
18,Sandoricum Koetjape,118.34317157138125,8.42547607421875,0.17454419336903315,72.64277763651154,6.135074110571801,0.00034580942158678456,0.9659667098215998,0.018538697200810736
19,Sterculia Parviflora,127.5149688391869,4.157745361328125,0.17229408281923425,67.74517460614793,5.961121391892527,0.0004890500996123753,0.9513915008487864,0.022054542391661932
20,Alstonia Angulstiloba,144.9145126128932,11.702056884765625,0.18783971086924858,52.8917917571585,5.29145127715232,0.000678551746784716,0.9408700447105739,0.025985447167394198
21,Claoxylon Indicum,97.31990183957139,6.473114013671875,0.18982043722420225,56.34450370565652,5.440974723704882,0.000644589982470113,0.9400617609700526,0.025313122558486674
22,Bridelia Sp.,82.6946252557188,5.8658447265625,0.19689565560595243,47.558059742782085,5.090165260987511,0.000616617766883631,0.9476556364362103,0.024763780259046277
23,Pometia Pinnata,114.10766212205061,2.400634765625,0.2342884008248218,43.837667026524,4.404447321172183,0.0007739151003750227,0.9717648466370663,0.027743119113203617
24,Sterculia Parviflora,120.97283364700107,1.4715576171875,0.20662929821128967,45.2481417726999,4.933379560115113,0.0006476709349006905,0.9574764655574362,0.025375140331808235
25,Calophyllum,109.10524746571258,0.80389404296875,0.22699023042667585,37.92588097037503,4.403232642870115,0.0009162926662349601,0.9558957299642639,0.030193627505757617
26,Pennisetum Purpureum,81.70502342813556,11.146881103515625,0.20588618060329916,40.56092812004724,4.7545859493965965,0.0008411303437326492,0.9379679324256935,0.028918508077761133
27,Sterculia Parviflora,92.48604938271605,0.97235107421875,0.25040892807100495,49.45336622760883,4.753043597188843,0.001392253380947871,0.9566582913647537,0.03720658823694098
28,Campnosperma Auriculatum,125.9535816574189,31.185211181640625,0.13603379286276218,204.48386867379958,9.68851374882109,0.00022758138908825803,0.9186773240770439,0.015040269922528741
29,Leea Indica,122.26301907968575,2.150360107421875,0.22786904451314788,35.116553283576486,4.337461279844961,0.0007241432129610294,0.9667934011051247,0.026826322418531626
30,Dillenia Suffruticosa,130.45775577557757,1.092193603515625,0.17651253002079226,73.42655057724889,6.197498767011512,0.0005945118677844823,0.9509426421546388,0.024317596361665285
31,Sterculia Parviflora,133.1485647219913,2.4700927734375,0.21012067646470162,52.55294816768213,5.071663408997268,0.0008438743414431876,0.9339013296552845,0.028972395327532156
32,Ficus Variegata,162.8720680866353,10.81488037109375,0.15033599926515284,101.92673079349247,7.252730140845745,0.0003610299227038433,0.9328227246461638,0.018947229883678935
33,Spathodea Campanulatum,108.50480079993254,20.190826416015625,0.1477092048957543,140.99224956340638,8.029363069466502,0.00031815721934824693,0.9208028719044804,0.017787934748787884
