index,tree_name,may_RE_glcm_mean,may_RE_mean_homogeneity,may_RE_mean_contrast,may_RE_mean_dissimilarity,may_RE_mean_ASM,may_RE_mean_correlation,may_RE_mean_energy
0,Falcataria Moluccana,22658065.0,0.2586658825096243,36.207889173368464,4.142408821935854,0.0013270452484466604,0.9071921573128009,0.03642863226154203
1,Ficus Variegata,13900234.0,0.20238666525542803,55.41089061488177,5.372603716036279,0.0006402168289451654,0.9236954184442988,0.025302506376743895
2,Bridelia Sp.,16738516.0,0.2828265902449223,20.09052292015255,3.28830401422994,0.0012468179896758026,0.9593356596218292,0.03531030996289614
3,Falcataria Moluccana,21536390.0,0.27373329205837815,30.842999268672987,3.8090776540501254,0.0011657740709942732,0.9426945796013471,0.03414343379032451
4,Falcataria Moluccana,31132477.0,0.22467919848514245,52.360727763861,4.950722073607032,0.0007686931589085825,0.9229992954891673,0.027725316209352462
5,Spathodea Campanulatum,7308110.0,0.2722905255102875,25.780331849937795,3.6241805435926886,0.0012973633802777814,0.9392165159713729,0.03601893085972682
6,Terminalia Catappa,24858406.0,0.25028189213136837,44.9114223228487,4.50621814847275,0.000909591907091635,0.9231052761628669,0.030159441425391734
7,Spathodea Campanulatum,3737602.0,0.3567796577426506,12.5395334358749,2.4816523840914084,0.0021057256165142534,0.9632293838046243,0.0458881860233574
8,Shorea Leprosula,352721.0,0.4643092011258837,7.660592431761787,1.8297921836228288,0.0067272438190386615,0.964678910989823,0.08201977699944485
9,Syzygium Polyanthum,1154715.0,0.46311202207524743,6.583994016454749,1.646133133881825,0.004299933596968844,0.9628678638621805,0.06557387892269942
10,Cinnamomum Iners,2982397.0,0.3181939159862638,14.262689732882613,2.7843043679989394,0.0018819711583862849,0.9540801926423874,0.043381691511354015
11,Clausena Excavata,726886.0,0.40466104954248105,7.480829831932773,1.9731617647058823,0.003245006642362828,0.9624430800587607,0.05696495977671561
12,Cinnamomum Iners,3835140.0,0.3183487550713215,13.798970514183404,2.747859900408437,0.001531293109944744,0.9690365778425133,0.039131740441037684
13,Cratoxylum Formosum,9736650.0,0.323530212608539,17.34861405991979,2.855113234253362,0.001712034495176475,0.9554060486510059,0.041376738575877085
14,Alstonia Angulstiloba,4363356.0,0.2970011454514182,16.364189864189864,3.0139995139995137,0.0018421323737629056,0.9564714966688094,0.042920069591776126
15,Spathodea Campanulatum,3455995.0,0.2656208585853364,23.05527868476829,3.5051268831987166,0.0014555564773042165,0.9358445957673127,0.03815175588756324
16,Clausena Excavata,2399837.0,0.35237018224723904,11.087486509916317,2.4409886240999237,0.00188967381568348,0.9747466842504436,0.04347037860064575
17,Syzygium Polyanthum,1453340.0,0.3150946847714445,13.700568820463914,2.764978371197929,0.001906120796690734,0.9540733190370976,0.04365914333436622
18,Sandoricum Koetjape,3203972.0,0.3144550594359006,16.13965502271872,2.9293693745839726,0.0014427607822761427,0.969469451987617,0.03798369100385247
19,Sterculia Parviflora,1763277.0,0.3119331778618132,14.008727741330834,2.792174320524836,0.001898068987985391,0.955752834246233,0.04356683357768144
20,Alstonia Angulstiloba,6368127.0,0.31490735599798636,13.373970534645219,2.7025144463532724,0.002428817610404779,0.9428226699489674,0.0492830357263509
21,Claoxylon Indicum,2055474.0,0.3572745408296247,10.10426593841228,2.338374611545343,0.002883941502845951,0.9484697299400521,0.05370234168866336
22,Bridelia Sp.,1625256.0,0.3805973575066579,8.262763883704533,2.1275558873543194,0.003154053544481392,0.9553105467064832,0.056160961035949086
23,Pometia Pinnata,967843.0,0.40255666408655155,9.373315090706397,2.080926320056755,0.002777682510520561,0.9714496742243521,0.05270372387716603
24,Sterculia Parviflora,624708.0,0.3567617822273882,10.471074380165291,2.390082644628099,0.002484177993306468,0.956976579992484,0.04984152880185828
25,Calophyllum,332968.0,0.3936851030615195,8.023831070889894,2.0515837104072396,0.003025565952103083,0.9650271231462251,0.055005144778493976
26,Pennisetum Purpureum,2858247.0,0.41300840862483346,5.948210089085643,1.831906869978685,0.005365640237114494,0.9389905646758642,0.07325053062684593
27,Sterculia Parviflora,355961.0,0.41639795320405576,13.064044943820225,2.3971285892634207,0.0064831881496444045,0.9659808276647,0.08051824730857227
28,Campnosperma Auriculatum,11308196.0,0.2827737820204483,33.01328496744303,3.8965416040570995,0.0011486598964197592,0.9347111065423471,0.0338918854066834
29,Leea Indica,1130908.0,0.38054499074310216,8.467931345980126,2.140921409214092,0.0025747482402368434,0.9717557116365814,0.05074197710216703
30,Dillenia Suffruticosa,510389.0,0.3367274361057799,13.690666666666667,2.679111111111111,0.002174067901234568,0.9606785082705864,0.04662690104686958
31,Sterculia Parviflora,1200318.0,0.3475953390418753,11.92568698906727,2.4932039791194724,0.0026442458359133233,0.9530921965525008,0.051422230950371295
32,Ficus Variegata,6083362.0,0.23611968463753397,29.810771486577934,4.060421836228288,0.001051871819992877,0.9369416018924082,0.03243257344079987
33,Spathodea Campanulatum,7026793.0,0.2865494486784567,25.79137077294686,3.47582729468599,0.0014934444758045696,0.9258380699772208,0.038645109338758116
