index,tree_name,dec_NIR_glcm_mean,dec_NIR_mean_homogeneity,dec_NIR_mean_contrast,dec_NIR_mean_dissimilarity,dec_NIR_mean_ASM,dec_NIR_mean_correlation,dec_NIR_mean_energy
0,Falcataria Moluccana,51543466.0,0.43387731487968273,10.404675480769232,1.9602627060439564,0.0032017731446255917,0.9695108099629871,0.056584212856817154
1,Ficus Variegata,23110807.0,0.34419430128694123,15.044048472977074,2.6867361436808563,0.001938370713481928,0.9567853255541156,0.044026931683708415
2,Bridelia Sp.,16677852.0,0.4639681011039708,6.476594548101097,1.683581447664417,0.0034619651827794613,0.9838698330494811,0.058838466862924474
3,Falcataria Moluccana,28561571.0,0.4240148035129806,10.475588624338624,2.010859788359788,0.002319487459013955,0.978647797051551,0.04816105749476391
4,Falcataria Moluccana,27915650.0,0.45016427595222547,8.548462700727363,1.7887241294493832,0.003009838483221667,0.9769467213987485,0.05486199488919143
5,Spathodea Campanulatum,15393628.0,0.330787540518354,17.646148000935234,2.8117547346270753,0.0014401739380985746,0.9714596817921874,0.03794962368849755
6,Terminalia Catappa,37478974.0,0.34733561740690577,19.331238402016737,2.8275620601519558,0.0016429270324543471,0.958826146333926,0.040533036309340895
7,Spathodea Campanulatum,4801270.0,0.4151659570205144,12.991725406068035,2.1907057086339954,0.0018709637221076103,0.9798664967701985,0.04325463815716888
8,Shorea Leprosula,664430.0,0.5119784174986783,7.649351455346615,1.5731397008626575,0.007777558734255679,0.9619553571909384,0.08819046850003508
9,Syzygium Polyanthum,1714396.0,0.45298472824440106,10.710947626554564,1.8596601856717463,0.0025071622675041675,0.9793564984831067,0.05007157145031667
10,Cinnamomum Iners,2712699.0,0.3282437844673496,17.10537725225225,2.8088682432432432,0.0014634495665428941,0.9698077175459073,0.038255059358768405
11,Clausena Excavata,761829.0,0.39633738117017503,7.62445054945055,2.0184065934065933,0.0025539429282561152,0.9801778192823419,0.05053655041903944
12,Cinnamomum Iners,4153037.0,0.3247342260417895,16.135877762476227,2.7701488622204735,0.0014270371865935131,0.9702784364482606,0.037776145735020576
13,Alstonia Angulstiloba,4911386.0,0.3454567266166825,10.75169020738641,2.413420653926983,0.002665952336798819,0.956431452115735,0.05163286101698045
14,Spathodea Campanulatum,5211357.0,0.29774416801701564,19.435394957983192,3.095563025210084,0.0018170689923028033,0.9487324251154899,0.04262709223372858
15,Clausena Excavata,3006471.0,0.3929471976846912,9.569188466111772,2.143157946888625,0.0021831428896168723,0.9796621808076361,0.046724114647758413
16,Syzygium Polyanthum,1911758.0,0.3698635017350813,11.608037446234292,2.352323521970144,0.0017239645342413585,0.9829948112775565,0.04152065190048632
17,Sandoricum Koetjape,8303164.0,0.4052717506150417,12.593232362946374,2.2084907434315113,0.0016863491639026451,0.9844680378104402,0.0410651818929692
18,Sterculia Parviflora,1881975.0,0.35700524954805735,11.81446095777306,2.4175119918219705,0.0019395711614880265,0.9738929417840436,0.044040562683599155
19,Alstonia Angulstiloba,4695032.0,0.3449515264914821,10.787312071230478,2.413279083345497,0.0028713827281206675,0.9391662720303284,0.05358528462293233
20,Claoxylon Indicum,1088848.0,0.3700125038035822,10.19289284938057,2.2732014779395784,0.002587485470046791,0.9661016663563221,0.05086733205159075
21,Bridelia Sp.,2475501.0,0.4842678443895728,4.479265921244531,1.4894749635391347,0.004856412964587998,0.9704996909597947,0.06968796857842821
22,Pometia Pinnata,664669.0,0.4265638252297568,6.118499012508229,1.7880184331797233,0.003797538255464432,0.970553857547764,0.061624169409935516
23,Sterculia Parviflora,777890.0,0.43436447671545736,5.550628233555062,1.7282805885910097,0.003788869177704756,0.9721463341061821,0.061553790928786475
24,Calophyllum,325036.0,0.437284276751113,5.404616013071896,1.716299019607843,0.004320774895606391,0.974066314580889,0.06573260146690066
25,Pennisetum Purpureum,2276977.0,0.5020125634880775,3.179400944215496,1.329591208374781,0.006194678572622242,0.9733222543627347,0.07870628038868462
26,Sterculia Parviflora,970654.0,0.43981895543563515,7.655654676258994,1.8862158273381295,0.0038538394493038658,0.9826353098331989,0.06207929968438647
27,Campnosperma Auriculatum,6803637.0,0.2961775197141882,27.918244406196212,3.4948364888123926,0.0017210933207508798,0.9200712823568792,0.04148606176477685
28,Leea Indica,1988577.0,0.4225877433174671,9.257513794222655,1.9872119441739695,0.0029800524853092858,0.9677008087627972,0.0545898569819457
29,Dillenia Suffruticosa,483350.0,0.3591335644367888,11.38313692480359,2.460016835016835,0.0022576687343569125,0.9661699862299017,0.04751493169896083
30,Sterculia Parviflora,1494105.0,0.3868399021772854,14.168736830431406,2.3951979594100035,0.003242386022562166,0.9646767487028418,0.05694195309753755
31,Ficus Variegata,7006040.0,0.328811774415118,15.242092039143085,2.698981750859561,0.0017811683838533136,0.9720914419979013,0.04220389062460135
32,Spathodea Campanulatum,9046228.0,0.31731534910471904,22.4522235153054,3.108539638877134,0.0014124335147027633,0.9573501939784961,0.037582356428286445
