index,tree_name,may_g_raw_mean,may_g_glcm_mean,may_green_mean_homogeneity,may_green_mean_contrast,may_green_mean_dissimilarity,may_green_mean_ASM,may_green_mean_correlation,may_green_mean_energy
0,Falcataria Moluccana,203.0095537888494,57.421417236328125,0.10804785808467439,378.76541827035305,13.340117240850015,0.0002232188980126236,0.8023095398035451,0.014910704493197969
1,Ficus Variegata,208.8475462375132,31.824859619140625,0.11460001456622959,640.6986228352348,16.98265369298728,0.0008750929406923238,0.8377721867202921,0.029475520365197943
2,Bridelia Sp.,208.9341562547042,40.437225341796875,0.11789429768359294,337.87050028774223,12.64857409275361,0.0004832923060365185,0.8926570579699346,0.021906857246259577
3,Falcataria Moluccana,202.09169451238418,53.03253173828125,0.12731161365947744,390.4642341901128,13.090068333496093,0.0003823025347317198,0.8733862520712508,0.01950802743725759
4,Falcataria Moluccana,204.03678627959727,74.64730834960938,0.1218924295731558,507.51810462940404,14.86361564966273,0.00047467133945604603,0.8571175284345943,0.021737648606623274
5,Spathodea Campanulatum,204.10356207219627,20.38043212890625,0.08939663368689521,464.7558649050819,15.128846815318699,0.00020637489942549532,0.8400212023744289,0.014326269135870878
6,Terminalia Catappa,211.2153601154055,60.120574951171875,0.12617051263830262,533.0511327484533,15.18412268064122,0.0008213051909579858,0.8317161322559579,0.028561761533109492
7,Spathodea Campanulatum,155.53599956231534,13.324005126953125,0.06887264159414602,530.6664601272984,16.917684237010842,9.365069558975364e-05,0.8682628837470194,0.009656545644410907
8,Shorea Leprosula,162.5136712749616,1.568450927734375,0.13318941267785223,215.03681389380142,10.307918632120785,0.0002945363169335624,0.9146063813878826,0.017128062405409917
9,Syzygium Polyanthum,159.11818452380953,4.068023681640625,0.09673243640696222,271.59741731520535,11.953432224457472,0.0001747167975976743,0.9007618208294708,0.013192008895220621
10,Cinnamomum Iners,191.19519246000317,9.196624755859375,0.08341215396818911,403.3021257467652,14.62075071339413,0.00014801773317253737,0.8858910435330614,0.012133934842118372
11,Clausena Excavata,166.7846954711088,2.319122314453125,0.08746019807430161,303.73289130970113,12.844004610143841,0.00018783272033887132,0.8778926232651536,0.013679152581003872
12,Cinnamomum Iners,202.5000626871909,8.713623046875,0.10319102328950058,264.1855639068235,11.760887355120623,0.0002277961472496273,0.8934908410691299,0.015054519551133825
13,Cratoxylum Formosum,218.91369867034547,20.702392578125,0.1507308035265814,255.9500867354183,10.39246332902254,0.0009402683260714176,0.8809100365642408,0.030568069530931666
14,Alstonia Angulstiloba,223.23868268467572,9.02392578125,0.1533908902870541,209.5743471497863,9.310364461669057,0.0007076594070881911,0.8937251853666486,0.02654787750944481
15,Spathodea Campanulatum,212.25031035516045,8.50634765625,0.10778838545204,334.6300835444842,12.913695833655344,0.00034227641291613984,0.8605107336955155,0.01844690608627278
16,Clausena Excavata,179.0331501444374,6.886566162109375,0.0934001753800993,331.33029901419354,12.895061290135246,0.00017775141756283563,0.9169512918496208,0.013303411673770794
17,Syzygium Polyanthum,202.48145265010493,3.575164794921875,0.08552718428187155,339.3735584826207,13.565891740236623,0.0001947023020864866,0.8498445064426481,0.01392570486897848
18,Sandoricum Koetjape,193.46314621955258,8.42547607421875,0.09813074518575725,361.96015474880124,13.73409243097825,0.0002582726802088526,0.9022294623040334,0.01600593032109229
19,Sterculia Parviflora,206.11742093307706,4.157745361328125,0.09870852057744921,259.757151441186,11.865279552894068,0.00023268122791360896,0.8599405429785794,0.01521946701556862
20,Alstonia Angulstiloba,227.46169417626908,11.702056884765625,0.14889889997695865,130.58128928949193,8.046690293742952,0.0006903982475843444,0.8686801070317596,0.026207120992220872
21,Claoxylon Indicum,196.1312240080926,6.473114013671875,0.088895106261565,334.6257924548655,13.498858586604541,0.0001734342460513932,0.8682768503389345,0.01313852704349545
22,Bridelia Sp.,188.86791478106338,5.8658447265625,0.0841708100808386,346.15678220848986,13.731751341581113,0.00015158142453840868,0.8655777131788489,0.012283992960689064
23,Pometia Pinnata,206.69351511797555,2.400634765625,0.13875673711907466,181.8676137428433,9.27009640815303,0.0004163829302269677,0.9199259308749053,0.020352747466589716
24,Sterculia Parviflora,203.87398739873987,1.4715576171875,0.11568002707852514,221.8017394631512,10.728321538403886,0.0003245587293292369,0.8761136843520656,0.017965597501457375
25,Calophyllum,213.3385509838998,0.80389404296875,0.1355868228713633,199.40819120460105,10.417502549889663,0.002015652594879622,0.8613617339814006,0.04482475302962925
26,Pennisetum Purpureum,189.09095564999456,11.146881103515625,0.08654378701420253,308.85874193889344,13.099385754916508,0.00018328860722692273,0.8336593307061437,0.013507434969819845
27,Sterculia Parviflora,216.0211111111111,0.97235107421875,0.2009700037229471,109.18109666287904,6.870215601284825,0.0010303359356644331,0.908681615943814,0.03202743244080347
28,Campnosperma Auriculatum,201.25318599333536,31.185211181640625,0.09825673251349584,530.0667163174862,15.75026238222911,0.0003370497349887736,0.8684226469638701,0.018283880971205944
29,Leea Indica,231.48860830527497,2.150360107421875,0.1989614053900045,115.54633835505695,6.949037565265791,0.0015123553965885736,0.8957657905830356,0.038759195114757096
30,Dillenia Suffruticosa,190.56787678767876,1.092193603515625,0.10842631979664308,258.6470045920315,11.417419222259193,0.000257946416686319,0.9044541924836752,0.01603143168379945
31,Sterculia Parviflora,204.31189789231746,2.4700927734375,0.11435102517423687,176.44706076258612,9.834437767647941,0.00030420326845509926,0.8777827889901509,0.017400170644112173
32,Ficus Variegata,222.44497715100547,10.81488037109375,0.12014804231500505,316.29115827706585,12.477459146723318,0.0006773276936729468,0.8191404190129059,0.025931268795579252
