index,tree_name,dec_b_raw_mean,dec_b_glcm_mean,dec_blue_mean_homogeneity,dec_blue_mean_contrast,dec_blue_mean_dissimilarity,dec_blue_mean_ASM,dec_blue_mean_correlation,dec_blue_mean_energy
0,Falcataria Moluccana,128.3172408235488,71.05502319335938,0.21679039151852886,63.573011757437015,5.245219737190147,0.0007063188864789038,0.9286223321428014,0.026503828757884138
1,Ficus Variegata,130.08785028070648,35.3648681640625,0.0932260687750932,324.7286237997159,12.890850327533503,0.0001908867070728027,0.8341945420447667,0.01378459030575972
2,Bridelia Sp.,114.88011746130317,36.852935791015625,0.15303648791160027,133.96388434772086,7.936081135668733,0.0003419845814925008,0.9193118813549618,0.018443697797677412
3,Falcataria Moluccana,126.92313176656984,36.881683349609375,0.21176796773381873,79.21664407400664,5.694259315510466,0.0005883241070281102,0.9367855641190858,0.02418910107803999
4,Falcataria Moluccana,118.4774773511837,34.72772216796875,0.24376304675680988,48.32479316614127,4.485638665144248,0.0009001064175026185,0.940666826337662,0.029917833586541282
5,Spathodea Campanulatum,125.68641517357223,20.85357666015625,0.09782658457787015,274.67542854333203,11.86925706676685,0.00019128741026091785,0.8743559543054027,0.013797655744302424
6,Terminalia Catappa,116.27771319692692,55.741912841796875,0.1100938531305288,301.83006841398094,11.664005145492675,0.00015313844135183424,0.9130112401468282,0.012338531692724204
7,Spathodea Campanulatum,86.5808497058497,8.7486572265625,0.10795977228810534,240.66747444859942,11.028490086387603,0.00024842293157413434,0.8409144678034803,0.015726428060091353
8,Shorea Leprosula,60.05512441488051,1.958648681640625,0.1831392628909544,90.26567862329983,6.527997365707892,0.0007345517868634003,0.8641681938725443,0.02703676983593103
9,Syzygium Polyanthum,83.01145942180425,3.473663330078125,0.14524522135230908,177.51044945614382,8.865932325842367,0.0003480675748981552,0.8900585349775404,0.01860848369549724
10,Cinnamomum Iners,89.07354586129753,4.329681396484375,0.09367290094815409,279.3594960871779,12.232463359711879,0.00017947067119686343,0.8761035381997743,0.013364718039815674
11,Clausena Excavata,82.66162895927602,1.329254150390625,0.13301175931864428,162.0181101748944,8.965535173520642,0.00044859814673310915,0.8604026139644927,0.021125298122883218
12,Cinnamomum Iners,94.68083300691997,7.4339599609375,0.11207110406625564,196.97885640666334,10.12107012495125,0.0002570985948749769,0.870956356825703,0.015977933721285132
13,Alstonia Angulstiloba,95.37422914638104,7.476531982421875,0.13591785789618613,134.31502364183433,8.282365252456836,0.00041267095900715946,0.8691951401535591,0.020266000518560548
14,Spathodea Campanulatum,133.6870333790887,7.247528076171875,0.11034252707801608,215.98275247865035,10.542029560727393,0.00027800846853240444,0.8536353842401285,0.016632256543947413
15,Clausena Excavata,90.64464012628879,4.911773681640625,0.1199401004631535,184.78217875958072,9.675939315730284,0.0002786428551394035,0.8877908488592579,0.016654447406141932
16,Syzygium Polyanthum,103.81317069081153,2.8837890625,0.09911009638173549,264.24765601792944,11.603761395327986,0.00021930766582096972,0.8633460516687365,0.014781417735825315
17,Sandoricum Koetjape,85.57368533106238,14.2698974609375,0.10784923232030631,242.57711706598366,11.119165120773475,0.0001709753226506084,0.9122730253363259,0.013042240413171055
18,Sterculia Parviflora,102.76335430424758,3.09466552734375,0.10914903568619087,181.61073543255884,9.985146823536052,0.00027826577830418345,0.8664519800541892,0.016646283554233622
19,Alstonia Angulstiloba,130.3650101714618,6.677734375,0.12875741299430365,137.10343163365107,8.54343141913944,0.00031101826515936043,0.9043878437679377,0.017594712686264898
20,Claoxylon Indicum,111.90116279069767,2.24200439453125,0.09252729406017274,282.04583130970826,12.250707262600848,0.00019573759185354038,0.879543573414431,0.013964419074461219
21,Bridelia Sp.,108.919632050351,5.004974365234375,0.1179161233999072,199.3953716848147,10.05369888348031,0.00031053997914171224,0.8440505626253643,0.017586474510514344
22,Pometia Pinnata,64.34628745115067,1.10699462890625,0.10993199252587686,183.09715259848912,10.109237549784273,0.0003270620222766307,0.8804782496169817,0.018058102043866212
23,Sterculia Parviflora,84.35417222074113,1.809173583984375,0.10312753329730895,232.73588033592907,11.145313615330323,0.00023785731165963902,0.8880547349766608,0.015392787808997293
24,Calophyllum,106.44157937147462,0.593109130859375,0.11402972334746604,156.75025512253774,9.313656241606244,0.00044340935382139685,0.8609843817899796,0.02103228705999258
25,Pennisetum Purpureum,95.03063887316858,7.718780517578125,0.09525383279696673,246.9053527575753,11.723220273470675,0.0001876253897989897,0.878759755425963,0.0136693725633349
26,Sterculia Parviflora,85.50537142857142,2.112030029296875,0.17284924813359115,133.4108615398003,7.80146544193213,0.0005746612907106376,0.9007812787748464,0.023910365465120712
27,Campnosperma Auriculatum,169.54317857142857,10.2003173828125,0.09388256262363073,345.4371906310398,13.073522046394531,0.00017571701848435292,0.839999957950995,0.013223298992809818
28,Leea Indica,84.59309609919917,3.7479248046875,0.14189021368459212,127.81528122700911,8.010596370166354,0.00039600449682677843,0.8913603729869354,0.019847289429056135
29,Dillenia Suffruticosa,78.11773700305811,0.862213134765625,0.10677275193543533,198.4827112574815,10.236350240822933,0.00034391531259661345,0.8779370084727746,0.01851053359941925
30,Sterculia Parviflora,113.57680457746478,2.194091796875,0.12810835142453078,184.26256149454977,9.323365550048015,0.000333416270509881,0.8764811218135289,0.018220267486899585
31,Ficus Variegata,115.65472368421052,9.22430419921875,0.09091977722862482,316.884164521397,12.803906452481739,0.0001598443157245131,0.8737586337818894,0.012611470257591354
