,tree_name,tp_count,tree_count
0,Alstonia Angulstiloba,3,4
1,Falcataria Moluccana,3,6
2,Shorea Leprosula,1,2
3,Spathodea Campanulatum,5,8
4,Sterculia Parviflora,3,8
