,test,pred
0,['Falcataria Moluccana'],['Falcataria Moluccana']
1,['Ficus Variegata'],['Spathodea Campanulatum']
2,['Bridelia Sp.'],['Bridelia Sp.']
3,['Falcataria Moluccana'],['Falcataria Moluccana']
4,['Falcataria Moluccana'],['Alstonia Angulstiloba']
5,['Spathodea Campanulatum'],['Ficus Variegata']
6,['Terminalia Catappa'],['Spathodea Campanulatum']
7,['Spathodea Campanulatum'],['Clausena Excavata']
8,['Shorea Leprosula'],['Shorea Leprosula']
9,['Syzygium Polyanthum'],['Sterculia Parviflora']
10,['Cinnamomum Iners'],['Terminalia Catappa']
11,['Clausena Excavata'],['Clausena Excavata']
12,['Cinnamomum Iners'],['Clausena Excavata']
13,['Alstonia Angulstiloba'],['Alstonia Angulstiloba']
14,['Spathodea Campanulatum'],['Ficus Variegata']
15,['Clausena Excavata'],['Sterculia Parviflora']
16,['Syzygium Polyanthum'],['Cinnamomum Iners']
17,['Sandoricum Koetjape'],['Cinnamomum Iners']
18,['Sterculia Parviflora'],['Sterculia Parviflora']
19,['Alstonia Angulstiloba'],['Alstonia Angulstiloba']
20,['Claoxylon Indicum'],['Bridelia Sp.']
21,['Bridelia Sp.'],['Syzygium Polyanthum']
22,['Pometia Pinnata'],['Sterculia Parviflora']
23,['Sterculia Parviflora'],['Bridelia Sp.']
24,['Calophyllum'],['Sterculia Parviflora']
25,['Sterculia Parviflora'],['Falcataria Moluccana']
26,['Sterculia Parviflora'],['Calophyllum']
27,['Ficus Variegata'],['Spathodea Campanulatum']
28,['Spathodea Campanulatum'],['Spathodea Campanulatum']
29,['Falcataria Moluccana'],['Spathodea Campanulatum']
30,['Ficus Variegata'],['Falcataria Moluccana']
31,['Bridelia Sp.'],['Ficus Variegata']
32,['Falcataria Moluccana'],['Cinnamomum Iners']
33,['Falcataria Moluccana'],['Ficus Variegata']
34,['Spathodea Campanulatum'],['Spathodea Campanulatum']
35,['Terminalia Catappa'],['Spathodea Campanulatum']
36,['Spathodea Campanulatum'],['Spathodea Campanulatum']
37,['Shorea Leprosula'],['Clausena Excavata']
38,['Syzygium Polyanthum'],['Bridelia Sp.']
39,['Cinnamomum Iners'],['Sandoricum Koetjape']
40,['Clausena Excavata'],['Claoxylon Indicum']
41,['Cinnamomum Iners'],['Sterculia Parviflora']
42,['Alstonia Angulstiloba'],['Sterculia Parviflora']
43,['Spathodea Campanulatum'],['Spathodea Campanulatum']
44,['Clausena Excavata'],['Clausena Excavata']
45,['Syzygium Polyanthum'],['Spathodea Campanulatum']
46,['Sandoricum Koetjape'],['Cinnamomum Iners']
47,['Sterculia Parviflora'],['Falcataria Moluccana']
48,['Alstonia Angulstiloba'],['Alstonia Angulstiloba']
49,['Claoxylon Indicum'],['Bridelia Sp.']
50,['Bridelia Sp.'],['Claoxylon Indicum']
51,['Pometia Pinnata'],['Sterculia Parviflora']
52,['Sterculia Parviflora'],['Sterculia Parviflora']
53,['Calophyllum'],['Sterculia Parviflora']
54,['Sterculia Parviflora'],['Sterculia Parviflora']
55,['Sterculia Parviflora'],['Sterculia Parviflora']
56,['Ficus Variegata'],['Spathodea Campanulatum']
57,['Spathodea Campanulatum'],['Spathodea Campanulatum']
