,test,pred
0,['Falcataria Moluccana'],['Falcataria Moluccana']
1,['Ficus Variegata'],['Spathodea Campanulatum']
2,['Bridelia Sp.'],['Bridelia Sp.']
3,['Falcataria Moluccana'],['Falcataria Moluccana']
4,['Falcataria Moluccana'],['Falcataria Moluccana']
5,['Spathodea Campanulatum'],['Ficus Variegata']
6,['Terminalia Catappa'],['Spathodea Campanulatum']
7,['Spathodea Campanulatum'],['Bridelia Sp.']
8,['Spathodea Campanulatum'],['Ficus Variegata']
9,['Bridelia Sp.'],['Bridelia Sp.']
10,['Ficus Variegata'],['Spathodea Campanulatum']
11,['Spathodea Campanulatum'],['Falcataria Moluccana']
12,['Falcataria Moluccana'],['Spathodea Campanulatum']
13,['Ficus Variegata'],['Falcataria Moluccana']
14,['Bridelia Sp.'],['Falcataria Moluccana']
15,['Falcataria Moluccana'],['Falcataria Moluccana']
16,['Falcataria Moluccana'],['Ficus Variegata']
17,['Spathodea Campanulatum'],['Spathodea Campanulatum']
18,['Terminalia Catappa'],['Ficus Variegata']
19,['Spathodea Campanulatum'],['Spathodea Campanulatum']
20,['Spathodea Campanulatum'],['Spathodea Campanulatum']
21,['Bridelia Sp.'],['Spathodea Campanulatum']
22,['Ficus Variegata'],['Spathodea Campanulatum']
23,['Spathodea Campanulatum'],['Spathodea Campanulatum']
