,test,pred,tp_count
0,['Alstonia Angulstiloba'],['Alstonia Angulstiloba'],3
21,['Falcataria Moluccana'],['Falcataria Moluccana'],3
36,['Spathodea Campanulatum'],['Spathodea Campanulatum'],3
41,['Sterculia Parviflora'],['Sterculia Parviflora'],3
