,test,pred,tp_count
0,['Alstonia Angulstiloba'],['Alstonia Angulstiloba'],3
20,['Falcataria Moluccana'],['Falcataria Moluccana'],3
33,['Shorea Leprosula'],['Shorea Leprosula'],1
37,['Spathodea Campanulatum'],['Spathodea Campanulatum'],5
42,['Sterculia Parviflora'],['Sterculia Parviflora'],3
